Round,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,FictitiousPlayAgent,FictitiousPlayAgent,0.5,0.5,1.0,1.0,0,1,-0.5,-0.5,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,FictitiousPlayAgent,FictitiousPlayAgent,0.6666666666666666,0.6666666666666666,1.0,1.0,0,1,-0.8333333333333334,-0.8333333333333334,"[0.3333, 0.6667]","[0.6667, 0.3333]",2,2
3,FictitiousPlayAgent,FictitiousPlayAgent,0.75,0.75,1.0,1.0,0,1,-1.0833333333333335,-1.0833333333333335,"[0.25, 0.75]","[0.75, 0.25]",3,3
4,FictitiousPlayAgent,FictitiousPlayAgent,0.8,0.8,1.0,1.0,0,1,-1.2833333333333334,-1.2833333333333334,"[0.2, 0.8]","[0.8, 0.2]",4,4
5,FictitiousPlayAgent,FictitiousPlayAgent,0.8333333333333334,0.8333333333333334,1.0,1.0,0,1,-1.4500000000000002,-1.4500000000000002,"[0.1667, 0.8333]","[0.8333, 0.1667]",5,5
6,FictitiousPlayAgent,FictitiousPlayAgent,0.8571428571428571,0.8571428571428571,1.0,1.0,0,1,-1.592857142857143,-1.592857142857143,"[0.1429, 0.8571]","[0.8571, 0.1429]",6,6
7,FictitiousPlayAgent,FictitiousPlayAgent,0.875,0.875,1.0,1.0,0,1,-1.717857142857143,-1.717857142857143,"[0.125, 0.875]","[0.875, 0.125]",7,7
8,FictitiousPlayAgent,FictitiousPlayAgent,0.8888888888888888,0.8888888888888888,1.0,1.0,0,1,-1.8289682539682541,-1.8289682539682541,"[0.1111, 0.8889]","[0.8889, 0.1111]",8,8
9,FictitiousPlayAgent,FictitiousPlayAgent,0.9,0.9,1.0,1.0,0,1,-1.9289682539682542,-1.9289682539682542,"[0.1, 0.9]","[0.9, 0.1]",9,9
10,FictitiousPlayAgent,FictitiousPlayAgent,0.9090909090909091,0.9090909090909091,1.0,1.0,0,1,-2.019877344877345,-2.019877344877345,"[0.0909, 0.9091]","[0.9091, 0.0909]",10,10
11,FictitiousPlayAgent,FictitiousPlayAgent,0.9166666666666666,0.9166666666666666,1.0,1.0,0,1,-2.1032106782106785,-2.1032106782106785,"[0.0833, 0.9167]","[0.9167, 0.0833]",11,11
12,FictitiousPlayAgent,FictitiousPlayAgent,0.9230769230769231,0.9230769230769231,1.0,1.0,0,1,-2.180133755133755,-2.180133755133755,"[0.0769, 0.9231]","[0.9231, 0.0769]",12,12
13,FictitiousPlayAgent,FictitiousPlayAgent,0.9285714285714286,0.9285714285714286,1.0,1.0,0,1,-2.2515623265623264,-2.2515623265623264,"[0.0714, 0.9286]","[0.9286, 0.0714]",13,13
14,FictitiousPlayAgent,FictitiousPlayAgent,0.9333333333333333,0.9333333333333333,1.0,1.0,0,1,-2.318228993228993,-2.318228993228993,"[0.0667, 0.9333]","[0.9333, 0.0667]",14,14
15,FictitiousPlayAgent,FictitiousPlayAgent,0.9375,0.9375,1.0,1.0,0,1,-2.380728993228993,-2.380728993228993,"[0.0625, 0.9375]","[0.9375, 0.0625]",15,15
16,FictitiousPlayAgent,FictitiousPlayAgent,0.9411764705882353,0.9411764705882353,1.0,1.0,0,1,-2.4395525226407573,-2.4395525226407573,"[0.0588, 0.9412]","[0.9412, 0.0588]",16,16
17,FictitiousPlayAgent,FictitiousPlayAgent,0.9444444444444444,0.9444444444444444,1.0,1.0,0,1,-2.4951080781963126,-2.4951080781963126,"[0.0556, 0.9444]","[0.9444, 0.0556]",17,17
18,FictitiousPlayAgent,FictitiousPlayAgent,0.9473684210526315,0.9473684210526315,1.0,1.0,0,1,-2.5477396571436812,-2.5477396571436812,"[0.0526, 0.9474]","[0.9474, 0.0526]",18,18
19,FictitiousPlayAgent,FictitiousPlayAgent,0.95,0.95,1.0,1.0,0,1,-2.5977396571436815,-2.5977396571436815,"[0.05, 0.95]","[0.95, 0.05]",19,19
20,FictitiousPlayAgent,FictitiousPlayAgent,0.9523809523809523,0.9523809523809523,1.0,1.0,0,1,-2.645358704762729,-2.645358704762729,"[0.0476, 0.9524]","[0.9524, 0.0476]",20,20
21,FictitiousPlayAgent,FictitiousPlayAgent,0.9545454545454546,0.9545454545454546,1.0,1.0,0,1,-2.6908132502172744,-2.6908132502172744,"[0.0455, 0.9545]","[0.9545, 0.0455]",21,21
22,FictitiousPlayAgent,FictitiousPlayAgent,0.9565217391304348,0.9565217391304348,1.0,1.0,0,1,-2.7342915110868393,-2.7342915110868393,"[0.0435, 0.9565]","[0.9565, 0.0435]",22,22
23,FictitiousPlayAgent,FictitiousPlayAgent,0.9583333333333334,0.9583333333333334,1.0,1.0,0,1,-2.775958177753506,-2.775958177753506,"[0.0417, 0.9583]","[0.9583, 0.0417]",23,23
24,FictitiousPlayAgent,FictitiousPlayAgent,0.96,0.96,1.0,1.0,0,1,-2.815958177753506,-2.815958177753506,"[0.04, 0.96]","[0.96, 0.04]",24,24
25,FictitiousPlayAgent,FictitiousPlayAgent,0.9615384615384616,0.9615384615384616,1.0,1.0,0,1,-2.854419716215044,-2.854419716215044,"[0.0385, 0.9615]","[0.9615, 0.0385]",25,25
26,FictitiousPlayAgent,FictitiousPlayAgent,0.9629629629629629,0.9629629629629629,1.0,1.0,0,1,-2.8914567532520814,-2.8914567532520814,"[0.037, 0.963]","[0.963, 0.037]",26,26
27,FictitiousPlayAgent,FictitiousPlayAgent,0.9642857142857143,0.9642857142857143,1.0,1.0,0,1,-2.927171038966367,-2.927171038966367,"[0.0357, 0.9643]","[0.9643, 0.0357]",27,27
28,FictitiousPlayAgent,FictitiousPlayAgent,0.9655172413793104,0.9655172413793104,1.0,1.0,0,1,-2.9616537975870565,-2.9616537975870565,"[0.0345, 0.9655]","[0.9655, 0.0345]",28,28
29,FictitiousPlayAgent,FictitiousPlayAgent,0.9666666666666667,0.9666666666666667,1.0,1.0,0,1,-2.9949871309203897,-2.9949871309203897,"[0.0333, 0.9667]","[0.9667, 0.0333]",29,29
30,FictitiousPlayAgent,FictitiousPlayAgent,0.967741935483871,0.967741935483871,1.0,1.0,0,1,-3.0272451954365187,-3.0272451954365187,"[0.0323, 0.9677]","[0.9677, 0.0323]",30,30
31,FictitiousPlayAgent,FictitiousPlayAgent,0.96875,0.96875,1.0,1.0,0,1,-3.0584951954365187,-3.0584951954365187,"[0.0312, 0.9688]","[0.9688, 0.0312]",31,31
32,FictitiousPlayAgent,FictitiousPlayAgent,0.9696969696969697,0.9696969696969697,1.0,1.0,0,1,-3.088798225739549,-3.088798225739549,"[0.0303, 0.9697]","[0.9697, 0.0303]",32,32
33,FictitiousPlayAgent,FictitiousPlayAgent,0.9705882352941176,0.9705882352941176,1.0,1.0,0,1,-3.1182099904454312,-3.1182099904454312,"[0.0294, 0.9706]","[0.9706, 0.0294]",33,33
34,FictitiousPlayAgent,FictitiousPlayAgent,0.9714285714285714,0.9714285714285714,1.0,1.0,0,1,-3.1467814190168597,-3.1467814190168597,"[0.0286, 0.9714]","[0.9714, 0.0286]",34,34
35,FictitiousPlayAgent,FictitiousPlayAgent,0.9722222222222222,0.9722222222222222,1.0,1.0,0,1,-3.1745591967946374,-3.1745591967946374,"[0.0278, 0.9722]","[0.9722, 0.0278]",35,35
