Round,State,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,0,FictitiousPlayAgent,FictitiousPlayAgent,0.5,0.5,1.0,1.0,1,0,-0.5,-0.5,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,0,FictitiousPlayAgent,FictitiousPlayAgent,0.6666666666666666,0.6666666666666666,1.0,1.0,1,0,-0.8333333333333334,-0.8333333333333334,"[0.6667, 0.3333]","[0.3333, 0.6667]",2,2
3,0,FictitiousPlayAgent,FictitiousPlayAgent,0.75,0.75,1.0,1.0,1,0,-1.0833333333333335,-1.0833333333333335,"[0.75, 0.25]","[0.25, 0.75]",3,3
4,0,FictitiousPlayAgent,FictitiousPlayAgent,0.8,0.8,1.0,1.0,1,0,-1.2833333333333334,-1.2833333333333334,"[0.8, 0.2]","[0.2, 0.8]",4,4
5,0,FictitiousPlayAgent,FictitiousPlayAgent,0.8333333333333334,0.8333333333333334,1.0,1.0,1,0,-1.4500000000000002,-1.4500000000000002,"[0.8333, 0.1667]","[0.1667, 0.8333]",5,5
6,0,FictitiousPlayAgent,FictitiousPlayAgent,0.8571428571428571,0.8571428571428571,1.0,1.0,1,0,-1.592857142857143,-1.592857142857143,"[0.8571, 0.1429]","[0.1429, 0.8571]",6,6
7,0,FictitiousPlayAgent,FictitiousPlayAgent,0.875,0.875,1.0,1.0,1,0,-1.717857142857143,-1.717857142857143,"[0.875, 0.125]","[0.125, 0.875]",7,7
8,0,FictitiousPlayAgent,FictitiousPlayAgent,0.8888888888888888,0.8888888888888888,1.0,1.0,1,0,-1.8289682539682541,-1.8289682539682541,"[0.8889, 0.1111]","[0.1111, 0.8889]",8,8
9,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9,0.9,1.0,1.0,1,0,-1.9289682539682542,-1.9289682539682542,"[0.9, 0.1]","[0.1, 0.9]",9,9
10,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9090909090909091,0.9090909090909091,1.0,1.0,1,0,-2.019877344877345,-2.019877344877345,"[0.9091, 0.0909]","[0.0909, 0.9091]",10,10
11,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9166666666666666,0.9166666666666666,1.0,1.0,1,0,-2.1032106782106785,-2.1032106782106785,"[0.9167, 0.0833]","[0.0833, 0.9167]",11,11
12,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9230769230769231,0.9230769230769231,1.0,1.0,1,0,-2.180133755133755,-2.180133755133755,"[0.9231, 0.0769]","[0.0769, 0.9231]",12,12
13,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9285714285714286,0.9285714285714286,1.0,1.0,1,0,-2.2515623265623264,-2.2515623265623264,"[0.9286, 0.0714]","[0.0714, 0.9286]",13,13
14,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9333333333333333,0.9333333333333333,1.0,1.0,1,0,-2.318228993228993,-2.318228993228993,"[0.9333, 0.0667]","[0.0667, 0.9333]",14,14
15,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9375,0.9375,1.0,1.0,1,0,-2.380728993228993,-2.380728993228993,"[0.9375, 0.0625]","[0.0625, 0.9375]",15,15
16,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9411764705882353,0.9411764705882353,1.0,1.0,1,0,-2.4395525226407573,-2.4395525226407573,"[0.9412, 0.0588]","[0.0588, 0.9412]",16,16
17,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9444444444444444,0.9444444444444444,1.0,1.0,1,0,-2.4951080781963126,-2.4951080781963126,"[0.9444, 0.0556]","[0.0556, 0.9444]",17,17
18,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9473684210526315,0.9473684210526315,1.0,1.0,1,0,-2.5477396571436812,-2.5477396571436812,"[0.9474, 0.0526]","[0.0526, 0.9474]",18,18
19,0,FictitiousPlayAgent,FictitiousPlayAgent,0.95,0.95,1.0,1.0,1,0,-2.5977396571436815,-2.5977396571436815,"[0.95, 0.05]","[0.05, 0.95]",19,19
20,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9523809523809523,0.9523809523809523,1.0,1.0,1,0,-2.645358704762729,-2.645358704762729,"[0.9524, 0.0476]","[0.0476, 0.9524]",20,20
21,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9545454545454546,0.9545454545454546,1.0,1.0,1,0,-2.6908132502172744,-2.6908132502172744,"[0.9545, 0.0455]","[0.0455, 0.9545]",21,21
22,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9565217391304348,0.9565217391304348,1.0,1.0,1,0,-2.7342915110868393,-2.7342915110868393,"[0.9565, 0.0435]","[0.0435, 0.9565]",22,22
23,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9583333333333334,0.9583333333333334,1.0,1.0,1,0,-2.775958177753506,-2.775958177753506,"[0.9583, 0.0417]","[0.0417, 0.9583]",23,23
24,0,FictitiousPlayAgent,FictitiousPlayAgent,0.96,0.96,1.0,1.0,1,0,-2.815958177753506,-2.815958177753506,"[0.96, 0.04]","[0.04, 0.96]",24,24
25,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9615384615384616,0.9615384615384616,1.0,1.0,1,0,-2.854419716215044,-2.854419716215044,"[0.9615, 0.0385]","[0.0385, 0.9615]",25,25
26,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9629629629629629,0.9629629629629629,1.0,1.0,1,0,-2.8914567532520814,-2.8914567532520814,"[0.963, 0.037]","[0.037, 0.963]",26,26
27,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9642857142857143,0.9642857142857143,1.0,1.0,1,0,-2.927171038966367,-2.927171038966367,"[0.9643, 0.0357]","[0.0357, 0.9643]",27,27
28,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9655172413793104,0.9655172413793104,1.0,1.0,1,0,-2.9616537975870565,-2.9616537975870565,"[0.9655, 0.0345]","[0.0345, 0.9655]",28,28
29,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9666666666666667,0.9666666666666667,1.0,1.0,1,0,-2.9949871309203897,-2.9949871309203897,"[0.9667, 0.0333]","[0.0333, 0.9667]",29,29
30,0,FictitiousPlayAgent,FictitiousPlayAgent,0.967741935483871,0.967741935483871,1.0,1.0,1,0,-3.0272451954365187,-3.0272451954365187,"[0.9677, 0.0323]","[0.0323, 0.9677]",30,30
31,0,FictitiousPlayAgent,FictitiousPlayAgent,0.96875,0.96875,1.0,1.0,1,0,-3.0584951954365187,-3.0584951954365187,"[0.9688, 0.0312]","[0.0312, 0.9688]",31,31
32,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9696969696969697,0.9696969696969697,1.0,1.0,1,0,-3.088798225739549,-3.088798225739549,"[0.9697, 0.0303]","[0.0303, 0.9697]",32,32
33,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9705882352941176,0.9705882352941176,1.0,1.0,1,0,-3.1182099904454312,-3.1182099904454312,"[0.9706, 0.0294]","[0.0294, 0.9706]",33,33
34,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9714285714285714,0.9714285714285714,1.0,1.0,1,0,-3.1467814190168597,-3.1467814190168597,"[0.9714, 0.0286]","[0.0286, 0.9714]",34,34
35,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9722222222222222,0.9722222222222222,1.0,1.0,1,0,-3.1745591967946374,-3.1745591967946374,"[0.9722, 0.0278]","[0.0278, 0.9722]",35,35
36,0,FictitiousPlayAgent,FictitiousPlayAgent,0.972972972972973,0.972972972972973,1.0,1.0,1,0,-3.201586223821664,-3.201586223821664,"[0.973, 0.027]","[0.027, 0.973]",36,36
37,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9736842105263158,0.9736842105263158,1.0,1.0,1,0,-3.227902013295348,-3.227902013295348,"[0.9737, 0.0263]","[0.0263, 0.9737]",37,37
38,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9743589743589743,0.9743589743589743,1.0,1.0,1,0,-3.2535430389363738,-3.2535430389363738,"[0.9744, 0.0256]","[0.0256, 0.9744]",38,38
39,0,FictitiousPlayAgent,FictitiousPlayAgent,0.975,0.975,1.0,1.0,1,0,-3.2785430389363737,-3.2785430389363737,"[0.975, 0.025]","[0.025, 0.975]",39,39
40,0,FictitiousPlayAgent,FictitiousPlayAgent,0.975609756097561,0.975609756097561,1.0,1.0,1,0,-3.3029332828388127,-3.3029332828388127,"[0.9756, 0.0244]","[0.0244, 0.9756]",40,40
41,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9761904761904762,0.9761904761904762,1.0,1.0,1,0,-3.3267428066483364,-3.3267428066483364,"[0.9762, 0.0238]","[0.0238, 0.9762]",41,41
42,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9767441860465116,0.9767441860465116,1.0,1.0,1,0,-3.349998620601825,-3.349998620601825,"[0.9767, 0.0233]","[0.0233, 0.9767]",42,42
43,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9772727272727273,0.9772727272727273,1.0,1.0,1,0,-3.372725893329098,-3.372725893329098,"[0.9773, 0.0227]","[0.0227, 0.9773]",43,43
44,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9777777777777777,0.9777777777777777,1.0,1.0,1,0,-3.39494811555132,-3.39494811555132,"[0.9778, 0.0222]","[0.0222, 0.9778]",44,44
45,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9782608695652174,0.9782608695652174,1.0,1.0,1,0,-3.4166872459861026,-3.4166872459861026,"[0.9783, 0.0217]","[0.0217, 0.9783]",45,45
46,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9787234042553191,0.9787234042553191,1.0,1.0,1,0,-3.4379638417307836,-3.4379638417307836,"[0.9787, 0.0213]","[0.0213, 0.9787]",46,46
47,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9791666666666666,0.9791666666666666,1.0,1.0,1,0,-3.458797175064117,-3.458797175064117,"[0.9792, 0.0208]","[0.0208, 0.9792]",47,47
48,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9795918367346939,0.9795918367346939,1.0,1.0,1,0,-3.4792053383294235,-3.4792053383294235,"[0.9796, 0.0204]","[0.0204, 0.9796]",48,48
49,0,FictitiousPlayAgent,FictitiousPlayAgent,0.98,0.98,1.0,1.0,1,0,-3.4992053383294235,-3.4992053383294235,"[0.98, 0.02]","[0.02, 0.98]",49,49
50,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9803921568627451,0.9803921568627451,1.0,1.0,1,0,-3.5188131814666783,-3.5188131814666783,"[0.9804, 0.0196]","[0.0196, 0.9804]",50,50
51,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9807692307692307,0.9807692307692307,1.0,1.0,1,0,-3.5380439506974475,-3.5380439506974475,"[0.9808, 0.0192]","[0.0192, 0.9808]",51,51
52,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9811320754716981,0.9811320754716981,1.0,1.0,1,0,-3.556911875225749,-3.556911875225749,"[0.9811, 0.0189]","[0.0189, 0.9811]",52,52
53,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9814814814814815,0.9814814814814815,1.0,1.0,1,0,-3.5754303937442677,-3.5754303937442677,"[0.9815, 0.0185]","[0.0185, 0.9815]",53,53
54,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9818181818181818,0.9818181818181818,1.0,1.0,1,0,-3.593612211926086,-3.593612211926086,"[0.9818, 0.0182]","[0.0182, 0.9818]",54,54
