Round,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,FictitiousPlayAgent,FictitiousPlayAgent,0.0,0.0,-1.0,1.0,1,0,1.0,-1.0,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,FictitiousPlayAgent,FictitiousPlayAgent,0.3333333333333333,0.3333333333333333,1.0,-1.0,0,0,0.33333333333333326,0.33333333333333326,"[0.6667, 0.3333]","[0.3333, 0.6667]",1,2
3,FictitiousPlayAgent,FictitiousPlayAgent,0.5,0.0,1.0,-1.0,0,0,-0.16666666666666674,1.3333333333333333,"[0.75, 0.25]","[0.5, 0.5]",2,3
4,FictitiousPlayAgent,FictitiousPlayAgent,0.6000000000000001,0.19999999999999996,-1.0,1.0,0,1,1.4333333333333333,0.5333333333333332,"[0.8, 0.2]","[0.6, 0.4]",3,1
5,FictitiousPlayAgent,FictitiousPlayAgent,0.3333333333333333,0.3333333333333333,-1.0,1.0,0,1,2.7666666666666666,-0.13333333333333353,"[0.6667, 0.3333]","[0.6667, 0.3333]",4,2
6,FictitiousPlayAgent,FictitiousPlayAgent,0.14285714285714285,0.4285714285714286,-1.0,1.0,0,1,3.9095238095238094,-0.7047619047619049,"[0.5714, 0.4286]","[0.7143, 0.2857]",5,3
7,FictitiousPlayAgent,FictitiousPlayAgent,0.0,0.5,1.0,-1.0,1,1,2.9095238095238094,0.7952380952380951,"[0.5, 0.5]","[0.75, 0.25]",2,4
8,FictitiousPlayAgent,FictitiousPlayAgent,0.11111111111111116,0.3333333333333333,1.0,-1.0,1,1,2.0206349206349206,2.128571428571428,"[0.4444, 0.5556]","[0.6667, 0.3333]",3,5
9,FictitiousPlayAgent,FictitiousPlayAgent,0.19999999999999996,0.19999999999999996,1.0,-1.0,1,1,1.2206349206349205,3.3285714285714283,"[0.4, 0.6]","[0.6, 0.4]",4,6
10,FictitiousPlayAgent,FictitiousPlayAgent,0.2727272727272727,0.09090909090909088,1.0,-1.0,1,1,0.4933621933621932,4.419480519480519,"[0.3636, 0.6364]","[0.5455, 0.4545]",5,7
11,FictitiousPlayAgent,FictitiousPlayAgent,0.3333333333333333,0.0,-1.0,1.0,1,0,1.8266955266955265,3.419480519480519,"[0.3333, 0.6667]","[0.5, 0.5]",6,4
12,FictitiousPlayAgent,FictitiousPlayAgent,0.23076923076923078,0.07692307692307687,-1.0,1.0,1,0,3.057464757464757,2.4964035964035958,"[0.3846, 0.6154]","[0.4615, 0.5385]",7,5
13,FictitiousPlayAgent,FictitiousPlayAgent,0.14285714285714285,0.14285714285714285,-1.0,1.0,1,0,4.2003219003218994,1.6392607392607386,"[0.4286, 0.5714]","[0.4286, 0.5714]",8,6
14,FictitiousPlayAgent,FictitiousPlayAgent,0.06666666666666665,0.19999999999999996,-1.0,1.0,1,0,5.266988566988566,0.8392607392607385,"[0.4667, 0.5333]","[0.4, 0.6]",9,7
15,FictitiousPlayAgent,FictitiousPlayAgent,0.0,0.25,-1.0,1.0,1,0,6.266988566988566,0.08926073926073852,"[0.5, 0.5]","[0.375, 0.625]",10,8
16,FictitiousPlayAgent,FictitiousPlayAgent,0.05882352941176472,0.29411764705882354,1.0,-1.0,0,0,5.32581209640033,1.3833783863195621,"[0.5294, 0.4706]","[0.3529, 0.6471]",6,9
17,FictitiousPlayAgent,FictitiousPlayAgent,-0.11111111111111116,0.22222222222222227,-1.0,1.0,1,0,6.436923207511441,0.6056006085417844,"[0.5556, 0.4444]","[0.3889, 0.6111]",11,10
18,FictitiousPlayAgent,FictitiousPlayAgent,0.1578947368421053,0.2631578947368421,1.0,-1.0,0,0,5.594817944353546,1.8687585032786265,"[0.5789, 0.4211]","[0.3684, 0.6316]",7,11
19,FictitiousPlayAgent,FictitiousPlayAgent,0.19999999999999996,0.19999999999999996,1.0,-1.0,0,0,4.794817944353547,3.0687585032786266,"[0.6, 0.4]","[0.4, 0.6]",8,12
20,FictitiousPlayAgent,FictitiousPlayAgent,0.23809523809523814,0.14285714285714285,1.0,-1.0,0,0,4.032913182448785,4.211615646135769,"[0.619, 0.381]","[0.4286, 0.5714]",9,13
21,FictitiousPlayAgent,FictitiousPlayAgent,0.2727272727272727,0.09090909090909088,1.0,-1.0,0,0,3.305640455176057,5.30252473704486,"[0.6364, 0.3636]","[0.4545, 0.5455]",10,14
22,FictitiousPlayAgent,FictitiousPlayAgent,0.30434782608695654,0.04347826086956519,1.0,-1.0,0,0,2.6099882812630137,6.346002997914425,"[0.6522, 0.3478]","[0.4783, 0.5217]",11,15
23,FictitiousPlayAgent,FictitiousPlayAgent,0.3333333333333333,0.0,1.0,-1.0,0,0,1.943321614596347,7.346002997914425,"[0.6667, 0.3333]","[0.5, 0.5]",12,16
24,FictitiousPlayAgent,FictitiousPlayAgent,0.36000000000000004,-0.040000000000000036,1.0,-1.0,0,0,1.303321614596347,8.386002997914424,"[0.68, 0.32]","[0.52, 0.48]",13,17
25,FictitiousPlayAgent,FictitiousPlayAgent,0.3846153846153846,0.07692307692307687,-1.0,1.0,0,1,2.6879369992117317,7.462926074837501,"[0.6923, 0.3077]","[0.5385, 0.4615]",14,8
26,FictitiousPlayAgent,FictitiousPlayAgent,0.3333333333333333,0.11111111111111116,-1.0,1.0,0,1,4.021270332545065,6.574037185948612,"[0.6667, 0.3333]","[0.5556, 0.4444]",15,9
27,FictitiousPlayAgent,FictitiousPlayAgent,0.28571428571428575,0.14285714285714285,-1.0,1.0,0,1,5.30698461825935,5.716894328805754,"[0.6429, 0.3571]","[0.5714, 0.4286]",16,10
28,FictitiousPlayAgent,FictitiousPlayAgent,0.24137931034482762,0.17241379310344823,-1.0,1.0,0,1,6.548363928604178,4.8893081219092025,"[0.6207, 0.3793]","[0.5862, 0.4138]",17,11
29,FictitiousPlayAgent,FictitiousPlayAgent,0.19999999999999996,0.19999999999999996,-1.0,1.0,0,1,7.748363928604178,4.089308121909203,"[0.6, 0.4]","[0.6, 0.4]",18,12
30,FictitiousPlayAgent,FictitiousPlayAgent,0.16129032258064518,0.22580645161290325,-1.0,1.0,0,1,8.909654251184824,3.3151145735221057,"[0.5806, 0.4194]","[0.6129, 0.3871]",19,13
31,FictitiousPlayAgent,FictitiousPlayAgent,0.125,0.25,-1.0,1.0,0,1,10.034654251184824,2.5651145735221057,"[0.5625, 0.4375]","[0.625, 0.375]",20,14
