Round,State,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,0,FictitiousPlayAgent,FictitiousPlayAgent,2.5,2.5,1.0,1.0,1,1,1.5,1.5,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,0,FictitiousPlayAgent,FictitiousPlayAgent,2.0,2.0,1.0,1.0,1,1,2.5,2.5,"[0.3333, 0.6667]","[0.3333, 0.6667]",2,2
3,0,FictitiousPlayAgent,FictitiousPlayAgent,1.75,1.75,1.0,1.0,1,1,3.25,3.25,"[0.25, 0.75]","[0.25, 0.75]",3,3
4,0,FictitiousPlayAgent,FictitiousPlayAgent,1.6,1.6,1.0,1.0,1,1,3.85,3.85,"[0.2, 0.8]","[0.2, 0.8]",4,4
5,0,FictitiousPlayAgent,FictitiousPlayAgent,1.5,1.5,1.0,1.0,1,1,4.35,4.35,"[0.1667, 0.8333]","[0.1667, 0.8333]",5,5
6,0,FictitiousPlayAgent,FictitiousPlayAgent,1.4285714285714284,1.4285714285714284,1.0,1.0,1,1,4.7785714285714285,4.7785714285714285,"[0.1429, 0.8571]","[0.1429, 0.8571]",6,6
7,0,FictitiousPlayAgent,FictitiousPlayAgent,1.375,1.375,1.0,1.0,1,1,5.1535714285714285,5.1535714285714285,"[0.125, 0.875]","[0.125, 0.875]",7,7
8,0,FictitiousPlayAgent,FictitiousPlayAgent,1.3333333333333333,1.3333333333333333,1.0,1.0,1,1,5.4869047619047615,5.4869047619047615,"[0.1111, 0.8889]","[0.1111, 0.8889]",8,8
9,0,FictitiousPlayAgent,FictitiousPlayAgent,1.3,1.3,1.0,1.0,1,1,5.786904761904761,5.786904761904761,"[0.1, 0.9]","[0.1, 0.9]",9,9
10,0,FictitiousPlayAgent,FictitiousPlayAgent,1.2727272727272727,1.2727272727272727,1.0,1.0,1,1,6.059632034632034,6.059632034632034,"[0.0909, 0.9091]","[0.0909, 0.9091]",10,10
11,0,FictitiousPlayAgent,FictitiousPlayAgent,1.25,1.25,1.0,1.0,1,1,6.309632034632034,6.309632034632034,"[0.0833, 0.9167]","[0.0833, 0.9167]",11,11
12,0,FictitiousPlayAgent,FictitiousPlayAgent,1.2307692307692308,1.2307692307692308,1.0,1.0,1,1,6.540401265401265,6.540401265401265,"[0.0769, 0.9231]","[0.0769, 0.9231]",12,12
13,0,FictitiousPlayAgent,FictitiousPlayAgent,1.2142857142857144,1.2142857142857144,1.0,1.0,1,1,6.754686979686979,6.754686979686979,"[0.0714, 0.9286]","[0.0714, 0.9286]",13,13
14,0,FictitiousPlayAgent,FictitiousPlayAgent,1.2,1.2,1.0,1.0,1,1,6.954686979686979,6.954686979686979,"[0.0667, 0.9333]","[0.0667, 0.9333]",14,14
15,0,FictitiousPlayAgent,FictitiousPlayAgent,1.1875,1.1875,1.0,1.0,1,1,7.142186979686979,7.142186979686979,"[0.0625, 0.9375]","[0.0625, 0.9375]",15,15
16,0,FictitiousPlayAgent,FictitiousPlayAgent,1.1764705882352942,1.1764705882352942,1.0,1.0,1,1,7.318657567922274,7.318657567922274,"[0.0588, 0.9412]","[0.0588, 0.9412]",16,16
17,0,FictitiousPlayAgent,FictitiousPlayAgent,1.1666666666666665,1.1666666666666665,1.0,1.0,1,1,7.485324234588941,7.485324234588941,"[0.0556, 0.9444]","[0.0556, 0.9444]",17,17
18,0,FictitiousPlayAgent,FictitiousPlayAgent,1.1578947368421053,1.1578947368421053,1.0,1.0,1,1,7.643218971431046,7.643218971431046,"[0.0526, 0.9474]","[0.0526, 0.9474]",18,18
19,0,FictitiousPlayAgent,FictitiousPlayAgent,1.15,1.15,1.0,1.0,1,1,7.793218971431045,7.793218971431045,"[0.05, 0.95]","[0.05, 0.95]",19,19
20,0,FictitiousPlayAgent,FictitiousPlayAgent,1.1428571428571428,1.1428571428571428,1.0,1.0,1,1,7.936076114288188,7.936076114288188,"[0.0476, 0.9524]","[0.0476, 0.9524]",20,20
21,0,FictitiousPlayAgent,FictitiousPlayAgent,1.1363636363636365,1.1363636363636365,1.0,1.0,1,1,8.072439750651824,8.072439750651824,"[0.0455, 0.9545]","[0.0455, 0.9545]",21,21
22,0,FictitiousPlayAgent,FictitiousPlayAgent,1.1304347826086958,1.1304347826086958,1.0,1.0,1,1,8.20287453326052,8.20287453326052,"[0.0435, 0.9565]","[0.0435, 0.9565]",22,22
23,0,FictitiousPlayAgent,FictitiousPlayAgent,1.125,1.125,1.0,1.0,1,1,8.32787453326052,8.32787453326052,"[0.0417, 0.9583]","[0.0417, 0.9583]",23,23
24,0,FictitiousPlayAgent,FictitiousPlayAgent,1.1199999999999999,1.1199999999999999,1.0,1.0,1,1,8.447874533260519,8.447874533260519,"[0.04, 0.96]","[0.04, 0.96]",24,24
25,0,FictitiousPlayAgent,FictitiousPlayAgent,1.1153846153846154,1.1153846153846154,1.0,1.0,1,1,8.563259148645134,8.563259148645134,"[0.0385, 0.9615]","[0.0385, 0.9615]",25,25
26,0,FictitiousPlayAgent,FictitiousPlayAgent,1.1111111111111112,1.1111111111111112,1.0,1.0,1,1,8.674370259756245,8.674370259756245,"[0.037, 0.963]","[0.037, 0.963]",26,26
27,0,FictitiousPlayAgent,FictitiousPlayAgent,1.1071428571428572,1.1071428571428572,1.0,1.0,1,1,8.781513116899102,8.781513116899102,"[0.0357, 0.9643]","[0.0357, 0.9643]",27,27
28,0,FictitiousPlayAgent,FictitiousPlayAgent,1.103448275862069,1.103448275862069,1.0,1.0,1,1,8.884961392761172,8.884961392761172,"[0.0345, 0.9655]","[0.0345, 0.9655]",28,28
29,0,FictitiousPlayAgent,FictitiousPlayAgent,1.1,1.1,1.0,1.0,1,1,8.984961392761171,8.984961392761171,"[0.0333, 0.9667]","[0.0333, 0.9667]",29,29
30,0,FictitiousPlayAgent,FictitiousPlayAgent,1.096774193548387,1.096774193548387,1.0,1.0,1,1,9.08173558630956,9.08173558630956,"[0.0323, 0.9677]","[0.0323, 0.9677]",30,30
31,0,FictitiousPlayAgent,FictitiousPlayAgent,1.09375,1.09375,1.0,1.0,1,1,9.17548558630956,9.17548558630956,"[0.0312, 0.9688]","[0.0312, 0.9688]",31,31
32,0,FictitiousPlayAgent,FictitiousPlayAgent,1.0909090909090908,1.0909090909090908,1.0,1.0,1,1,9.26639467721865,9.26639467721865,"[0.0303, 0.9697]","[0.0303, 0.9697]",32,32
33,0,FictitiousPlayAgent,FictitiousPlayAgent,1.088235294117647,1.088235294117647,1.0,1.0,1,1,9.354629971336296,9.354629971336296,"[0.0294, 0.9706]","[0.0294, 0.9706]",33,33
34,0,FictitiousPlayAgent,FictitiousPlayAgent,1.0857142857142856,1.0857142857142856,1.0,1.0,1,1,9.440344257050581,9.440344257050581,"[0.0286, 0.9714]","[0.0286, 0.9714]",34,34
35,0,FictitiousPlayAgent,FictitiousPlayAgent,1.0833333333333333,1.0833333333333333,1.0,1.0,1,1,9.523677590383915,9.523677590383915,"[0.0278, 0.9722]","[0.0278, 0.9722]",35,35
36,0,FictitiousPlayAgent,FictitiousPlayAgent,1.0810810810810811,1.0810810810810811,1.0,1.0,1,1,9.604758671464996,9.604758671464996,"[0.027, 0.973]","[0.027, 0.973]",36,36
37,0,FictitiousPlayAgent,FictitiousPlayAgent,1.0789473684210527,1.0789473684210527,1.0,1.0,1,1,9.683706039886049,9.683706039886049,"[0.0263, 0.9737]","[0.0263, 0.9737]",37,37
38,0,FictitiousPlayAgent,FictitiousPlayAgent,1.0769230769230769,1.0769230769230769,1.0,1.0,1,1,9.760629116809126,9.760629116809126,"[0.0256, 0.9744]","[0.0256, 0.9744]",38,38
39,0,FictitiousPlayAgent,FictitiousPlayAgent,1.075,1.075,1.0,1.0,1,1,9.835629116809125,9.835629116809125,"[0.025, 0.975]","[0.025, 0.975]",39,39
40,0,FictitiousPlayAgent,FictitiousPlayAgent,1.0731707317073171,1.0731707317073171,1.0,1.0,1,1,9.908799848516441,9.908799848516441,"[0.0244, 0.9756]","[0.0244, 0.9756]",40,40
41,0,FictitiousPlayAgent,FictitiousPlayAgent,1.0714285714285714,1.0714285714285714,1.0,1.0,1,1,9.980228419945012,9.980228419945012,"[0.0238, 0.9762]","[0.0238, 0.9762]",41,41
42,0,FictitiousPlayAgent,FictitiousPlayAgent,1.069767441860465,1.069767441860465,1.0,1.0,1,1,10.049995861805478,10.049995861805478,"[0.0233, 0.9767]","[0.0233, 0.9767]",42,42
43,0,FictitiousPlayAgent,FictitiousPlayAgent,1.0681818181818181,1.0681818181818181,1.0,1.0,1,1,10.118177679987296,10.118177679987296,"[0.0227, 0.9773]","[0.0227, 0.9773]",43,43
44,0,FictitiousPlayAgent,FictitiousPlayAgent,1.0666666666666667,1.0666666666666667,1.0,1.0,1,1,10.184844346653962,10.184844346653962,"[0.0222, 0.9778]","[0.0222, 0.9778]",44,44
45,0,FictitiousPlayAgent,FictitiousPlayAgent,1.065217391304348,1.065217391304348,1.0,1.0,1,1,10.25006173795831,10.25006173795831,"[0.0217, 0.9783]","[0.0217, 0.9783]",45,45
46,0,FictitiousPlayAgent,FictitiousPlayAgent,1.0638297872340425,1.0638297872340425,1.0,1.0,1,1,10.313891525192354,10.313891525192354,"[0.0213, 0.9787]","[0.0213, 0.9787]",46,46
