Round,State,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,0,FictitiousPlayAgent,FictitiousPlayAgent,0.5,0.0,-1.0,1.0,0,1,1.5,-1.0,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,0,FictitiousPlayAgent,FictitiousPlayAgent,0.3333333333333333,0.3333333333333333,1.0,-1.0,1,1,0.8333333333333333,0.33333333333333326,"[0.3333, 0.6667]","[0.6667, 0.3333]",1,2
3,0,FictitiousPlayAgent,FictitiousPlayAgent,0.5,0.0,1.0,-1.0,1,1,0.33333333333333326,1.3333333333333333,"[0.25, 0.75]","[0.5, 0.5]",2,3
4,1,FictitiousPlayAgent,FictitiousPlayAgent,0.0,0.5,-2.0,2.0,1,0,2.333333333333333,-0.16666666666666674,"[0.5, 0.5]","[0.5, 0.5]",3,1
5,0,FictitiousPlayAgent,FictitiousPlayAgent,0.6000000000000001,-0.19999999999999996,1.0,-1.0,1,1,1.9333333333333331,0.6333333333333333,"[0.2, 0.8]","[0.4, 0.6]",4,4
6,0,FictitiousPlayAgent,FictitiousPlayAgent,0.6666666666666667,0.0,-1.0,1.0,1,0,3.5999999999999996,-0.3666666666666667,"[0.1667, 0.8333]","[0.3333, 0.6667]",5,2
7,0,FictitiousPlayAgent,FictitiousPlayAgent,0.4285714285714286,0.1428571428571429,-1.0,1.0,1,0,5.0285714285714285,-1.223809523809524,"[0.2857, 0.7143]","[0.2857, 0.7143]",6,3
8,0,FictitiousPlayAgent,FictitiousPlayAgent,0.25,0.25,-1.0,1.0,1,0,6.2785714285714285,-1.973809523809524,"[0.375, 0.625]","[0.25, 0.75]",7,4
9,0,FictitiousPlayAgent,FictitiousPlayAgent,0.33333333333333326,0.33333333333333337,2.0,-2.0,0,0,4.6119047619047615,0.3595238095238096,"[0.4444, 0.5556]","[0.2222, 0.7778]",2,5
10,0,FictitiousPlayAgent,FictitiousPlayAgent,0.5,0.09999999999999998,2.0,-2.0,0,0,3.1119047619047615,2.4595238095238097,"[0.5, 0.5]","[0.3, 0.7]",3,6
11,0,FictitiousPlayAgent,FictitiousPlayAgent,0.6363636363636362,-0.09090909090909094,2.0,-2.0,0,0,1.7482683982683977,4.368614718614719,"[0.5455, 0.4545]","[0.3636, 0.6364]",4,7
12,0,FictitiousPlayAgent,FictitiousPlayAgent,0.75,-0.16666666666666669,-1.0,1.0,0,1,3.4982683982683977,3.201948051948052,"[0.5833, 0.4167]","[0.4167, 0.5833]",5,5
13,1,FictitiousPlayAgent,FictitiousPlayAgent,0.0,1.0,1.0,-1.0,0,0,2.4982683982683977,5.201948051948052,"[0.6667, 0.3333]","[0.3333, 0.6667]",6,8
14,1,FictitiousPlayAgent,FictitiousPlayAgent,0.25,0.5,1.0,-1.0,0,0,1.7482683982683977,6.701948051948052,"[0.75, 0.25]","[0.5, 0.5]",7,9
15,0,FictitiousPlayAgent,FictitiousPlayAgent,0.6153846153846153,-0.07692307692307687,-1.0,1.0,0,1,3.363653013653013,5.625024975024975,"[0.5385, 0.4615]","[0.4615, 0.5385]",8,6
16,0,FictitiousPlayAgent,FictitiousPlayAgent,0.5,0.0,-1.0,1.0,0,1,4.863653013653013,4.625024975024975,"[0.5, 0.5]","[0.5, 0.5]",9,7
17,1,FictitiousPlayAgent,FictitiousPlayAgent,0.4,0.3999999999999999,-2.0,2.0,0,1,7.263653013653013,3.025024975024975,"[0.8, 0.2]","[0.6, 0.4]",10,8
18,1,FictitiousPlayAgent,FictitiousPlayAgent,0.0,0.6666666666666666,-2.0,2.0,0,1,9.263653013653013,1.6916916416916417,"[0.6667, 0.3333]","[0.6667, 0.3333]",11,9
19,1,FictitiousPlayAgent,FictitiousPlayAgent,-0.2857142857142857,0.8571428571428572,-2.0,2.0,0,1,10.977938727938728,0.5488344988344989,"[0.5714, 0.4286]","[0.7143, 0.2857]",12,10
20,1,FictitiousPlayAgent,FictitiousPlayAgent,0.0,1.0,2.0,-2.0,1,1,8.977938727938728,3.548834498834499,"[0.5, 0.5]","[0.75, 0.25]",8,11
