Round,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,FictitiousPlayAgent,FictitiousPlayAgent,0.9781972556096341,-0.981814965593729,1.0,-1.0,11,8,-0.005917340498928114,0.019655441602433932,"[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]",1,1
2,FictitiousPlayAgent,FictitiousPlayAgent,0.9785488453815825,-0.9803764886492838,1.0,-1.0,0,12,-0.011766007411089685,0.039448467376593355,"[0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0952, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476]","[0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.1176, 0.0588, 0.0588, 0.0588, 0.0588]",1,1
3,FictitiousPlayAgent,FictitiousPlayAgent,0.9807237597766234,-0.9814351679066231,1.0,-1.0,5,11,-0.017627389862931775,0.059342991921769395,"[0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0909, 0.0455, 0.0455, 0.0455, 0.0909, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455]","[0.1111, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.1111, 0.0556, 0.0556, 0.0556, 0.0556]",1,1
4,FictitiousPlayAgent,FictitiousPlayAgent,0.9776340320816255,-0.9814419086925469,1.0,-1.0,13,4,-0.023550926603656652,0.0794802805588547,"[0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.087, 0.0435, 0.0435, 0.087, 0.087, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435]","[0.1053, 0.0526, 0.0526, 0.0526, 0.0526, 0.1053, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.1053, 0.0526, 0.0526, 0.0526, 0.0526]",1,1
5,FictitiousPlayAgent,FictitiousPlayAgent,0.9840239258986294,-0.9826609105926549,1.0,-1.0,2,16,-0.029531561750736568,0.0997930142619804,"[0.0417, 0.0417, 0.0417, 0.0417, 0.0833, 0.0417, 0.0417, 0.0417, 0.0833, 0.0417, 0.0417, 0.0833, 0.0833, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417]","[0.1, 0.05, 0.05, 0.05, 0.05, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.1, 0.05, 0.1, 0.05, 0.05]",1,1
6,FictitiousPlayAgent,FictitiousPlayAgent,0.9940655737057271,-0.981541973619248,1.0,-1.0,12,11,-0.035465988045009555,0.1201928129401254,"[0.04, 0.04, 0.04, 0.04, 0.08, 0.04, 0.04, 0.04, 0.08, 0.04, 0.04, 0.08, 0.08, 0.04, 0.04, 0.04, 0.08, 0.04, 0.04, 0.04]","[0.0952, 0.0476, 0.0952, 0.0476, 0.0476, 0.0952, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0952, 0.0476, 0.0952, 0.0476, 0.0476]",1,2
7,FictitiousPlayAgent,FictitiousPlayAgent,0.978150730971207,-0.9819785890206933,1.0,-1.0,10,2,-0.041452587600892876,0.13984163561923812,"[0.0385, 0.0385, 0.0385, 0.0385, 0.0769, 0.0385, 0.0385, 0.0385, 0.0769, 0.0385, 0.0385, 0.1154, 0.0769, 0.0385, 0.0385, 0.0385, 0.0769, 0.0385, 0.0385, 0.0385]","[0.0909, 0.0455, 0.0909, 0.0455, 0.0455, 0.0909, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0909, 0.0909, 0.0909, 0.0455, 0.0455]",1,1
8,FictitiousPlayAgent,FictitiousPlayAgent,0.9839194391487299,-0.9824097534356993,1.0,-1.0,14,18,-0.04754954266938727,0.1594416909854557,"[0.037, 0.037, 0.0741, 0.037, 0.0741, 0.037, 0.037, 0.037, 0.0741, 0.037, 0.037, 0.1111, 0.0741, 0.037, 0.037, 0.037, 0.0741, 0.037, 0.037, 0.037]","[0.087, 0.0435, 0.087, 0.0435, 0.0435, 0.087, 0.0435, 0.0435, 0.0435, 0.0435, 0.087, 0.087, 0.087, 0.087, 0.0435, 0.0435]",1,1
9,FictitiousPlayAgent,FictitiousPlayAgent,0.978737009989192,-0.9805554353180761,1.0,-1.0,0,3,-0.05354385160559261,0.1788862556673796,"[0.0357, 0.0357, 0.0714, 0.0357, 0.0714, 0.0357, 0.0357, 0.0357, 0.0714, 0.0357, 0.0357, 0.1071, 0.0714, 0.0357, 0.0357, 0.0357, 0.0714, 0.0357, 0.0714, 0.0357]","[0.0833, 0.0417, 0.0833, 0.0417, 0.0417, 0.0833, 0.0417, 0.0417, 0.0417, 0.0417, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0417]",2,1
10,FictitiousPlayAgent,FictitiousPlayAgent,0.9810720797272067,-0.9804974722541677,1.0,-1.0,5,3,-0.05959134156263968,0.1984195722265909,"[0.0345, 0.0345, 0.069, 0.069, 0.069, 0.0345, 0.0345, 0.0345, 0.069, 0.0345, 0.0345, 0.1034, 0.069, 0.0345, 0.0345, 0.0345, 0.069, 0.0345, 0.069, 0.0345]","[0.12, 0.04, 0.08, 0.04, 0.04, 0.08, 0.04, 0.04, 0.04, 0.04, 0.08, 0.08, 0.08, 0.08, 0.08, 0.04]",2,2
11,FictitiousPlayAgent,FictitiousPlayAgent,0.9787616332379366,-0.9817287985415211,1.0,-1.0,0,11,-0.06568846713913878,0.2181441859293498,"[0.0333, 0.0333, 0.0667, 0.1, 0.0667, 0.0333, 0.0333, 0.0333, 0.0667, 0.0333, 0.0333, 0.1, 0.0667, 0.0333, 0.0333, 0.0333, 0.0667, 0.0333, 0.0667, 0.0333]","[0.1154, 0.0385, 0.0769, 0.0385, 0.0385, 0.1154, 0.0385, 0.0385, 0.0385, 0.0385, 0.0769, 0.0769, 0.0769, 0.0769, 0.0769, 0.0385]",3,3
12,FictitiousPlayAgent,FictitiousPlayAgent,0.9782235616819189,-0.9800232654735457,1.0,-1.0,8,19,-0.07182410257111027,0.23812092045580402,"[0.0323, 0.0323, 0.0645, 0.0968, 0.0645, 0.0323, 0.0323, 0.0323, 0.0645, 0.0323, 0.0323, 0.129, 0.0645, 0.0323, 0.0323, 0.0323, 0.0645, 0.0323, 0.0645, 0.0323]","[0.1481, 0.037, 0.0741, 0.037, 0.037, 0.1111, 0.037, 0.037, 0.037, 0.037, 0.0741, 0.0741, 0.0741, 0.0741, 0.0741, 0.037]",1,1
13,FictitiousPlayAgent,FictitiousPlayAgent,0.9840809110332225,-0.9809944523194879,1.0,-1.0,2,14,-0.07788919710519016,0.25801322325475395,"[0.0312, 0.0312, 0.0625, 0.0938, 0.0625, 0.0312, 0.0312, 0.0312, 0.0625, 0.0312, 0.0312, 0.125, 0.0625, 0.0312, 0.0312, 0.0312, 0.0625, 0.0312, 0.0625, 0.0625]","[0.1429, 0.0357, 0.0714, 0.0357, 0.0357, 0.1071, 0.0357, 0.0357, 0.0714, 0.0357, 0.0714, 0.0714, 0.0714, 0.0714, 0.0714, 0.0357]",2,1
14,FictitiousPlayAgent,FictitiousPlayAgent,0.9775818629926547,-0.98207995244073,1.0,-1.0,1,18,-0.0838987130994634,0.27798307072196493,"[0.0303, 0.0303, 0.0606, 0.0909, 0.0606, 0.0303, 0.0303, 0.0303, 0.0606, 0.0303, 0.0303, 0.1212, 0.0606, 0.0303, 0.0606, 0.0303, 0.0606, 0.0303, 0.0606, 0.0606]","[0.1379, 0.0345, 0.1034, 0.0345, 0.0345, 0.1034, 0.0345, 0.0345, 0.069, 0.0345, 0.069, 0.069, 0.069, 0.069, 0.069, 0.0345]",1,2
15,FictitiousPlayAgent,FictitiousPlayAgent,0.9788374594139009,-0.9814236022453316,1.0,-1.0,15,2,-0.08982626872226962,0.2981158791908818,"[0.0294, 0.0294, 0.0588, 0.0882, 0.0588, 0.0294, 0.0294, 0.0294, 0.0588, 0.0294, 0.0294, 0.1176, 0.0588, 0.0294, 0.0588, 0.0294, 0.0588, 0.0294, 0.0882, 0.0588]","[0.1333, 0.0667, 0.1, 0.0333, 0.0333, 0.1, 0.0333, 0.0333, 0.0667, 0.0333, 0.0667, 0.0667, 0.0667, 0.0667, 0.0667, 0.0333]",1,2
16,FictitiousPlayAgent,FictitiousPlayAgent,0.9839581389376988,-0.9816685918755264,1.0,-1.0,2,15,-0.09584064271003512,0.31815719133212217,"[0.0286, 0.0286, 0.0857, 0.0857, 0.0571, 0.0286, 0.0286, 0.0286, 0.0571, 0.0286, 0.0286, 0.1143, 0.0571, 0.0286, 0.0571, 0.0286, 0.0571, 0.0286, 0.0857, 0.0571]","[0.129, 0.0645, 0.0968, 0.0323, 0.0323, 0.0968, 0.0323, 0.0323, 0.0645, 0.0323, 0.0645, 0.0645, 0.0645, 0.0645, 0.0645, 0.0645]",3,1
17,FictitiousPlayAgent,FictitiousPlayAgent,0.9808149290833961,-0.980430537156789,1.0,-1.0,5,6,-0.1017813371035321,0.338264121787028,"[0.0278, 0.0278, 0.0833, 0.0833, 0.0556, 0.0278, 0.0278, 0.0278, 0.0556, 0.0278, 0.0278, 0.1111, 0.0556, 0.0278, 0.0556, 0.0556, 0.0556, 0.0278, 0.0833, 0.0556]","[0.125, 0.0625, 0.125, 0.0312, 0.0312, 0.0938, 0.0312, 0.0312, 0.0625, 0.0312, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]",3,1
18,FictitiousPlayAgent,FictitiousPlayAgent,0.9780540347636857,-0.980435810463564,1.0,-1.0,10,6,-0.10773666435376639,0.3585043889642532,"[0.027, 0.027, 0.0811, 0.0811, 0.0541, 0.027, 0.0541, 0.027, 0.0541, 0.027, 0.027, 0.1081, 0.0541, 0.027, 0.0541, 0.0541, 0.0541, 0.027, 0.0811, 0.0541]","[0.1212, 0.0606, 0.1212, 0.0303, 0.0303, 0.1212, 0.0303, 0.0303, 0.0606, 0.0303, 0.0606, 0.0606, 0.0606, 0.0606, 0.0606, 0.0606]",2,2
19,FictitiousPlayAgent,FictitiousPlayAgent,0.9940308100433831,-0.9823001365107854,1.0,-1.0,12,13,-0.11370585431038327,0.37869427106222275,"[0.0263, 0.0263, 0.0789, 0.0789, 0.0526, 0.0263, 0.0789, 0.0263, 0.0526, 0.0263, 0.0263, 0.1053, 0.0526, 0.0263, 0.0526, 0.0526, 0.0526, 0.0263, 0.0789, 0.0526]","[0.1176, 0.0588, 0.1176, 0.0294, 0.0294, 0.1176, 0.0294, 0.0294, 0.0588, 0.0294, 0.0882, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588]",2,1
20,FictitiousPlayAgent,FictitiousPlayAgent,0.9776093725214874,-0.9816860062250625,1.0,-1.0,1,4,-0.11965105474261462,0.398418108720234,"[0.0256, 0.0256, 0.0769, 0.0769, 0.0513, 0.0256, 0.0769, 0.0256, 0.0513, 0.0256, 0.0256, 0.1026, 0.0513, 0.0513, 0.0513, 0.0513, 0.0513, 0.0256, 0.0769, 0.0513]","[0.1143, 0.0571, 0.1143, 0.0286, 0.0286, 0.1143, 0.0286, 0.0286, 0.0571, 0.0286, 0.0857, 0.0571, 0.0857, 0.0571, 0.0571, 0.0571]",2,2
21,FictitiousPlayAgent,FictitiousPlayAgent,0.9841423028605295,-0.981747739048896,1.0,-1.0,14,5,-0.12562997262637154,0.41828458081881126,"[0.025, 0.025, 0.075, 0.075, 0.075, 0.025, 0.075, 0.025, 0.05, 0.025, 0.025, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.025, 0.075, 0.05]","[0.1111, 0.0833, 0.1111, 0.0278, 0.0278, 0.1111, 0.0278, 0.0278, 0.0556, 0.0278, 0.0833, 0.0556, 0.0833, 0.0556, 0.0556, 0.0556]",2,1
22,FictitiousPlayAgent,FictitiousPlayAgent,0.9786277207113045,-0.9815591626364634,1.0,-1.0,15,4,-0.13165115415725326,0.43791141217458196,"[0.0244, 0.0244, 0.0732, 0.0732, 0.0732, 0.0488, 0.0732, 0.0244, 0.0488, 0.0244, 0.0244, 0.0976, 0.0488, 0.0488, 0.0488, 0.0488, 0.0488, 0.0244, 0.0732, 0.0488]","[0.1081, 0.0811, 0.1081, 0.027, 0.027, 0.1081, 0.027, 0.027, 0.0541, 0.027, 0.0811, 0.0541, 0.0811, 0.0541, 0.0811, 0.0541]",2,3
23,FictitiousPlayAgent,FictitiousPlayAgent,0.9841832475351014,-0.9827707014996367,1.0,-1.0,9,7,-0.13770263847295328,0.45768671447344633,"[0.0238, 0.0238, 0.0714, 0.0714, 0.0952, 0.0476, 0.0714, 0.0238, 0.0476, 0.0238, 0.0238, 0.0952, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0238, 0.0714, 0.0476]","[0.1053, 0.0789, 0.1053, 0.0263, 0.0263, 0.1053, 0.0263, 0.0263, 0.0526, 0.0263, 0.0789, 0.0526, 0.0789, 0.0526, 0.0789, 0.0789]",1,1
24,FictitiousPlayAgent,FictitiousPlayAgent,0.9939654313008703,-0.9826354276165423,1.0,-1.0,12,9,-0.14373720717208294,0.4774542323016364,"[0.0233, 0.0233, 0.0698, 0.0698, 0.093, 0.0465, 0.0698, 0.0465, 0.0465, 0.0233, 0.0233, 0.093, 0.0465, 0.0465, 0.0465, 0.0465, 0.0465, 0.0233, 0.0698, 0.0465]","[0.1026, 0.0769, 0.1026, 0.0256, 0.0256, 0.1026, 0.0256, 0.0256, 0.0513, 0.0513, 0.0769, 0.0513, 0.0769, 0.0513, 0.0769, 0.0769]",3,1
25,FictitiousPlayAgent,FictitiousPlayAgent,0.9780376103659807,-0.9805382561539995,1.0,-1.0,10,3,-0.14971544342930876,0.49691597614763705,"[0.0227, 0.0227, 0.0682, 0.0682, 0.0909, 0.0455, 0.0682, 0.0455, 0.0455, 0.0455, 0.0227, 0.0909, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0227, 0.0682, 0.0455]","[0.1, 0.075, 0.1, 0.025, 0.025, 0.1, 0.025, 0.025, 0.05, 0.05, 0.075, 0.05, 0.1, 0.05, 0.075, 0.075]",3,3
