Round,State,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9975727051819346,-0.9979532098708308,1.0,-1.0,13,15,-0.00011039721880701237,0.003447873531689516,"[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]",1,1
2,0,FictitiousPlayAgent,FictitiousPlayAgent,0.99758027061708,-0.9971043582792558,1.0,-1.0,13,12,-0.0002248017596253593,0.006834457389614523,"[0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0952, 0.0476, 0.0476, 0.0476, 0.0476]","[0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.1176, 0.0588, 0.0588]",2,1
3,0,FictitiousPlayAgent,FictitiousPlayAgent,0.994913891297891,-0.997592408846952,1.0,-1.0,9,14,-0.0003381404747582195,0.01016656153752693,"[0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0909, 0.0455, 0.0455, 0.0909, 0.0455, 0.0455, 0.0455, 0.0455]","[0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.1667, 0.0556, 0.0556]",1,1
4,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9982368492178878,-0.9969021204696975,1.0,-1.0,11,6,-0.00045289974280127154,0.013745801359011045,"[0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.087, 0.0435, 0.087, 0.087, 0.0435, 0.0435, 0.0435, 0.0435]","[0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.1053, 0.0526, 0.0526, 0.0526, 0.1579, 0.0526, 0.0526]",1,1
5,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9998865103103396,-0.9975397929425458,1.0,-1.0,6,13,-0.000566389432461567,0.017217362152175952,"[0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0833, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0833, 0.0417, 0.0833, 0.0833, 0.0417, 0.0417, 0.0417, 0.0417]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.1, 0.05, 0.1, 0.05, 0.15, 0.05, 0.05]",1,1
6,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9997256495797424,-0.9970788503810643,1.0,-1.0,7,4,-0.0006799040581588756,0.020526181567132484,"[0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.08, 0.04, 0.04, 0.04, 0.04, 0.04, 0.08, 0.08, 0.08, 0.08, 0.04, 0.04, 0.04, 0.04]","[0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0952, 0.0476, 0.0476, 0.0952, 0.0476, 0.0952, 0.0476, 0.1429, 0.0476, 0.0476]",1,1
7,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9960009177191169,-0.9977462342733664,1.0,-1.0,8,13,-0.0007917883460275554,0.0236912321328705,"[0.0385, 0.0385, 0.0385, 0.0385, 0.0769, 0.0385, 0.0769, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0769, 0.0769, 0.0769, 0.0769, 0.0385, 0.0385, 0.0385, 0.0385]","[0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0909, 0.0909, 0.0455, 0.0909, 0.0455, 0.0909, 0.0455, 0.1364, 0.0455, 0.0455]",1,2
8,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9997291462840839,-0.9976553726565089,1.0,-1.0,7,8,-0.0009037551821451384,0.02696035236070149,"[0.037, 0.037, 0.037, 0.037, 0.0741, 0.037, 0.0741, 0.037, 0.037, 0.037, 0.037, 0.037, 0.0741, 0.1111, 0.0741, 0.0741, 0.037, 0.037, 0.037, 0.037]","[0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.087, 0.087, 0.087, 0.087, 0.0435, 0.087, 0.0435, 0.1304, 0.0435, 0.0435]",2,1
9,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9962571914015682,-0.9969495261447143,1.0,-1.0,10,1,-0.0010165556661239084,0.030099338609545945,"[0.0357, 0.0357, 0.0357, 0.0357, 0.0714, 0.0357, 0.0714, 0.0357, 0.0714, 0.0357, 0.0357, 0.0357, 0.0714, 0.1071, 0.0714, 0.0714, 0.0357, 0.0357, 0.0357, 0.0357]","[0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0833, 0.125, 0.0833, 0.0833, 0.0417, 0.0833, 0.0417, 0.125, 0.0417, 0.0417]",1,1
10,0,FictitiousPlayAgent,FictitiousPlayAgent,0.9998890790023793,-0.9976871405371505,1.0,-1.0,6,8,-0.0011274766637445754,0.03331393501348168,"[0.0345, 0.069, 0.0345, 0.0345, 0.069, 0.0345, 0.069, 0.0345, 0.069, 0.0345, 0.0345, 0.0345, 0.069, 0.1034, 0.069, 0.069, 0.0345, 0.0345, 0.0345, 0.0345]","[0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.08, 0.12, 0.08, 0.08, 0.08, 0.08, 0.04, 0.12, 0.04, 0.04]",2,2
