Round,State,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,0,FictitiousPlayAgent,IndependentQLearner,0.5,0.5,0.0,0.0,0,0,0.5,0.5,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,0,FictitiousPlayAgent,IndependentQLearner,0.6666666666666666,0.3333333333333333,1.0,1.0,1,0,0.16666666666666663,0.16666666666666663,"[0.6667, 0.3333]","[0.6667, 0.3333]",1,2
3,0,FictitiousPlayAgent,IndependentQLearner,0.75,0.5,1.0,1.0,1,0,-0.08333333333333337,-0.33333333333333337,"[0.75, 0.25]","[0.5, 0.5]",2,3
4,0,FictitiousPlayAgent,IndependentQLearner,0.8,0.6,1.0,1.0,1,0,-0.2833333333333333,-0.7333333333333334,"[0.8, 0.2]","[0.4, 0.6]",3,4
5,0,FictitiousPlayAgent,IndependentQLearner,0.8333333333333334,0.6666666666666666,1.0,1.0,1,0,-0.44999999999999996,-1.0666666666666669,"[0.8333, 0.1667]","[0.3333, 0.6667]",4,5
6,0,FictitiousPlayAgent,IndependentQLearner,0.8571428571428571,0.7142857142857143,1.0,1.0,1,0,-0.5928571428571429,-1.3523809523809525,"[0.8571, 0.1429]","[0.2857, 0.7143]",5,6
7,0,FictitiousPlayAgent,IndependentQLearner,0.875,0.75,1.0,1.0,1,0,-0.7178571428571429,-1.6023809523809525,"[0.875, 0.125]","[0.25, 0.75]",6,7
8,0,FictitiousPlayAgent,IndependentQLearner,0.8888888888888888,0.7777777777777778,1.0,1.0,1,0,-0.828968253968254,-1.8246031746031748,"[0.8889, 0.1111]","[0.2222, 0.7778]",7,8
9,0,FictitiousPlayAgent,IndependentQLearner,0.9,0.8,1.0,1.0,1,0,-0.928968253968254,-2.0246031746031745,"[0.9, 0.1]","[0.2, 0.8]",8,9
10,0,FictitiousPlayAgent,IndependentQLearner,0.9090909090909091,0.8181818181818182,1.0,1.0,1,0,-1.019877344877345,-2.206421356421356,"[0.9091, 0.0909]","[0.1818, 0.8182]",9,10
11,0,FictitiousPlayAgent,IndependentQLearner,0.9166666666666666,0.8333333333333334,1.0,1.0,1,0,-1.1032106782106785,-2.3730880230880227,"[0.9167, 0.0833]","[0.1667, 0.8333]",10,11
12,0,FictitiousPlayAgent,IndependentQLearner,0.9230769230769231,0.8461538461538461,1.0,1.0,1,0,-1.1801337551337554,-2.5269341769341764,"[0.9231, 0.0769]","[0.1538, 0.8462]",11,12
13,0,FictitiousPlayAgent,IndependentQLearner,0.9285714285714286,0.8571428571428571,1.0,1.0,1,0,-1.2515623265623268,-2.6697913197913192,"[0.9286, 0.0714]","[0.1429, 0.8571]",12,13
14,0,FictitiousPlayAgent,IndependentQLearner,0.9333333333333333,0.8666666666666667,1.0,1.0,1,0,-1.3182289932289935,-2.8031246531246525,"[0.9333, 0.0667]","[0.1333, 0.8667]",13,14
