Round,State,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,0,FictitiousPlayAgent,IndependentQLearner,0.0,0.0,1.0,-1.0,0,0,-1.0,1.0,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,0,FictitiousPlayAgent,IndependentQLearner,0.3333333333333333,0.3333333333333333,-1.0,1.0,0,1,0.33333333333333326,0.33333333333333326,"[0.6667, 0.3333]","[0.6667, 0.3333]",2,1
3,0,FictitiousPlayAgent,IndependentQLearner,0.0,0.5,-1.0,1.0,0,1,1.3333333333333333,-0.16666666666666674,"[0.5, 0.5]","[0.75, 0.25]",3,2
4,0,FictitiousPlayAgent,IndependentQLearner,0.19999999999999996,0.6000000000000001,1.0,-1.0,1,1,0.5333333333333332,1.4333333333333333,"[0.4, 0.6]","[0.8, 0.2]",1,3
5,0,FictitiousPlayAgent,IndependentQLearner,0.3333333333333333,0.3333333333333333,1.0,-1.0,1,1,-0.13333333333333353,2.7666666666666666,"[0.3333, 0.6667]","[0.6667, 0.3333]",2,4
6,0,FictitiousPlayAgent,IndependentQLearner,0.4285714285714286,0.14285714285714285,1.0,-1.0,1,1,-0.7047619047619049,3.9095238095238094,"[0.2857, 0.7143]","[0.5714, 0.4286]",3,5
7,0,FictitiousPlayAgent,IndependentQLearner,0.5,0.0,-1.0,1.0,1,0,0.7952380952380951,2.9095238095238094,"[0.25, 0.75]","[0.5, 0.5]",4,2
8,0,FictitiousPlayAgent,IndependentQLearner,0.3333333333333333,0.11111111111111116,-1.0,1.0,1,0,2.128571428571428,2.0206349206349206,"[0.3333, 0.6667]","[0.4444, 0.5556]",5,3
9,0,FictitiousPlayAgent,IndependentQLearner,0.19999999999999996,0.19999999999999996,-1.0,1.0,1,0,3.3285714285714283,1.2206349206349205,"[0.4, 0.6]","[0.4, 0.6]",6,4
10,0,FictitiousPlayAgent,IndependentQLearner,0.09090909090909088,0.2727272727272727,-1.0,1.0,1,0,4.419480519480519,0.4933621933621932,"[0.4545, 0.5455]","[0.3636, 0.6364]",7,5
11,0,FictitiousPlayAgent,IndependentQLearner,0.0,0.3333333333333333,1.0,-1.0,0,0,3.419480519480519,1.8266955266955265,"[0.5, 0.5]","[0.3333, 0.6667]",4,6
12,0,FictitiousPlayAgent,IndependentQLearner,0.07692307692307687,0.23076923076923078,1.0,-1.0,0,0,2.4964035964035958,3.057464757464757,"[0.5385, 0.4615]","[0.3846, 0.6154]",5,7
13,0,FictitiousPlayAgent,IndependentQLearner,0.14285714285714285,0.14285714285714285,1.0,-1.0,0,0,1.6392607392607386,4.2003219003218994,"[0.5714, 0.4286]","[0.4286, 0.5714]",6,8
14,0,FictitiousPlayAgent,IndependentQLearner,0.19999999999999996,0.06666666666666665,1.0,-1.0,0,0,0.8392607392607385,5.266988566988566,"[0.6, 0.4]","[0.4667, 0.5333]",7,9
15,0,FictitiousPlayAgent,IndependentQLearner,0.25,0.0,-1.0,1.0,0,1,2.0892607392607383,4.266988566988566,"[0.625, 0.375]","[0.5, 0.5]",8,6
