Round,State,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,0,FictitiousPlayAgent,IndependentQLearner,0.5,-0.5,2.0,-2.0,0,0,-1.5,2.0,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,0,FictitiousPlayAgent,IndependentQLearner,1.0,0.3333333333333333,-1.0,1.0,0,1,0.5,1.3333333333333333,"[0.6667, 0.3333]","[0.6667, 0.3333]",2,1
3,0,FictitiousPlayAgent,IndependentQLearner,0.5,0.5,-1.0,1.0,0,1,2.0,0.8333333333333333,"[0.5, 0.5]","[0.75, 0.25]",3,2
4,1,FictitiousPlayAgent,IndependentQLearner,0.0,0.5,-2.0,2.0,1,0,4.0,-0.6666666666666667,"[0.5, 0.5]","[0.5, 0.5]",1,2
5,0,FictitiousPlayAgent,IndependentQLearner,0.20000000000000007,0.6000000000000001,-1.0,1.0,0,1,5.2,-1.0666666666666667,"[0.4, 0.6]","[0.8, 0.2]",4,3
6,0,FictitiousPlayAgent,IndependentQLearner,0.3333333333333333,0.6666666666666667,1.0,-1.0,1,1,4.533333333333333,0.6000000000000001,"[0.3333, 0.6667]","[0.8333, 0.1667]",2,4
7,0,FictitiousPlayAgent,IndependentQLearner,0.4285714285714286,0.4285714285714286,1.0,-1.0,1,1,3.961904761904762,2.0285714285714285,"[0.2857, 0.7143]","[0.7143, 0.2857]",3,5
8,0,FictitiousPlayAgent,IndependentQLearner,0.5,0.25,1.0,-1.0,1,1,3.461904761904762,3.2785714285714285,"[0.25, 0.75]","[0.625, 0.375]",4,6
9,0,FictitiousPlayAgent,IndependentQLearner,0.5555555555555556,0.11111111111111116,1.0,-1.0,1,1,3.0174603174603174,4.389682539682539,"[0.2222, 0.7778]","[0.5556, 0.4444]",5,7
10,0,FictitiousPlayAgent,IndependentQLearner,0.6000000000000001,0.0,1.0,-1.0,1,1,2.6174603174603175,5.389682539682539,"[0.2, 0.8]","[0.5, 0.5]",6,8
11,0,FictitiousPlayAgent,IndependentQLearner,0.6363636363636365,-0.36363636363636365,-1.0,1.0,1,0,4.253823953823954,4.298773448773448,"[0.1818, 0.8182]","[0.4545, 0.5455]",7,3
