Round,State,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,0,FictitiousPlayAgent,IndependentQLearner,0.999889602781193,-0.9970112594910753,1.0,-1.0,6,0,-0.00011039721880701237,0.003447873531689516,"[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]",1,1
2,0,FictitiousPlayAgent,IndependentQLearner,0.9998926219722666,-0.9968568794498617,1.0,-1.0,6,1,-0.00021777524654043035,0.006696106964502513,"[0.0952, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476]","[0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.1176, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588]",2,1
3,0,FictitiousPlayAgent,IndependentQLearner,0.9998948530017276,-0.996929224432855,1.0,-1.0,6,2,-0.0003229222448127844,0.009766882531647592,"[0.0909, 0.0909, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455]","[0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.1667, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556]",3,1
4,0,FictitiousPlayAgent,IndependentQLearner,0.9998970771385747,-0.9972187644955839,1.0,-1.0,6,3,-0.00042584510623810967,0.012678880008458071,"[0.087, 0.087, 0.087, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435]","[0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.2105, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526]",4,1
5,0,FictitiousPlayAgent,IndependentQLearner,0.9998984870770022,-0.9975805975486925,1.0,-1.0,6,4,-0.0005273580292358693,0.015447977203967178,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.25, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",5,1
6,0,FictitiousPlayAgent,IndependentQLearner,0.999899702560236,-0.9976258513496348,1.0,-1.0,6,5,-0.0006276554690000102,0.01808778366877517,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]","[0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.2857, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476]",6,1
7,0,FictitiousPlayAgent,IndependentQLearner,0.9999010264951296,-0.9978068212987915,1.0,-1.0,6,6,-0.0007266289738704357,0.02061005310567321,"[0.0769, 0.0769, 0.0769, 0.0769, 0.0769, 0.0769, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385]","[0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.3182, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455]",7,1
8,0,FictitiousPlayAgent,IndependentQLearner,0.999901570351352,-0.9982467814165129,1.0,-1.0,6,7,-0.0008250586225184708,0.023025006125784064,"[0.0741, 0.0741, 0.0741, 0.0741, 0.0741, 0.0741, 0.0741, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037]","[0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.3478, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435]",8,1
9,0,FictitiousPlayAgent,IndependentQLearner,0.9999013089551112,-0.9983302705220893,1.0,-1.0,6,8,-0.0009237496674072698,0.025341585763839714,"[0.0714, 0.0714, 0.0714, 0.0714, 0.0714, 0.0714, 0.0714, 0.0714, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357]","[0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.375, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417]",9,1
10,0,FictitiousPlayAgent,IndependentQLearner,0.9999000462678234,-0.998606599258209,1.0,-1.0,6,9,-0.0010237033995839084,0.027567661890404493,"[0.069, 0.069, 0.069, 0.069, 0.069, 0.069, 0.069, 0.069, 0.069, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345]","[0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.4, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]",10,1
