Round,State,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,0,IndependentQLearner,FictitiousPlayAgent,0.5,0.5,0.0,0.0,0,0,0.5,0.5,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,0,IndependentQLearner,FictitiousPlayAgent,0.3333333333333333,0.6666666666666666,1.0,1.0,0,1,0.16666666666666663,0.16666666666666663,"[0.6667, 0.3333]","[0.6667, 0.3333]",2,1
3,0,IndependentQLearner,FictitiousPlayAgent,0.5,0.75,1.0,1.0,0,1,-0.33333333333333337,-0.08333333333333337,"[0.5, 0.5]","[0.75, 0.25]",3,2
4,0,IndependentQLearner,FictitiousPlayAgent,0.6,0.8,1.0,1.0,0,1,-0.7333333333333334,-0.2833333333333333,"[0.4, 0.6]","[0.8, 0.2]",4,3
5,0,IndependentQLearner,FictitiousPlayAgent,0.6666666666666666,0.8333333333333334,1.0,1.0,0,1,-1.0666666666666669,-0.44999999999999996,"[0.3333, 0.6667]","[0.8333, 0.1667]",5,4
6,0,IndependentQLearner,FictitiousPlayAgent,0.7142857142857143,0.8571428571428571,1.0,1.0,0,1,-1.3523809523809525,-0.5928571428571429,"[0.2857, 0.7143]","[0.8571, 0.1429]",6,5
7,0,IndependentQLearner,FictitiousPlayAgent,0.75,0.875,1.0,1.0,0,1,-1.6023809523809525,-0.7178571428571429,"[0.25, 0.75]","[0.875, 0.125]",7,6
8,0,IndependentQLearner,FictitiousPlayAgent,0.7777777777777778,0.8888888888888888,1.0,1.0,0,1,-1.8246031746031748,-0.828968253968254,"[0.2222, 0.7778]","[0.8889, 0.1111]",8,7
9,0,IndependentQLearner,FictitiousPlayAgent,0.8,0.9,1.0,1.0,0,1,-2.0246031746031745,-0.928968253968254,"[0.2, 0.8]","[0.9, 0.1]",9,8
10,0,IndependentQLearner,FictitiousPlayAgent,0.8181818181818182,0.9090909090909091,1.0,1.0,0,1,-2.206421356421356,-1.019877344877345,"[0.1818, 0.8182]","[0.9091, 0.0909]",10,9
11,0,IndependentQLearner,FictitiousPlayAgent,0.8333333333333334,0.9166666666666666,1.0,1.0,0,1,-2.3730880230880227,-1.1032106782106785,"[0.1667, 0.8333]","[0.9167, 0.0833]",11,10
12,0,IndependentQLearner,FictitiousPlayAgent,0.8461538461538461,0.9230769230769231,1.0,1.0,0,1,-2.5269341769341764,-1.1801337551337554,"[0.1538, 0.8462]","[0.9231, 0.0769]",12,11
13,0,IndependentQLearner,FictitiousPlayAgent,0.8571428571428571,0.9285714285714286,1.0,1.0,0,1,-2.6697913197913192,-1.2515623265623268,"[0.1429, 0.8571]","[0.9286, 0.0714]",13,12
14,0,IndependentQLearner,FictitiousPlayAgent,0.8666666666666667,0.9333333333333333,1.0,1.0,0,1,-2.8031246531246525,-1.3182289932289935,"[0.1333, 0.8667]","[0.9333, 0.0667]",14,13
15,0,IndependentQLearner,FictitiousPlayAgent,0.875,0.9375,1.0,1.0,0,1,-2.9281246531246525,-1.3807289932289935,"[0.125, 0.875]","[0.9375, 0.0625]",15,14
16,0,IndependentQLearner,FictitiousPlayAgent,0.8823529411764706,0.9411764705882353,1.0,1.0,0,1,-3.045771711948182,-1.4395525226407582,"[0.1176, 0.8824]","[0.9412, 0.0588]",16,15
17,0,IndependentQLearner,FictitiousPlayAgent,0.8888888888888888,0.9444444444444444,1.0,1.0,0,1,-3.156882823059293,-1.4951080781963138,"[0.1111, 0.8889]","[0.9444, 0.0556]",17,16
18,0,IndependentQLearner,FictitiousPlayAgent,0.8947368421052632,0.9473684210526315,1.0,1.0,0,1,-3.26214598095403,-1.5477396571436821,"[0.1053, 0.8947]","[0.9474, 0.0526]",18,17
19,0,IndependentQLearner,FictitiousPlayAgent,0.9,0.95,1.0,1.0,0,1,-3.36214598095403,-1.5977396571436822,"[0.1, 0.9]","[0.95, 0.05]",19,18
20,0,IndependentQLearner,FictitiousPlayAgent,0.9047619047619048,0.9523809523809523,1.0,1.0,0,1,-3.4573840761921253,-1.6453587047627298,"[0.0952, 0.9048]","[0.9524, 0.0476]",20,19
21,0,IndependentQLearner,FictitiousPlayAgent,0.9090909090909091,0.9545454545454546,1.0,1.0,0,1,-3.548293167101216,-1.6908132502172752,"[0.0909, 0.9091]","[0.9545, 0.0455]",21,20
22,0,IndependentQLearner,FictitiousPlayAgent,0.9130434782608695,0.9565217391304348,1.0,1.0,0,1,-3.6352496888403465,-1.7342915110868404,"[0.087, 0.913]","[0.9565, 0.0435]",22,21
23,0,IndependentQLearner,FictitiousPlayAgent,0.9166666666666666,0.9583333333333334,1.0,1.0,0,1,-3.71858302217368,-1.7759581777535072,"[0.0833, 0.9167]","[0.9583, 0.0417]",23,22
24,0,IndependentQLearner,FictitiousPlayAgent,0.92,0.96,1.0,1.0,0,1,-3.79858302217368,-1.8159581777535072,"[0.08, 0.92]","[0.96, 0.04]",24,23
25,0,IndependentQLearner,FictitiousPlayAgent,0.9230769230769231,0.9615384615384616,1.0,1.0,0,1,-3.875506099096757,-1.8544197162150455,"[0.0769, 0.9231]","[0.9615, 0.0385]",25,24
26,0,IndependentQLearner,FictitiousPlayAgent,0.9259259259259259,0.9629629629629629,1.0,1.0,0,1,-3.949580173170831,-1.8914567532520827,"[0.0741, 0.9259]","[0.963, 0.037]",26,25
27,0,IndependentQLearner,FictitiousPlayAgent,0.9285714285714286,0.9642857142857143,1.0,1.0,0,1,-4.021008744599403,-1.9271710389663683,"[0.0714, 0.9286]","[0.9643, 0.0357]",27,26
28,0,IndependentQLearner,FictitiousPlayAgent,0.9310344827586207,0.9655172413793104,1.0,1.0,0,1,-4.089974261840782,-1.9616537975870578,"[0.069, 0.931]","[0.9655, 0.0345]",28,27
29,0,IndependentQLearner,FictitiousPlayAgent,0.9333333333333333,0.9666666666666667,1.0,1.0,0,1,-4.156640928507448,-1.994987130920391,"[0.0667, 0.9333]","[0.9667, 0.0333]",29,28
30,0,IndependentQLearner,FictitiousPlayAgent,0.9354838709677419,0.967741935483871,1.0,1.0,0,1,-4.221157057539706,-2.02724519543652,"[0.0645, 0.9355]","[0.9677, 0.0323]",30,29
31,0,IndependentQLearner,FictitiousPlayAgent,0.9375,0.96875,1.0,1.0,0,1,-4.283657057539706,-2.05849519543652,"[0.0625, 0.9375]","[0.9688, 0.0312]",31,30
32,0,IndependentQLearner,FictitiousPlayAgent,0.9393939393939394,0.9696969696969697,1.0,1.0,0,1,-4.344263118145767,-2.0887982257395503,"[0.0606, 0.9394]","[0.9697, 0.0303]",32,31
33,0,IndependentQLearner,FictitiousPlayAgent,0.9411764705882353,0.9705882352941176,1.0,1.0,0,1,-4.403086647557531,-2.1182099904454326,"[0.0588, 0.9412]","[0.9706, 0.0294]",33,32
34,0,IndependentQLearner,FictitiousPlayAgent,0.9428571428571428,0.9714285714285714,1.0,1.0,0,1,-4.460229504700388,-2.146781419016861,"[0.0571, 0.9429]","[0.9714, 0.0286]",34,33
35,0,IndependentQLearner,FictitiousPlayAgent,0.9444444444444444,0.9722222222222222,1.0,1.0,0,1,-4.5157850602559435,-2.1745591967946387,"[0.0556, 0.9444]","[0.9722, 0.0278]",35,34
36,0,IndependentQLearner,FictitiousPlayAgent,0.9459459459459459,0.972972972972973,1.0,1.0,0,1,-4.569839114309998,-2.201586223821666,"[0.0541, 0.9459]","[0.973, 0.027]",36,35
37,0,IndependentQLearner,FictitiousPlayAgent,0.9473684210526315,0.9736842105263158,1.0,1.0,0,1,-4.622470693257366,-2.22790201329535,"[0.0526, 0.9474]","[0.9737, 0.0263]",37,36
38,0,IndependentQLearner,FictitiousPlayAgent,0.9487179487179487,0.9743589743589743,1.0,1.0,0,1,-4.673752744539417,-2.2535430389363755,"[0.0513, 0.9487]","[0.9744, 0.0256]",38,37
39,0,IndependentQLearner,FictitiousPlayAgent,0.95,0.975,1.0,1.0,0,1,-4.723752744539417,-2.2785430389363754,"[0.05, 0.95]","[0.975, 0.025]",39,38
40,0,IndependentQLearner,FictitiousPlayAgent,0.9512195121951219,0.975609756097561,1.0,1.0,0,1,-4.772533232344295,-2.3029332828388145,"[0.0488, 0.9512]","[0.9756, 0.0244]",40,39
41,0,IndependentQLearner,FictitiousPlayAgent,0.9523809523809523,0.9761904761904762,1.0,1.0,0,1,-4.8201522799633425,-2.326742806648338,"[0.0476, 0.9524]","[0.9762, 0.0238]",41,40
42,0,IndependentQLearner,FictitiousPlayAgent,0.9534883720930233,0.9767441860465116,1.0,1.0,0,1,-4.866663907870319,-2.3499986206018266,"[0.0465, 0.9535]","[0.9767, 0.0233]",42,41
43,0,IndependentQLearner,FictitiousPlayAgent,0.9545454545454546,0.9772727272727273,1.0,1.0,0,1,-4.912118453324865,-2.3727258933290996,"[0.0455, 0.9545]","[0.9773, 0.0227]",43,42
44,0,IndependentQLearner,FictitiousPlayAgent,0.9555555555555556,0.9777777777777777,1.0,1.0,0,1,-4.9565628977693095,-2.3949481155513217,"[0.0444, 0.9556]","[0.9778, 0.0222]",44,43
45,0,IndependentQLearner,FictitiousPlayAgent,0.9565217391304348,0.9782608695652174,1.0,1.0,0,1,-5.000041158638875,-2.4166872459861044,"[0.0435, 0.9565]","[0.9783, 0.0217]",45,44
46,0,IndependentQLearner,FictitiousPlayAgent,0.9574468085106383,0.9787234042553191,1.0,1.0,0,1,-5.042594350128237,-2.4379638417307854,"[0.0426, 0.9574]","[0.9787, 0.0213]",46,45
47,0,IndependentQLearner,FictitiousPlayAgent,0.9583333333333334,0.9791666666666666,1.0,1.0,0,1,-5.084261016794904,-2.458797175064119,"[0.0417, 0.9583]","[0.9792, 0.0208]",47,46
48,0,IndependentQLearner,FictitiousPlayAgent,0.9591836734693877,0.9795918367346939,1.0,1.0,0,1,-5.125077343325517,-2.4792053383294252,"[0.0408, 0.9592]","[0.9796, 0.0204]",48,47
49,0,IndependentQLearner,FictitiousPlayAgent,0.96,0.98,1.0,1.0,0,1,-5.165077343325517,-2.4992053383294253,"[0.04, 0.96]","[0.98, 0.02]",49,48
50,0,IndependentQLearner,FictitiousPlayAgent,0.9607843137254902,0.9803921568627451,1.0,1.0,0,1,-5.204293029600026,-2.51881318146668,"[0.0392, 0.9608]","[0.9804, 0.0196]",50,49
51,0,IndependentQLearner,FictitiousPlayAgent,0.9615384615384616,0.9807692307692307,1.0,1.0,0,1,-5.242754568061565,-2.5380439506974493,"[0.0385, 0.9615]","[0.9808, 0.0192]",51,50
52,0,IndependentQLearner,FictitiousPlayAgent,0.9622641509433962,0.9811320754716981,1.0,1.0,0,1,-5.280490417118168,-2.556911875225751,"[0.0377, 0.9623]","[0.9811, 0.0189]",52,51
53,0,IndependentQLearner,FictitiousPlayAgent,0.9629629629629629,0.9814814814814815,1.0,1.0,0,1,-5.317527454155205,-2.5754303937442695,"[0.037, 0.963]","[0.9815, 0.0185]",53,52
54,0,IndependentQLearner,FictitiousPlayAgent,0.9636363636363636,0.9818181818181818,1.0,1.0,0,1,-5.353891090518841,-2.5936122119260876,"[0.0364, 0.9636]","[0.9818, 0.0182]",54,53
55,0,IndependentQLearner,FictitiousPlayAgent,0.9642857142857143,0.9821428571428571,1.0,1.0,0,1,-5.389605376233127,-2.6114693547832304,"[0.0357, 0.9643]","[0.9821, 0.0179]",55,54
56,0,IndependentQLearner,FictitiousPlayAgent,0.9649122807017544,0.9824561403508771,1.0,1.0,0,1,-5.424693095531373,-2.6290132144323533,"[0.0351, 0.9649]","[0.9825, 0.0175]",56,55
57,0,IndependentQLearner,FictitiousPlayAgent,0.9655172413793104,0.9827586206896551,1.0,1.0,0,1,-5.459175854152062,-2.646254593742698,"[0.0345, 0.9655]","[0.9828, 0.0172]",57,56
58,0,IndependentQLearner,FictitiousPlayAgent,0.9661016949152542,0.9830508474576272,1.0,1.0,0,1,-5.493074159236808,-2.663203746285071,"[0.0339, 0.9661]","[0.9831, 0.0169]",58,57
