Round,State,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,0,IndependentQLearner,FictitiousPlayAgent,0.0,0.0,1.0,-1.0,0,0,-1.0,1.0,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,0,IndependentQLearner,FictitiousPlayAgent,0.3333333333333333,0.3333333333333333,-1.0,1.0,0,1,0.33333333333333326,0.33333333333333326,"[0.6667, 0.3333]","[0.6667, 0.3333]",2,1
3,0,IndependentQLearner,FictitiousPlayAgent,0.0,0.5,1.0,-1.0,1,1,-0.6666666666666667,1.8333333333333333,"[0.5, 0.5]","[0.75, 0.25]",1,2
4,0,IndependentQLearner,FictitiousPlayAgent,0.19999999999999996,0.19999999999999996,1.0,-1.0,1,1,-1.4666666666666668,3.033333333333333,"[0.4, 0.6]","[0.6, 0.4]",2,3
5,0,IndependentQLearner,FictitiousPlayAgent,0.3333333333333333,0.0,-1.0,1.0,1,0,-0.13333333333333353,2.033333333333333,"[0.3333, 0.6667]","[0.5, 0.5]",3,2
6,0,IndependentQLearner,FictitiousPlayAgent,0.14285714285714285,0.14285714285714285,-1.0,1.0,1,0,1.0095238095238093,1.176190476190476,"[0.4286, 0.5714]","[0.4286, 0.5714]",4,3
7,0,IndependentQLearner,FictitiousPlayAgent,0.0,0.25,1.0,-1.0,0,0,0.009523809523809268,2.426190476190476,"[0.5, 0.5]","[0.375, 0.625]",3,4
8,0,IndependentQLearner,FictitiousPlayAgent,0.11111111111111116,0.11111111111111116,1.0,-1.0,0,0,-0.8793650793650796,3.537301587301587,"[0.5556, 0.4444]","[0.4444, 0.5556]",4,5
9,0,IndependentQLearner,FictitiousPlayAgent,0.19999999999999996,0.0,1.0,-1.0,0,0,-1.6793650793650796,4.537301587301587,"[0.6, 0.4]","[0.5, 0.5]",5,6
10,0,IndependentQLearner,FictitiousPlayAgent,0.2727272727272727,0.09090909090909088,-1.0,1.0,0,1,-0.4066378066378069,3.628210678210678,"[0.6364, 0.3636]","[0.5455, 0.4545]",6,4
11,0,IndependentQLearner,FictitiousPlayAgent,0.16666666666666669,0.16666666666666669,-1.0,1.0,0,1,0.7600288600288598,2.794877344877345,"[0.5833, 0.4167]","[0.5833, 0.4167]",7,5
12,0,IndependentQLearner,FictitiousPlayAgent,0.07692307692307687,0.23076923076923078,-1.0,1.0,0,1,1.8369519369519367,2.025646575646576,"[0.5385, 0.4615]","[0.6154, 0.3846]",8,6
13,0,IndependentQLearner,FictitiousPlayAgent,0.0,0.28571428571428575,1.0,-1.0,1,1,0.8369519369519367,3.3113608613608614,"[0.5, 0.5]","[0.6429, 0.3571]",5,7
14,0,IndependentQLearner,FictitiousPlayAgent,0.06666666666666665,0.19999999999999996,1.0,-1.0,1,1,-0.09638139638139664,4.511360861360862,"[0.4667, 0.5333]","[0.6, 0.4]",6,8
15,0,IndependentQLearner,FictitiousPlayAgent,0.125,0.125,1.0,-1.0,1,1,-0.9713813963813966,5.636360861360862,"[0.4375, 0.5625]","[0.5625, 0.4375]",7,9
16,0,IndependentQLearner,FictitiousPlayAgent,0.17647058823529416,0.05882352941176472,1.0,-1.0,1,1,-1.7949108081461025,6.695184390772626,"[0.4118, 0.5882]","[0.5294, 0.4706]",8,10
17,0,IndependentQLearner,FictitiousPlayAgent,0.22222222222222227,0.0,-1.0,1.0,1,0,-0.5726885859238802,5.695184390772626,"[0.3889, 0.6111]","[0.5, 0.5]",9,7
18,0,IndependentQLearner,FictitiousPlayAgent,0.1578947368421053,0.05263157894736842,-1.0,1.0,1,0,0.5852061509182251,4.747815969719994,"[0.4211, 0.5789]","[0.4737, 0.5263]",10,8
19,0,IndependentQLearner,FictitiousPlayAgent,0.10000000000000003,0.10000000000000003,-1.0,1.0,1,0,1.6852061509182252,3.8478159697199943,"[0.45, 0.55]","[0.45, 0.55]",11,9
20,0,IndependentQLearner,FictitiousPlayAgent,0.04761904761904767,0.14285714285714285,-1.0,1.0,1,0,2.732825198537273,2.990673112577137,"[0.4762, 0.5238]","[0.4286, 0.5714]",12,10
21,0,IndependentQLearner,FictitiousPlayAgent,0.0,0.18181818181818182,1.0,-1.0,0,0,1.732825198537273,4.172491294395319,"[0.5, 0.5]","[0.4091, 0.5909]",9,11
22,0,IndependentQLearner,FictitiousPlayAgent,0.04347826086956519,0.13043478260869562,1.0,-1.0,0,0,0.7763034594068381,5.302926077004014,"[0.5217, 0.4783]","[0.4348, 0.5652]",10,12
23,0,IndependentQLearner,FictitiousPlayAgent,0.08333333333333331,0.08333333333333331,1.0,-1.0,0,0,-0.14036320725982865,6.386259410337347,"[0.5417, 0.4583]","[0.4583, 0.5417]",11,13
24,0,IndependentQLearner,FictitiousPlayAgent,0.12000000000000005,0.040000000000000036,1.0,-1.0,0,0,-1.0203632072598285,7.426259410337347,"[0.56, 0.44]","[0.48, 0.52]",12,14
25,0,IndependentQLearner,FictitiousPlayAgent,0.1538461538461538,0.0,1.0,-1.0,0,0,-1.8665170534136748,8.426259410337348,"[0.5769, 0.4231]","[0.5, 0.5]",13,15
26,0,IndependentQLearner,FictitiousPlayAgent,0.18518518518518517,0.037037037037037035,-1.0,1.0,0,1,-0.6813318682284897,7.463296447374385,"[0.5926, 0.4074]","[0.5185, 0.4815]",14,11
27,0,IndependentQLearner,FictitiousPlayAgent,0.14285714285714285,0.0714285714285714,-1.0,1.0,0,1,0.4615252746286531,6.534725018802956,"[0.5714, 0.4286]","[0.5357, 0.4643]",15,12
28,0,IndependentQLearner,FictitiousPlayAgent,0.10344827586206895,0.10344827586206895,-1.0,1.0,0,1,1.564973550490722,5.638173294665025,"[0.5517, 0.4483]","[0.5517, 0.4483]",16,13
29,0,IndependentQLearner,FictitiousPlayAgent,0.06666666666666665,0.1333333333333333,-1.0,1.0,0,1,2.631640217157389,4.771506627998358,"[0.5333, 0.4667]","[0.5667, 0.4333]",17,14
