Round,State,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,0,IndependentQLearner,FictitiousPlayAgent,0.5,0.0,-1.0,1.0,0,1,1.5,-1.0,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,0,IndependentQLearner,FictitiousPlayAgent,0.3333333333333333,0.3333333333333333,1.0,-1.0,1,1,0.8333333333333333,0.33333333333333326,"[0.3333, 0.6667]","[0.6667, 0.3333]",1,2
3,0,IndependentQLearner,FictitiousPlayAgent,0.5,0.0,1.0,-1.0,1,1,0.33333333333333326,1.3333333333333333,"[0.25, 0.75]","[0.5, 0.5]",2,3
4,1,IndependentQLearner,FictitiousPlayAgent,-0.5,0.5,1.0,-1.0,0,0,-0.6666666666666667,2.833333333333333,"[0.5, 0.5]","[0.5, 0.5]",2,1
5,0,IndependentQLearner,FictitiousPlayAgent,0.6000000000000001,-0.19999999999999996,1.0,-1.0,1,1,-1.0666666666666667,3.633333333333333,"[0.2, 0.8]","[0.4, 0.6]",3,4
6,0,IndependentQLearner,FictitiousPlayAgent,0.6666666666666667,0.0,-1.0,1.0,1,0,0.6000000000000001,2.633333333333333,"[0.1667, 0.8333]","[0.3333, 0.6667]",4,2
7,0,IndependentQLearner,FictitiousPlayAgent,0.4285714285714286,0.1428571428571429,-1.0,1.0,1,0,2.0285714285714285,1.7761904761904757,"[0.2857, 0.7143]","[0.2857, 0.7143]",5,3
8,0,IndependentQLearner,FictitiousPlayAgent,0.25,0.25,-1.0,1.0,1,0,3.2785714285714285,1.0261904761904757,"[0.375, 0.625]","[0.25, 0.75]",6,4
9,0,IndependentQLearner,FictitiousPlayAgent,0.11111111111111116,0.33333333333333337,-1.0,1.0,1,0,4.6119047619047615,0.359523809523809,"[0.4444, 0.5556]","[0.2222, 0.7778]",7,5
10,0,IndependentQLearner,FictitiousPlayAgent,0.5,0.4,2.0,-2.0,0,0,3.1119047619047615,2.759523809523809,"[0.5, 0.5]","[0.2, 0.8]",3,6
11,0,IndependentQLearner,FictitiousPlayAgent,0.6363636363636362,0.18181818181818188,2.0,-2.0,0,0,1.7482683982683977,4.941341991341991,"[0.5455, 0.4545]","[0.2727, 0.7273]",4,7
12,0,IndependentQLearner,FictitiousPlayAgent,0.75,0.0,2.0,-2.0,0,0,0.49826839826839775,6.941341991341991,"[0.5833, 0.4167]","[0.3333, 0.6667]",5,8
13,1,IndependentQLearner,FictitiousPlayAgent,0.0,0.6666666666666666,-2.0,2.0,0,1,2.4982683982683977,5.608008658008657,"[0.6667, 0.3333]","[0.6667, 0.3333]",6,5
14,1,IndependentQLearner,FictitiousPlayAgent,0.0,1.0,2.0,-2.0,1,1,0.49826839826839775,8.608008658008657,"[0.5, 0.5]","[0.75, 0.25]",8,6
15,0,IndependentQLearner,FictitiousPlayAgent,0.8461538461538463,-0.15384615384615385,2.0,-2.0,0,0,-0.655577755577756,10.454162504162504,"[0.6154, 0.3846]","[0.3846, 0.6154]",7,9
16,0,IndependentQLearner,FictitiousPlayAgent,0.9285714285714286,-0.14285714285714285,-1.0,1.0,0,1,1.2729936729936726,9.311305361305362,"[0.6429, 0.3571]","[0.4286, 0.5714]",8,7
17,1,IndependentQLearner,FictitiousPlayAgent,0.3999999999999999,0.3999999999999999,2.0,-2.0,1,1,-0.3270063270063275,11.711305361305362,"[0.4, 0.6]","[0.6, 0.4]",9,8
18,1,IndependentQLearner,FictitiousPlayAgent,0.6666666666666666,0.5,-2.0,2.0,1,0,2.3396603396603393,10.211305361305362,"[0.3333, 0.6667]","[0.5, 0.5]",10,10
19,1,IndependentQLearner,FictitiousPlayAgent,0.2857142857142857,0.7142857142857142,-2.0,2.0,1,0,4.625374625374625,8.925591075591075,"[0.4286, 0.5714]","[0.4286, 0.5714]",11,11
20,1,IndependentQLearner,FictitiousPlayAgent,0.0,0.875,-2.0,2.0,1,0,6.625374625374625,7.8005910755910755,"[0.5, 0.5]","[0.375, 0.625]",12,12
21,1,IndependentQLearner,FictitiousPlayAgent,-0.33333333333333326,1.0,1.0,-1.0,0,0,5.4031524031524025,9.800591075591075,"[0.5556, 0.4444]","[0.3333, 0.6667]",9,13
22,0,IndependentQLearner,FictitiousPlayAgent,0.7999999999999999,-0.06666666666666665,-1.0,1.0,0,1,7.203152403152402,8.733924408924409,"[0.6, 0.4]","[0.4667, 0.5333]",10,9
23,1,IndependentQLearner,FictitiousPlayAgent,-0.20000000000000007,0.7999999999999999,1.0,-1.0,0,0,6.003152403152402,10.53392440892441,"[0.6, 0.4]","[0.4, 0.6]",11,14
24,1,IndependentQLearner,FictitiousPlayAgent,-0.09090909090909094,0.6363636363636362,1.0,-1.0,0,0,4.912243312243311,12.170288045288046,"[0.6364, 0.3636]","[0.4545, 0.5455]",12,15
25,1,IndependentQLearner,FictitiousPlayAgent,0.0,0.5,1.0,-1.0,0,0,3.9122433122433113,13.670288045288046,"[0.6667, 0.3333]","[0.5, 0.5]",13,16
26,1,IndependentQLearner,FictitiousPlayAgent,0.07692307692307687,0.3846153846153847,1.0,-1.0,0,0,2.989166389166388,15.054903429903431,"[0.6923, 0.3077]","[0.5385, 0.4615]",14,17
27,1,IndependentQLearner,FictitiousPlayAgent,0.1428571428571429,0.2857142857142857,1.0,-1.0,0,0,2.132023532023531,16.340617715617718,"[0.7143, 0.2857]","[0.5714, 0.4286]",15,18
28,1,IndependentQLearner,FictitiousPlayAgent,0.19999999999999996,0.3999999999999999,-2.0,2.0,0,1,4.3320235320235305,14.740617715617718,"[0.7333, 0.2667]","[0.6, 0.4]",16,10
29,1,IndependentQLearner,FictitiousPlayAgent,0.0625,0.5,-2.0,2.0,0,1,6.3945235320235305,13.240617715617718,"[0.6875, 0.3125]","[0.625, 0.375]",17,11
30,1,IndependentQLearner,FictitiousPlayAgent,-0.05882352941176472,0.5882352941176471,-2.0,2.0,0,1,8.335700002611766,11.828853009735365,"[0.6471, 0.3529]","[0.6471, 0.3529]",18,12
31,1,IndependentQLearner,FictitiousPlayAgent,-0.16666666666666663,0.6666666666666666,-2.0,2.0,0,1,10.1690333359451,10.495519676402031,"[0.6111, 0.3889]","[0.6667, 0.3333]",19,13
32,1,IndependentQLearner,FictitiousPlayAgent,-0.3157894736842106,0.736842105263158,2.0,-2.0,1,1,7.9058754412082575,13.232361781665189,"[0.5789, 0.4211]","[0.6842, 0.3158]",13,14
33,1,IndependentQLearner,FictitiousPlayAgent,-0.20000000000000007,0.6000000000000001,2.0,-2.0,1,1,5.705875441208257,15.832361781665188,"[0.55, 0.45]","[0.65, 0.35]",14,15
34,0,IndependentQLearner,FictitiousPlayAgent,0.6875,0.0,-1.0,1.0,0,1,7.393375441208257,14.832361781665188,"[0.5625, 0.4375]","[0.5, 0.5]",20,16
35,0,IndependentQLearner,FictitiousPlayAgent,0.5882352941176471,0.05882352941176472,-1.0,1.0,0,1,8.981610735325905,13.891185311076953,"[0.5294, 0.4706]","[0.5294, 0.4706]",21,17
36,0,IndependentQLearner,FictitiousPlayAgent,0.5,0.11111111111111116,-1.0,1.0,0,1,10.481610735325905,13.002296422188063,"[0.5, 0.5]","[0.5556, 0.4444]",22,18
37,0,IndependentQLearner,FictitiousPlayAgent,0.42105263157894735,0.1578947368421053,-1.0,1.0,0,1,11.902663366904852,12.16019115903017,"[0.4737, 0.5263]","[0.5789, 0.4211]",23,19
38,0,IndependentQLearner,FictitiousPlayAgent,0.35,0.19999999999999996,-1.0,1.0,0,1,13.252663366904851,11.360191159030169,"[0.45, 0.55]","[0.6, 0.4]",24,20
39,0,IndependentQLearner,FictitiousPlayAgent,0.14285714285714285,0.23809523809523814,1.0,-1.0,1,1,12.538377652619138,12.598286397125406,"[0.4286, 0.5714]","[0.619, 0.381]",15,21
40,0,IndependentQLearner,FictitiousPlayAgent,0.18181818181818182,0.18181818181818182,1.0,-1.0,1,1,11.765650379891865,13.780104578943588,"[0.4091, 0.5909]","[0.5909, 0.4091]",16,22
41,0,IndependentQLearner,FictitiousPlayAgent,0.2173913043478261,0.13043478260869562,1.0,-1.0,1,1,10.98304168423969,14.910539361552283,"[0.3913, 0.6087]","[0.5652, 0.4348]",17,23
42,0,IndependentQLearner,FictitiousPlayAgent,0.25,0.08333333333333331,1.0,-1.0,1,1,10.23304168423969,15.993872694885617,"[0.375, 0.625]","[0.5417, 0.4583]",18,24
43,0,IndependentQLearner,FictitiousPlayAgent,0.28,0.040000000000000036,1.0,-1.0,1,1,9.51304168423969,17.033872694885616,"[0.36, 0.64]","[0.52, 0.48]",19,25
44,0,IndependentQLearner,FictitiousPlayAgent,0.3076923076923077,0.0,1.0,-1.0,1,1,8.820733991931998,18.033872694885616,"[0.3462, 0.6538]","[0.5, 0.5]",20,26
45,0,IndependentQLearner,FictitiousPlayAgent,0.3333333333333333,-0.037037037037037035,1.0,-1.0,1,1,8.154067325265332,18.996835657848578,"[0.3333, 0.6667]","[0.4815, 0.5185]",21,27
46,0,IndependentQLearner,FictitiousPlayAgent,0.35714285714285715,-0.0714285714285714,1.0,-1.0,1,1,7.51121018240819,19.925407086420005,"[0.3214, 0.6786]","[0.4643, 0.5357]",22,28
47,0,IndependentQLearner,FictitiousPlayAgent,0.37931034482758624,-0.10344827586206895,1.0,-1.0,1,1,6.890520527235776,20.821958810557938,"[0.3103, 0.6897]","[0.4483, 0.5517]",23,29
48,0,IndependentQLearner,FictitiousPlayAgent,0.39999999999999997,-0.1333333333333333,1.0,-1.0,1,1,6.290520527235776,21.688625477224605,"[0.3, 0.7]","[0.4333, 0.5667]",24,30
49,0,IndependentQLearner,FictitiousPlayAgent,0.41935483870967744,-0.16129032258064518,1.0,-1.0,1,1,5.709875365945454,22.52733515464396,"[0.2903, 0.7097]","[0.4194, 0.5806]",25,31
50,1,IndependentQLearner,FictitiousPlayAgent,-0.09523809523809534,0.4761904761904763,2.0,-2.0,1,1,3.6146372707073584,25.00352563083444,"[0.5238, 0.4762]","[0.619, 0.381]",26,32
