Round,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,IndependentQLearner,FictitiousPlayAgent,0.978626894498697,-0.9803445583975661,1.0,-1.0,0,3,-0.005917340498928114,0.019655441602433932,"[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]",1,1
2,IndependentQLearner,FictitiousPlayAgent,0.9786497261282999,-0.9802717231224364,1.0,-1.0,0,3,-0.011911786618889031,0.03938371847999744,"[0.0476, 0.0476, 0.0476, 0.0952, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476]","[0.1176, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588]",2,2
3,IndependentQLearner,FictitiousPlayAgent,0.9786704821552119,-0.9800978736433136,1.0,-1.0,0,19,-0.017976328757970284,0.059285844836683976,"[0.0455, 0.0455, 0.0455, 0.1364, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455]","[0.1667, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556, 0.0556]",3,1
4,IndependentQLearner,FictitiousPlayAgent,0.9784442926727015,-0.979748939454585,1.0,-1.0,0,19,-0.0239458180518497,0.0795369053820989,"[0.0435, 0.0435, 0.0435, 0.1304, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.087]","[0.2105, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526]",4,2
5,IndependentQLearner,FictitiousPlayAgent,0.9782369523137335,-0.9794348986847294,1.0,-1.0,0,19,-0.029828175570960735,0.10010200669736946,"[0.0417, 0.0417, 0.0417, 0.125, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.125]","[0.25, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",5,3
6,IndependentQLearner,FictitiousPlayAgent,0.978046199183483,-0.9791507665596217,1.0,-1.0,0,19,-0.03563037185728468,0.12095124013774772,"[0.04, 0.04, 0.04, 0.12, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.16]","[0.2857, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476, 0.0476]",6,4
7,IndependentQLearner,FictitiousPlayAgent,0.977870119370944,-0.978892464627706,1.0,-1.0,0,19,-0.04135857315949765,0.14205877551004176,"[0.0385, 0.0385, 0.0385, 0.1154, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.0385, 0.1923]","[0.3182, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455, 0.0455]",7,5
8,IndependentQLearner,FictitiousPlayAgent,0.9777070825074821,-0.9786566237333477,1.0,-1.0,0,19,-0.04701826058753389,0.16340215177669404,"[0.037, 0.037, 0.037, 0.1111, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.037, 0.2222]","[0.3478, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435, 0.0435]",8,6
9,IndependentQLearner,FictitiousPlayAgent,0.9775556911342674,-0.978440436246853,1.0,-1.0,0,19,-0.05261432798954868,0.18496171552984098,"[0.0357, 0.0357, 0.0357, 0.1071, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.0357, 0.25]","[0.375, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417, 0.0417]",9,7
10,IndependentQLearner,FictitiousPlayAgent,0.9774147405454126,-0.9782415437592779,1.0,-1.0,0,19,-0.0581511629535435,0.20672017177056334,"[0.0345, 0.0345, 0.0345, 0.1034, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.0345, 0.2759]","[0.4, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]",10,8
