Round,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,MinimaxQLearner,MinimaxQLearner,0.0,0.0,1.0,-1.0,1,1,-1.0,1.0,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,MinimaxQLearner,MinimaxQLearner,0.3333333333333333,0.3333333333333333,-1.0,1.0,1,0,0.33333333333333326,0.33333333333333326,"[0.3333, 0.6667]","[0.3333, 0.6667]",2,1
3,MinimaxQLearner,MinimaxQLearner,0.0,0.5,1.0,-1.0,0,0,-0.6666666666666667,1.8333333333333333,"[0.5, 0.5]","[0.25, 0.75]",1,2
4,MinimaxQLearner,MinimaxQLearner,0.19999999999999996,0.19999999999999996,1.0,-1.0,0,0,-1.4666666666666668,3.033333333333333,"[0.6, 0.4]","[0.4, 0.6]",2,3
5,MinimaxQLearner,MinimaxQLearner,0.3333333333333333,0.0,-1.0,1.0,0,1,-0.13333333333333353,2.033333333333333,"[0.6667, 0.3333]","[0.5, 0.5]",3,2
6,MinimaxQLearner,MinimaxQLearner,-0.14285714285714285,-0.14285714285714285,-1.0,1.0,1,0,1.0095238095238093,1.176190476190476,"[0.5714, 0.4286]","[0.5714, 0.4286]",3,4
7,MinimaxQLearner,MinimaxQLearner,-0.25,0.0,1.0,-1.0,1,1,0.25952380952380927,2.176190476190476,"[0.625, 0.375]","[0.5, 0.5]",4,3
8,MinimaxQLearner,MinimaxQLearner,0.11111111111111116,-0.11111111111111116,-1.0,1.0,0,1,1.3706349206349204,1.2873015873015872,"[0.5556, 0.4444]","[0.4444, 0.5556]",4,4
9,MinimaxQLearner,MinimaxQLearner,0.0,0.0,-1.0,1.0,0,1,2.37063492063492,0.28730158730158717,"[0.5, 0.5]","[0.5, 0.5]",5,5
10,MinimaxQLearner,MinimaxQLearner,-0.09090909090909088,-0.09090909090909088,1.0,-1.0,0,0,1.461544011544011,1.378210678210678,"[0.4545, 0.5455]","[0.5455, 0.4545]",6,5
11,MinimaxQLearner,MinimaxQLearner,0.0,0.16666666666666669,-1.0,1.0,0,1,2.461544011544011,0.5448773448773447,"[0.5, 0.5]","[0.5833, 0.4167]",7,6
12,MinimaxQLearner,MinimaxQLearner,0.07692307692307687,0.23076923076923078,1.0,-1.0,1,1,1.538467088467088,1.7756465756465756,"[0.4615, 0.5385]","[0.6154, 0.3846]",5,7
13,MinimaxQLearner,MinimaxQLearner,0.14285714285714285,0.14285714285714285,1.0,-1.0,1,1,0.6813242313242307,2.918503718503718,"[0.4286, 0.5714]","[0.5714, 0.4286]",6,8
14,MinimaxQLearner,MinimaxQLearner,-0.19999999999999996,0.06666666666666665,-1.0,1.0,0,1,1.8813242313242307,1.9851703851703848,"[0.4, 0.6]","[0.5333, 0.4667]",8,9
15,MinimaxQLearner,MinimaxQLearner,0.25,-0.125,-1.0,1.0,1,0,3.1313242313242307,1.1101703851703848,"[0.375, 0.625]","[0.5625, 0.4375]",7,6
