Round,State,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
1,0,MinimaxQLearner,MinimaxQLearner,0.0,0.0,1.0,-1.0,1,1,-0.5,1.0,"[0.5, 0.5]","[0.5, 0.5]",1,1
2,0,MinimaxQLearner,MinimaxQLearner,0.3333333333333333,0.0,-1.0,1.0,1,0,0.8333333333333333,0.0,"[0.3333, 0.6667]","[0.3333, 0.6667]",2,1
3,0,MinimaxQLearner,MinimaxQLearner,0.5,0.25,2.0,-2.0,0,0,-0.6666666666666667,2.25,"[0.5, 0.5]","[0.25, 0.75]",1,2
4,1,MinimaxQLearner,MinimaxQLearner,0.0,0.0,2.0,-2.0,1,1,-2.666666666666667,4.75,"[0.5, 0.5]","[0.5, 0.5]",3,2
5,0,MinimaxQLearner,MinimaxQLearner,0.7999999999999999,-0.19999999999999996,-1.0,1.0,0,1,-0.8666666666666671,3.55,"[0.6, 0.4]","[0.4, 0.6]",2,3
6,0,MinimaxQLearner,MinimaxQLearner,0.0,-0.5,-1.0,1.0,1,0,0.6333333333333329,2.55,"[0.5, 0.5]","[0.5, 0.5]",4,3
7,0,MinimaxQLearner,MinimaxQLearner,-0.14285714285714285,-0.14285714285714285,1.0,-1.0,1,1,0.34761904761904705,3.407142857142857,"[0.5714, 0.4286]","[0.4286, 0.5714]",5,4
8,0,MinimaxQLearner,MinimaxQLearner,0.5,-0.25,-1.0,1.0,0,1,1.847619047619047,2.282142857142857,"[0.5, 0.5]","[0.375, 0.625]",3,5
9,0,MinimaxQLearner,MinimaxQLearner,0.33333333333333326,-0.11111111111111116,-1.0,1.0,0,1,3.1809523809523803,1.1710317460317459,"[0.4444, 0.5556]","[0.4444, 0.5556]",4,6
10,0,MinimaxQLearner,MinimaxQLearner,0.20000000000000007,-0.5,2.0,-2.0,0,0,1.3809523809523805,3.171031746031746,"[0.4, 0.6]","[0.5, 0.5]",5,4
11,0,MinimaxQLearner,MinimaxQLearner,0.36363636363636365,0.09090909090909088,-1.0,1.0,0,1,2.7445887445887442,2.2619408369408367,"[0.4545, 0.5455]","[0.5455, 0.4545]",6,7
12,0,MinimaxQLearner,MinimaxQLearner,0.16666666666666669,0.16666666666666669,1.0,-1.0,1,1,1.9945887445887442,3.4286075036075037,"[0.4167, 0.5833]","[0.5833, 0.4167]",6,8
13,1,MinimaxQLearner,MinimaxQLearner,0.6666666666666666,1.0,-2.0,2.0,1,0,4.661255411255411,2.4286075036075037,"[0.3333, 0.6667]","[0.3333, 0.6667]",7,5
14,1,MinimaxQLearner,MinimaxQLearner,-0.5,1.25,1.0,-1.0,0,0,3.6612554112554108,4.678607503607504,"[0.5, 0.5]","[0.25, 0.75]",7,6
15,0,MinimaxQLearner,MinimaxQLearner,0.23076923076923078,-0.6153846153846153,-1.0,1.0,1,0,4.892024642024642,3.7555305805305803,"[0.3846, 0.6154]","[0.5385, 0.4615]",8,7
16,0,MinimaxQLearner,MinimaxQLearner,0.2857142857142857,0.0,-1.0,1.0,0,1,6.177738927738927,2.7555305805305803,"[0.4286, 0.5714]","[0.5, 0.5]",8,9
17,1,MinimaxQLearner,MinimaxQLearner,-0.20000000000000007,-0.3999999999999999,-2.0,2.0,0,1,7.977738927738927,1.5555305805305801,"[0.6, 0.4]","[0.4, 0.6]",9,10
18,1,MinimaxQLearner,MinimaxQLearner,0.0,0.5,-2.0,2.0,1,0,9.977738927738926,0.05553058053058013,"[0.5, 0.5]","[0.5, 0.5]",9,8
19,1,MinimaxQLearner,MinimaxQLearner,-0.2857142857142857,-0.2857142857142857,2.0,-2.0,1,1,7.6920246420246405,2.7698162948162945,"[0.5714, 0.4286]","[0.4286, 0.5714]",10,11
