t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,-1.0,1.0,-1.0,1.0,,1.5,-1.0
2,1.0,-1.0,0.0,0.0,,0.8333333333333333,0.33333333333333326
3,1.0,-1.0,0.3333333333333333,-0.3333333333333333,,0.33333333333333326,1.3333333333333333
4,-2.0,2.0,-0.25,0.25,,2.333333333333333,-0.16666666666666674
5,1.0,-1.0,0.0,0.0,,1.9333333333333331,0.6333333333333333
6,-1.0,1.0,-0.16666666666666666,0.16666666666666666,,3.5999999999999996,-0.3666666666666667
7,-1.0,1.0,-0.2857142857142857,0.2857142857142857,,5.0285714285714285,-1.223809523809524
8,-1.0,1.0,-0.375,0.375,,6.2785714285714285,-1.973809523809524
9,2.0,-2.0,-0.1111111111111111,0.1111111111111111,,4.6119047619047615,0.3595238095238096
10,2.0,-2.0,0.1,-0.1,,3.1119047619047615,2.4595238095238097
11,2.0,-2.0,0.2727272727272727,-0.2727272727272727,,1.7482683982683977,4.368614718614719
12,-1.0,1.0,0.16666666666666666,-0.16666666666666666,,3.4982683982683977,3.201948051948052
13,1.0,-1.0,0.23076923076923078,-0.23076923076923078,,2.4982683982683977,5.201948051948052
14,1.0,-1.0,0.2857142857142857,-0.2857142857142857,,1.7482683982683977,6.701948051948052
15,-1.0,1.0,0.2,-0.2,,3.363653013653013,5.625024975024975
16,-1.0,1.0,0.125,-0.125,,4.863653013653013,4.625024975024975
17,-2.0,2.0,0.0,0.0,,7.263653013653013,3.025024975024975
18,-2.0,2.0,-0.1111111111111111,0.1111111111111111,,9.263653013653013,1.6916916416916417
19,-2.0,2.0,-0.21052631578947367,0.21052631578947367,,10.977938727938728,0.5488344988344989
20,2.0,-2.0,-0.1,0.1,,8.977938727938728,3.548834498834499
21,2.0,-2.0,0.0,0.0,,7.20016095016095,6.215501165501165
22,-1.0,1.0,-0.045454545454545456,0.045454545454545456,,8.60016095016095,5.282167832167832
23,2.0,-2.0,0.043478260869565216,-0.043478260869565216,,7.00016095016095,7.682167832167831
