t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,-1.0,1.0,-1.0,0.02191984815851522,-0.005917340498928114,0.019655441602433932
2,1.0,-1.0,1.0,-1.0,0.021161657657953747,-0.011766007411089685,0.039448467376593355
3,1.0,-1.0,1.0,-1.0,0.019846475503738525,-0.017627389862931775,0.059342991921769395
4,1.0,-1.0,1.0,-1.0,0.01897292949396634,-0.023550926603656652,0.0794802805588547
5,1.0,-1.0,1.0,-1.0,0.01864148046549674,-0.029531561750736568,0.0997930142619804
6,1.0,-1.0,1.0,-1.0,0.014965799655129564,-0.035465988045009555,0.1201928129401254
7,1.0,-1.0,1.0,-1.0,0.014193682002417107,-0.041452587600892876,0.13984163561923812
8,1.0,-1.0,1.0,-1.0,0.013391584408408597,-0.04754954266938727,0.1594416909854557
9,1.0,-1.0,1.0,-1.0,0.014014221407687155,-0.05354385160559261,0.1788862556673796
10,1.0,-1.0,1.0,-1.0,0.014309847642002604,-0.05959134156263968,0.1984195722265909
11,1.0,-1.0,1.0,-1.0,0.01475812920603714,-0.06568846713913878,0.2181441859293498
12,1.0,-1.0,1.0,-1.0,0.014672811726942236,-0.07182410257111027,0.23812092045580402
13,1.0,-1.0,1.0,-1.0,0.014921833552413166,-0.07788919710519016,0.25801322325475395
14,1.0,-1.0,1.0,-1.0,0.015401403595382779,-0.0838987130994634,0.27798307072196493
15,1.0,-1.0,1.0,-1.0,0.014929991616661531,-0.08982626872226962,0.2981158791908818
16,1.0,-1.0,1.0,-1.0,0.015170566489647097,-0.09584064271003512,0.31815719133212217
17,1.0,-1.0,1.0,-1.0,0.015338470354884337,-0.1017813371035321,0.338264121787028
18,1.0,-1.0,1.0,-1.0,0.015155503356821254,-0.10773666435376639,0.3585043889642532
19,1.0,-1.0,1.0,-1.0,0.01429704150613853,-0.11370585431038327,0.37869427106222275
20,1.0,-1.0,1.0,-1.0,0.014460428382088275,-0.11965105474261462,0.398418108720234
21,1.0,-1.0,1.0,-1.0,0.013928409754316196,-0.12562997262637154,0.41828458081881126
22,1.0,-1.0,1.0,-1.0,0.013749960393561023,-0.13165115415725326,0.43791141217458196
