t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,-1.0,1.0,-1.0,,-0.005917340498928114,0.019655441602433932
2,1.0,-1.0,1.0,-1.0,,-0.01200986951023375,0.038598007730642925
3,1.0,-1.0,1.0,-1.0,,-0.018210938157885437,0.056906906770652355
4,1.0,-1.0,1.0,-1.0,,-0.024532229838090558,0.0746488405212199
5,1.0,-1.0,1.0,-1.0,,-0.030904157637479335,0.09188050551128957
6,1.0,-1.0,1.0,-1.0,,-0.037312964264622384,0.1086504987656709
7,1.0,-1.0,1.0,-1.0,,-0.04377188322979375,0.1250007904421535
8,1.0,-1.0,1.0,-1.0,,-0.050231661125617166,0.1409678763301202
9,1.0,-1.0,1.0,-1.0,,-0.056650879553845956,0.1565836902452804
10,1.0,-1.0,1.0,-1.0,,-0.06300306269754363,0.171914103379898
11,1.0,-1.0,1.0,-1.0,,-0.06926203777829665,0.18699973902458322
12,1.0,-1.0,1.0,-1.0,,-0.07554155886705971,0.20185872884525757
13,1.0,-1.0,1.0,-1.0,,-0.08185268651855337,0.21650726182934987
14,1.0,-1.0,1.0,-1.0,,-0.08815827723470293,0.2309598522414522
15,1.0,-1.0,1.0,-1.0,,-0.09442645641524772,0.24522956291969722
16,1.0,-1.0,1.0,-1.0,,-0.1006364305540759,0.2593281925565918
17,1.0,-1.0,1.0,-1.0,,-0.10676729176110589,0.27326643371722037
18,1.0,-1.0,1.0,-1.0,,-0.11286287060651079,0.28705400691529603
19,1.0,-1.0,1.0,-1.0,,-0.11890477665633437,0.3006997749721454
20,1.0,-1.0,1.0,-1.0,,-0.12487439956037771,0.3142118410386959
21,1.0,-1.0,1.0,-1.0,,-0.13079174005930583,0.32759763300329714
22,1.0,-1.0,1.0,-1.0,,-0.13679881125969562,0.34086397649308153
23,1.0,-1.0,1.0,-1.0,,-0.1428647712650981,0.35401715826988167
24,1.0,-1.0,1.0,-1.0,,-0.1489981786749418,0.36706298149846606
25,1.0,-1.0,1.0,-1.0,,-0.1551634758832121,0.38000681410624537
26,1.0,-1.0,1.0,-1.0,,-0.16135385312003736,0.392853631245454
27,1.0,-1.0,1.0,-1.0,,-0.16757730318684216,0.40560805270030975
