t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,0.0,0.0,0.0,0.0,2.0,0.5,0.5
2,1.0,1.0,0.5,0.5,0.5,0.16666666666666663,0.16666666666666663
3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,-0.33333333333333337,-0.08333333333333337
4,1.0,1.0,0.75,0.75,0.25,-0.7333333333333334,-0.2833333333333333
5,1.0,1.0,0.8,0.8,0.19999999999999996,-1.0666666666666669,-0.44999999999999996
6,1.0,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,-1.3523809523809525,-0.5928571428571429
7,1.0,1.0,0.8571428571428571,0.8571428571428571,0.1428571428571429,-1.6023809523809525,-0.7178571428571429
8,1.0,1.0,0.875,0.875,0.125,-1.8246031746031748,-0.828968253968254
9,1.0,1.0,0.8888888888888888,0.8888888888888888,0.11111111111111116,-2.0246031746031745,-0.928968253968254
10,1.0,1.0,0.9,0.9,0.09999999999999998,-2.206421356421356,-1.019877344877345
11,1.0,1.0,0.9090909090909091,0.9090909090909091,0.09090909090909094,-2.3730880230880227,-1.1032106782106785
12,1.0,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333337,-2.5269341769341764,-1.1801337551337554
13,1.0,1.0,0.9230769230769231,0.9230769230769231,0.07692307692307687,-2.6697913197913192,-1.2515623265623268
14,1.0,1.0,0.9285714285714286,0.9285714285714286,0.0714285714285714,-2.8031246531246525,-1.3182289932289935
15,1.0,1.0,0.9333333333333333,0.9333333333333333,0.06666666666666665,-2.9281246531246525,-1.3807289932289935
16,1.0,1.0,0.9375,0.9375,0.0625,-3.045771711948182,-1.4395525226407582
17,1.0,1.0,0.9411764705882353,0.9411764705882353,0.05882352941176472,-3.156882823059293,-1.4951080781963138
18,1.0,1.0,0.9444444444444444,0.9444444444444444,0.05555555555555558,-3.26214598095403,-1.5477396571436821
19,1.0,1.0,0.9473684210526315,0.9473684210526315,0.052631578947368474,-3.36214598095403,-1.5977396571436822
20,1.0,1.0,0.95,0.95,0.050000000000000044,-3.4573840761921253,-1.6453587047627298
21,1.0,1.0,0.9523809523809523,0.9523809523809523,0.04761904761904767,-3.548293167101216,-1.6908132502172752
22,1.0,1.0,0.9545454545454546,0.9545454545454546,0.045454545454545414,-3.6352496888403465,-1.7342915110868404
23,1.0,1.0,0.9565217391304348,0.9565217391304348,0.04347826086956519,-3.71858302217368,-1.7759581777535072
24,1.0,1.0,0.9583333333333334,0.9583333333333334,0.04166666666666663,-3.79858302217368,-1.8159581777535072
25,1.0,1.0,0.96,0.96,0.040000000000000036,-3.875506099096757,-1.8544197162150455
26,1.0,1.0,0.9615384615384616,0.9615384615384616,0.038461538461538436,-3.949580173170831,-1.8914567532520827
27,1.0,1.0,0.9629629629629629,0.9629629629629629,0.03703703703703709,-4.021008744599403,-1.9271710389663683
28,1.0,1.0,0.9642857142857143,0.9642857142857143,0.0357142857142857,-4.089974261840782,-1.9616537975870578
29,1.0,1.0,0.9655172413793104,0.9655172413793104,0.03448275862068961,-4.156640928507448,-1.994987130920391
30,1.0,1.0,0.9666666666666667,0.9666666666666667,0.033333333333333326,-4.221157057539706,-2.02724519543652
31,1.0,1.0,0.967741935483871,0.967741935483871,0.032258064516129004,-4.283657057539706,-2.05849519543652
32,1.0,1.0,0.96875,0.96875,0.03125,-4.344263118145767,-2.0887982257395503
33,1.0,1.0,0.9696969696969697,0.9696969696969697,0.030303030303030276,-4.403086647557531,-2.1182099904454326
34,1.0,1.0,0.9705882352941176,0.9705882352941176,0.02941176470588236,-4.460229504700388,-2.146781419016861
35,1.0,1.0,0.9714285714285714,0.9714285714285714,0.02857142857142858,-4.5157850602559435,-2.1745591967946387
36,1.0,1.0,0.9722222222222222,0.9722222222222222,0.02777777777777779,-4.569839114309998,-2.201586223821666
37,1.0,1.0,0.972972972972973,0.972972972972973,0.027027027027026973,-4.622470693257366,-2.22790201329535
38,1.0,1.0,0.9736842105263158,0.9736842105263158,0.02631578947368418,-4.673752744539417,-2.2535430389363755
39,1.0,1.0,0.9743589743589743,0.9743589743589743,0.02564102564102566,-4.723752744539417,-2.2785430389363754
40,1.0,1.0,0.975,0.975,0.025000000000000022,-4.772533232344295,-2.3029332828388145
41,1.0,1.0,0.975609756097561,0.975609756097561,0.024390243902439046,-4.8201522799633425,-2.326742806648338
42,1.0,1.0,0.9761904761904762,0.9761904761904762,0.023809523809523836,-4.866663907870319,-2.3499986206018266
43,1.0,1.0,0.9767441860465116,0.9767441860465116,0.023255813953488413,-4.912118453324865,-2.3727258933290996
44,1.0,1.0,0.9772727272727273,0.9772727272727273,0.022727272727272707,-4.9565628977693095,-2.3949481155513217
45,1.0,1.0,0.9777777777777777,0.9777777777777777,0.022222222222222254,-5.000041158638875,-2.4166872459861044
46,1.0,1.0,0.9782608695652174,0.9782608695652174,0.021739130434782594,-5.042594350128237,-2.4379638417307854
47,1.0,1.0,0.9787234042553191,0.9787234042553191,0.021276595744680882,-5.084261016794904,-2.458797175064119
48,1.0,1.0,0.9791666666666666,0.9791666666666666,0.02083333333333337,-5.125077343325517,-2.4792053383294252
49,1.0,1.0,0.9795918367346939,0.9795918367346939,0.020408163265306145,-5.165077343325517,-2.4992053383294253
50,1.0,1.0,0.98,0.98,0.020000000000000018,-5.204293029600026,-2.51881318146668
51,1.0,1.0,0.9803921568627451,0.9803921568627451,0.019607843137254943,-5.242754568061565,-2.5380439506974493
52,1.0,1.0,0.9807692307692307,0.9807692307692307,0.019230769230769273,-5.280490417118168,-2.556911875225751
53,1.0,1.0,0.9811320754716981,0.9811320754716981,0.018867924528301883,-5.317527454155205,-2.5754303937442695
54,1.0,1.0,0.9814814814814815,0.9814814814814815,0.01851851851851849,-5.353891090518841,-2.5936122119260876
55,1.0,1.0,0.9818181818181818,0.9818181818181818,0.018181818181818188,-5.389605376233127,-2.6114693547832304
56,1.0,1.0,0.9821428571428571,0.9821428571428571,0.017857142857142905,-5.424693095531373,-2.6290132144323533
57,1.0,1.0,0.9824561403508771,0.9824561403508771,0.01754385964912286,-5.459175854152062,-2.646254593742698
58,1.0,1.0,0.9827586206896551,0.9827586206896551,0.017241379310344862,-5.493074159236808,-2.663203746285071
59,1.0,1.0,0.9830508474576272,0.9830508474576272,0.016949152542372836,-5.526407492570141,-2.6798704129517374
60,1.0,1.0,0.9833333333333333,0.9833333333333333,0.01666666666666672,-5.559194377816043,-2.6962638555746885
61,1.0,1.0,0.9836065573770492,0.9836065573770492,0.016393442622950838,-5.591452442332172,-2.712392887832753
62,1.0,1.0,0.9838709677419355,0.9838709677419355,0.016129032258064502,-5.623198474078204,-2.728265903705769
