t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,-1.0,1.0,-1.0,1.0,2.0,1.5,-1.0
2,1.0,-1.0,0.0,0.0,1.0,0.8333333333333333,0.33333333333333326
3,1.0,-1.0,0.3333333333333333,-0.3333333333333333,1.0,0.33333333333333326,1.3333333333333333
4,1.0,-1.0,0.5,-0.5,1.5,-0.6666666666666667,2.833333333333333
5,1.0,-1.0,0.6,-0.6,1.6,-1.0666666666666667,3.633333333333333
6,-1.0,1.0,0.3333333333333333,-0.3333333333333333,1.3333333333333335,0.6000000000000001,2.633333333333333
7,-1.0,1.0,0.14285714285714285,-0.14285714285714285,1.1428571428571428,2.0285714285714285,1.7761904761904757
8,-1.0,1.0,0.0,0.0,1.125,3.2785714285714285,1.0261904761904757
9,-1.0,1.0,-0.1111111111111111,0.1111111111111111,1.3333333333333333,4.6119047619047615,0.359523809523809
10,2.0,-2.0,0.1,-0.1,1.2000000000000002,3.1119047619047615,2.759523809523809
11,2.0,-2.0,0.2727272727272727,-0.2727272727272727,1.0909090909090908,1.7482683982683977,4.941341991341991
12,2.0,-2.0,0.4166666666666667,-0.4166666666666667,0.9999999999999999,0.49826839826839775,6.941341991341991
13,-2.0,2.0,0.23076923076923078,-0.23076923076923078,1.0,2.4982683982683977,5.608008658008657
14,2.0,-2.0,0.35714285714285715,-0.35714285714285715,0.9285714285714285,0.49826839826839775,8.608008658008657
15,2.0,-2.0,0.4666666666666667,-0.4666666666666667,0.9333333333333333,-0.655577755577756,10.454162504162504
16,-1.0,1.0,0.375,-0.375,0.8750000000000001,1.2729936729936726,9.311305361305362
17,2.0,-2.0,0.47058823529411764,-0.47058823529411764,0.9411764705882354,-0.3270063270063275,11.711305361305362
18,-2.0,2.0,0.3333333333333333,-0.3333333333333333,0.888888888888889,2.3396603396603393,10.211305361305362
19,-2.0,2.0,0.21052631578947367,-0.21052631578947367,0.8421052631578948,4.625374625374625,8.925591075591075
20,-2.0,2.0,0.1,-0.1,0.8,6.625374625374625,7.8005910755910755
21,1.0,-1.0,0.14285714285714285,-0.14285714285714285,0.761904761904762,5.4031524031524025,9.800591075591075
22,-1.0,1.0,0.09090909090909091,-0.09090909090909091,0.7272727272727272,7.203152403152402,8.733924408924409
23,1.0,-1.0,0.13043478260869565,-0.13043478260869565,0.6956521739130435,6.003152403152402,10.53392440892441
24,1.0,-1.0,0.16666666666666666,-0.16666666666666666,0.6666666666666666,4.912243312243311,12.170288045288046
25,1.0,-1.0,0.2,-0.2,0.64,3.9122433122433113,13.670288045288046
26,1.0,-1.0,0.23076923076923078,-0.23076923076923078,0.6538461538461537,2.989166389166388,15.054903429903431
27,1.0,-1.0,0.25925925925925924,-0.25925925925925924,0.7407407407407407,2.132023532023531,16.340617715617718
28,-2.0,2.0,0.17857142857142858,-0.17857142857142858,0.7142857142857143,4.3320235320235305,14.740617715617718
29,-2.0,2.0,0.10344827586206896,-0.10344827586206896,0.6896551724137931,6.3945235320235305,13.240617715617718
30,-2.0,2.0,0.03333333333333333,-0.03333333333333333,0.6666666666666666,8.335700002611766,11.828853009735365
31,-2.0,2.0,-0.03225806451612903,0.03225806451612903,0.6451612903225806,10.1690333359451,10.495519676402031
