player,action,action_label,prob
P1,0,0,0.2878
P1,1,1,0.005
P1,2,2,0.0044
P1,3,3,0.0236
P1,4,4,0.0186
P1,5,5,0.012
P1,6,6,0.071
P1,7,7,0.0038
P1,8,8,0.0054
P1,9,9,0.0052
P1,10,10,0.0112
P1,11,11,0.0168
P1,12,12,0.372
P1,13,13,0.005
P1,14,14,0.1526
P1,15,15,0.0056
P2,0,0,0.0
P2,1,1,0.0
P2,2,2,0.0
P2,3,3,0.1018
P2,4,4,0.0
P2,5,5,0.0
P2,6,6,0.0
P2,7,7,0.0
P2,8,8,0.0
P2,9,9,0.0
P2,10,10,0.0
P2,11,11,0.0
P2,12,12,0.0368
P2,13,13,0.0
P2,14,14,0.0
P2,15,15,0.0
P2,16,16,0.0
P2,17,17,0.0
P2,18,18,0.0
P2,19,19,0.8614
