t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,-1.0,1.0,-1.0,,-0.005917340498928114,0.019655441602433932
2,1.0,-1.0,1.0,-1.0,,-0.011911786618889031,0.03938371847999744
3,1.0,-1.0,1.0,-1.0,,-0.017976328757970284,0.059285844836683976
4,1.0,-1.0,1.0,-1.0,,-0.0239458180518497,0.0795369053820989
5,1.0,-1.0,1.0,-1.0,,-0.029828175570960735,0.10010200669736946
6,1.0,-1.0,1.0,-1.0,,-0.03563037185728468,0.12095124013774772
7,1.0,-1.0,1.0,-1.0,,-0.04135857315949765,0.14205877551004176
8,1.0,-1.0,1.0,-1.0,,-0.04701826058753389,0.16340215177669404
9,1.0,-1.0,1.0,-1.0,,-0.05261432798954868,0.18496171552984098
10,1.0,-1.0,1.0,-1.0,,-0.0581511629535435,0.20672017177056334
11,1.0,-1.0,1.0,-1.0,,-0.06363271430871975,0.2286622210767396
12,1.0,-1.0,1.0,-1.0,,-0.06906254873951723,0.25077426396204006
13,1.0,-1.0,1.0,-1.0,,-0.07444389855370981,0.2730441580279557
14,1.0,-1.0,1.0,-1.0,,-0.07977970221290975,0.29546101698616867
15,1.0,-1.0,1.0,-1.0,,-0.08507263890270489,0.3180150431771921
16,1.0,-1.0,1.0,-1.0,,-0.09032515816420406,0.34069738710213493
17,1.0,-1.0,1.0,-1.0,,-0.09553950541009038,0.3635000289026272
18,1.0,-1.0,1.0,-1.0,,-0.10071774399255917,0.38641567779833275
19,1.0,-1.0,1.0,-1.0,,-0.10586177436757982,0.40943768631306254
20,1.0,-1.0,1.0,-1.0,,-0.11097335080220083,0.432559976754301
21,1.0,-1.0,1.0,-1.0,,-0.11605409599344219,0.4557769779039086
22,1.0,-1.0,1.0,-1.0,,-0.12110551390439572,0.4790835702641354
23,1.0,-1.0,1.0,-1.0,,-0.1261290010722178,0.5024750385081074
24,1.0,-1.0,1.0,-1.0,,-0.13112585660124032,0.5259470300264012
25,1.0,-1.0,1.0,-1.0,,-0.1360972910204996,0.5494955186553007
26,1.0,-1.0,1.0,-1.0,,-0.1410444341570961,0.5731167728284352
27,1.0,-1.0,1.0,-1.0,,-0.14596834215375443,0.5968073275198885
28,1.0,-1.0,1.0,-1.0,,-0.1508700037398335,0.620563959449739
29,1.0,-1.0,1.0,-1.0,,-0.15575034584910752,0.6443836651071503
30,1.0,-1.0,1.0,-1.0,,-0.16061023866430324,0.6682636412153421
31,1.0,-1.0,1.0,-1.0,,-0.16545050015718388,0.6922012673199324
32,1.0,-1.0,1.0,-1.0,,-0.17027190018352634,0.7161940902295852
33,1.0,-1.0,1.0,-1.0,,-0.17507516418435132,0.7402398100774233
34,1.0,-1.0,1.0,-1.0,,-0.1798609765379804,0.7643362678047446
35,1.0,-1.0,1.0,-1.0,,-0.1846299836017169,0.7884814338963702
36,1.0,-1.0,1.0,-1.0,,-0.18938279647701162,0.8126733982203664
37,1.0,-1.0,1.0,-1.0,,-0.19411999352773757,0.8369103608447189
38,1.0,-1.0,1.0,-1.0,,-0.19884212267756363,0.8611906237203579
39,1.0,-1.0,1.0,-1.0,,-0.20354970350927948,0.8855125831342725
40,1.0,-1.0,1.0,-1.0,,-0.20824322918621108,0.9098747228487073
41,1.0,-1.0,1.0,-1.0,,-0.21292316821351764,0.9342756078529296
42,1.0,-1.0,1.0,-1.0,,-0.2175899660551216,0.9587138786630869
43,1.0,-1.0,1.0,-1.0,,-0.222244046620239,0.9831882461134573
44,1.0,-1.0,1.0,-1.0,,-0.22688581363193283,1.0076974865891186
45,1.0,-1.0,1.0,-1.0,,-0.23151565188874768,1.0322404376558947
46,1.0,-1.0,1.0,-1.0,,-0.23613392842929504,1.0568159940485025
47,1.0,-1.0,1.0,-1.0,,-0.24074099360861356,1.0814231039822384
48,1.0,-1.0,1.0,-1.0,,-0.24533718209420252,1.1060607657573838
49,1.0,-1.0,1.0,-1.0,,-0.24992281378881853,1.1307280246288942
50,1.0,-1.0,1.0,-1.0,,-0.2544981946864031,1.1554239699168818
51,1.0,-1.0,1.0,-1.0,,-0.25906361766687136,1.1801477323359988
52,1.0,-1.0,1.0,-1.0,,-0.2636193632349306,1.2048984815241222
53,1.0,-1.0,1.0,-1.0,,-0.26816570020759234,1.2296754237527514
54,1.0,-1.0,1.0,-1.0,,-0.2727028863545935,1.254477799803321
55,1.0,-1.0,1.0,-1.0,,-0.27723116899554634,1.2793048829952047
56,1.0,-1.0,1.0,-1.0,,-0.28175078555727917,1.3041559773525904
57,1.0,-1.0,1.0,-1.0,,-0.2862619640945081,1.3290304158986583
58,1.0,-1.0,1.0,-1.0,,-0.2907649237767007,1.3539275590665958
59,1.0,-1.0,1.0,-1.0,,-0.29525987534372977,1.3788467932179738
60,1.0,-1.0,1.0,-1.0,,-0.29974702153268795,1.4037875292599002
61,1.0,-1.0,1.0,-1.0,,-0.3042265574780272,1.4287492013531504
62,1.0,-1.0,1.0,-1.0,,-0.30869867108699744,1.4537312657041834
63,1.0,-1.0,1.0,-1.0,,-0.31316354339219277,1.4787331994345945
64,1.0,-1.0,1.0,-1.0,,-0.31762134888286087,1.5036989200567539
65,1.0,-1.0,1.0,-1.0,,-0.32207225581649046,1.5286842176204178
66,1.0,-1.0,1.0,-1.0,,-0.3265164265120708,1.5536886087443147
67,1.0,-1.0,1.0,-1.0,,-0.3309540176263006,1.5787116277318534
68,1.0,-1.0,1.0,-1.0,,-0.3353851804139236,1.60375282571885
69,1.0,-1.0,1.0,-1.0,,-0.3398100609732717,1.6288117698719837
70,1.0,-1.0,1.0,-1.0,,-0.3442288004780142,1.6538880426344045
71,1.0,-1.0,1.0,-1.0,,-0.34864153539603093,1.6789812410151987
72,1.0,-1.0,1.0,-1.0,,-0.3530483976962612,1.7040909759196912
73,1.0,-1.0,1.0,-1.0,,-0.3574495150443089,1.7292168715177976
74,1.0,-1.0,1.0,-1.0,,-0.36184501098753286,1.7543585646478637
75,1.0,-1.0,1.0,-1.0,,-0.36623500513029106,1.7795157042536238
76,1.0,-1.0,1.0,-1.0,,-0.3706196132999616,1.8046879508520957
77,1.0,-1.0,1.0,-1.0,,-0.3749989477043173,1.8298749760303943
78,1.0,-1.0,1.0,-1.0,,-0.379373117080787,1.8550764619695985
79,1.0,-1.0,1.0,-1.0,,-0.38374222683810344,1.8802921009939446
80,1.0,-1.0,1.0,-1.0,,-0.38810637919079494,1.9055215951437454
81,1.0,-1.0,1.0,-1.0,,-0.3924656732869538,1.9307646557705533
82,1.0,-1.0,1.0,-1.0,,-0.39682020532967976,1.9560210031531935
83,1.0,-1.0,1.0,-1.0,,-0.40117006869256955,1.9812903661333838
84,1.0,-1.0,1.0,-1.0,,-0.4055153540296006,2.00654333342648
85,1.0,-1.0,1.0,-1.0,,-0.4098561493797317,2.0318090898060706
86,1.0,-1.0,1.0,-1.0,,-0.41419254026652264,2.0570873820229183
87,1.0,-1.0,1.0,-1.0,,-0.4185246097930557,2.082377964276292
88,1.0,-1.0,1.0,-1.0,,-0.42285243873241973,2.107680597924706
89,1.0,-1.0,1.0,-1.0,,-0.42717610561400654,2.132995051210563
90,1.0,-1.0,1.0,-1.0,,-0.4314956868058488,2.15829361627425
91,1.0,-1.0,1.0,-1.0,,-0.43581125659321474,2.1836038163462272
92,1.0,-1.0,1.0,-1.0,,-0.44012288725366244,2.2089241551402923
93,1.0,-1.0,1.0,-1.0,,-0.44443064912874397,2.234255711870917
94,1.0,-1.0,1.0,-1.0,,-0.4487346106925366,2.2595982807044033
95,-1.0,1.0,0.9789473684210527,-0.9789473684210527,,1.5469651613828317,0.28495166142069905
96,1.0,-1.0,0.9791666666666666,-0.9791666666666666,,1.5426686021645062,0.31031565921110515
97,1.0,-1.0,0.979381443298969,-0.979381443298969,,1.5383756483989297,0.33569008448501225
98,1.0,-1.0,0.9795918367346939,-0.9795918367346939,,1.5340862384544312,0.3610039146191725
99,1.0,-1.0,0.9797979797979798,-0.9797979797979798,,1.529800312266247,0.3863284293656868
100,1.0,-1.0,0.98,-0.98,,1.5255178112838503,0.4116634429052102
101,1.0,-1.0,0.9801980198019802,-0.9801980198019802,,1.5212386784204783,0.4370087742240697
102,1.0,-1.0,0.9803921568627451,-0.9803921568627451,,1.5169628580047423,0.46236424694996925
103,1.0,-1.0,0.9805825242718447,-0.9805825242718447,,1.5126902957342219,0.48772968919465376
104,1.0,-1.0,0.9807692307692307,-0.9807692307692307,,1.508420938630946,0.5131049334031856
105,1.0,-1.0,0.9809523809523809,-0.9809523809523809,,1.5041547349986688,0.5384898162095005
106,1.0,-1.0,0.9811320754716981,-0.9811320754716981,,1.4998916343818542,0.563884178297933
107,1.0,-1.0,0.9813084112149533,-0.9813084112149533,,1.4956315875262889,0.5892878642704157
108,1.0,-1.0,0.9814814814814815,-0.9814814814814815,,1.4913745463412442,0.6147007225190774
109,1.0,-1.0,0.981651376146789,-0.981651376146789,,1.4871204638631181,0.64012260510398
110,1.0,-1.0,0.9818181818181818,-0.9818181818181818,,1.482869294220486,0.6655533676357437
111,1.0,-1.0,0.9819819819819819,-0.9819819819819819,,1.4786209926004936,0.6909928691628309
112,1.0,-1.0,0.9821428571428571,-0.9821428571428571,,1.474375515216536,0.7164409720632678
113,1.0,-1.0,0.9823008849557522,-0.9823008849557522,,1.4701328192771583,0.7418975419405961
114,1.0,-1.0,0.9824561403508771,-0.9824561403508771,,1.4658928629561259,0.7673624475238564
115,1.0,-1.0,0.9826086956521739,-0.9826086956521739,,1.4616556053636127,0.7928355605714186
116,1.0,-1.0,0.9827586206896551,-0.9827586206896551,,1.4574210065184556,0.8183167557784846
117,1.0,-1.0,0.9829059829059829,-0.9829059829059829,,1.4531890273214292,0.8438059106880919
118,1.0,-1.0,0.9830508474576272,-0.9830508474576272,,1.4489596295294944,0.8693029056054655
119,1.0,-1.0,0.9831932773109243,-0.9831932773109243,,1.4447327757309836,0.894807623515564
120,1.0,-1.0,0.9833333333333333,-0.9833333333333333,,1.4405084293216748,0.9203199500036806
121,1.0,-1.0,0.9834710743801653,-0.9834710743801653,,1.436286554481722,0.945839773178962
122,1.0,-1.0,0.9836065573770492,-0.9836065573770492,,1.4320671161534042,0.9713669836007198
123,1.0,-1.0,0.983739837398374,-0.983739837398374,,1.427850080019656,0.9969014742074106
124,1.0,-1.0,0.9838709677419355,-0.9838709677419355,,1.4236354124833506,1.0224431402481722
125,1.0,-1.0,0.984,-0.984,,1.4194230806473012,1.0479918792168035
126,1.0,-1.0,0.9841269841269841,-0.9841269841269841,,1.4152130522949526,1.0735475907880865
127,1.0,-1.0,0.984251968503937,-0.984251968503937,,1.4110052958717336,1.0991101767563503
128,1.0,-1.0,0.984375,-0.984375,,1.4067997804670436,1.124679540976182
129,1.0,-1.0,0.9844961240310077,-0.9844961240310077,,1.4025964757968485,1.1502555893051993
130,1.0,-1.0,0.9846153846153847,-0.9846153846153847,,1.39839535218686,1.1758382295487926
131,1.0,-1.0,0.9847328244274809,-0.9847328244274809,,1.394196380556275,1.201427371406762
132,1.0,-1.0,0.9848484848484849,-0.9848484848484849,,1.3899995324020553,1.2270229264217694
133,1.0,-1.0,0.9849624060150376,-0.9849624060150376,,1.3858047797837223,1.2526248079295303
134,1.0,-1.0,0.9850746268656716,-0.9850746268656716,,1.38161209530865,1.2782329310106788
135,1.0,-1.0,0.9851851851851852,-0.9851851851851852,,1.3774214521178352,1.3038472124442368
136,1.0,-1.0,0.9852941176470589,-0.9852941176470589,,1.3732328238721259,1.329467570662622
137,1.0,-1.0,0.9854014598540146,-0.9854014598540146,,1.3690461847388928,1.35509392570814
138,1.0,-1.0,0.9855072463768116,-0.9855072463768116,,1.3648615093791234,1.3807261991908932
139,1.0,-1.0,0.9856115107913669,-0.9856115107913669,,1.3606787729349257,1.4063643142480609
140,1.0,-1.0,0.9857142857142858,-0.9857142857142858,,1.3564979510174244,1.4320081955044885
141,1.0,-1.0,0.9858156028368794,-0.9858156028368794,,1.3523190196950363,1.4576577690345451
142,1.0,-1.0,0.9859154929577465,-0.9859154929577465,,1.3481419554821075,1.483312962325191
143,1.0,-1.0,0.986013986013986,-0.986013986013986,,1.343966735327904,1.5089737042402156
144,-1.0,1.0,0.9722222222222222,-0.9722222222222222,,3.339793336605938,-0.46536007501439824
145,1.0,-1.0,0.9724137931034482,-0.9724137931034482,,3.335621737103622,-0.4396884439240297
146,1.0,-1.0,0.9726027397260274,-0.9726027397260274,,3.331451915012232,-0.41415217497273504
147,1.0,-1.0,0.9727891156462585,-0.9727891156462585,,3.3272838489171797,-0.3886097602992725
148,1.0,-1.0,0.972972972972973,-0.972972972972973,,3.323117517788568,-0.3630612753112761
149,1.0,-1.0,0.9731543624161074,-0.9731543624161074,,3.318952900972034,-0.3375169964663868
150,1.0,-1.0,0.9733333333333334,-0.9733333333333334,,3.314789978179862,-0.31196673218454196
151,1.0,-1.0,0.9735099337748344,-0.9735099337748344,,3.3106287294823535,-0.2864105545794401
152,1.0,-1.0,0.9736842105263158,-0.9736842105263158,,3.3064691352994533,-0.2608485344693239
153,1.0,-1.0,0.9738562091503268,-0.9738562091503268,,3.30231117639262,-0.2352807414078243
154,1.0,-1.0,0.974025974025974,-0.974025974025974,,3.2981548338569278,-0.2097072437138926
155,1.0,-1.0,0.9741935483870968,-0.9741935483870968,,3.2940000891133976,-0.18412810850085148
156,1.0,-1.0,0.9743589743589743,-0.9743589743589743,,3.289846923901548,-0.15854340170459702
157,1.0,-1.0,0.9745222929936306,-0.9745222929936306,,3.2856953202721555,-0.13295318811098045
158,1.0,-1.0,0.9746835443037974,-0.9746835443037974,,3.28154526058022,-0.10735753138239901
159,1.0,-1.0,0.9748427672955975,-0.9748427672955975,,3.27739672747813,-0.081809571403344
160,1.0,-1.0,0.975,-0.975,,3.2732497039090163,-0.05625598904735496
161,1.0,-1.0,0.9751552795031055,-0.9751552795031055,,3.2691041731002892,-0.030696848205078675
162,1.0,-1.0,0.9753086419753086,-0.9753086419753086,,3.2649601185573593,-0.005132211684269916
163,1.0,-1.0,0.9754601226993865,-0.9754601226993865,,3.2608175240575257,0.020437858765874117
164,1.0,-1.0,0.975609756097561,-0.975609756097561,,3.2566763736440327,0.04601330243105961
165,1.0,-1.0,0.9757575757575757,-0.9757575757575757,,3.2525366516202903,0.07159405960889698
166,1.0,-1.0,0.9759036144578314,-0.9759036144578314,,3.248398342544247,0.09718007158653941
