t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,-1.0,1.0,-1.0,,-0.005917340498928114,0.019655441602433932
2,1.0,-1.0,1.0,-1.0,,-0.01200986951023375,0.03938371847999744
3,1.0,-1.0,1.0,-1.0,,-0.018210938157885437,0.059285844836683976
4,1.0,-1.0,1.0,-1.0,,-0.024532229838090558,0.0795369053820989
5,1.0,-1.0,1.0,-1.0,,-0.030904157637479335,0.10010200669736946
6,1.0,-1.0,1.0,-1.0,,-0.037312964264622384,0.12095124013774772
7,1.0,-1.0,1.0,-1.0,,-0.04377188322979375,0.14205877551004176
8,1.0,-1.0,1.0,-1.0,,-0.050231661125617166,0.16340215177669404
9,1.0,-1.0,1.0,-1.0,,-0.056650879553845956,0.18496171552984098
10,1.0,-1.0,1.0,-1.0,,-0.06300306269754363,0.20672017177056334
11,1.0,-1.0,1.0,-1.0,,-0.06926203777829665,0.2286622210767396
12,1.0,-1.0,1.0,-1.0,,-0.07554155886705971,0.25077426396204006
13,1.0,-1.0,1.0,-1.0,,-0.08185268651855337,0.2730441580279557
14,1.0,-1.0,1.0,-1.0,,-0.08815827723470293,0.29546101698616867
15,1.0,-1.0,1.0,-1.0,,-0.09442645641524772,0.31725992486908894
16,1.0,-1.0,1.0,-1.0,,-0.1006364305540759,0.3392115091410288
17,1.0,-1.0,1.0,-1.0,,-0.10676729176110589,0.3613062275276747
18,1.0,-1.0,1.0,-1.0,,-0.11286287060651079,0.3835354052341957
19,1.0,-1.0,1.0,-1.0,,-0.11890477665633437,0.4058911328888346
20,1.0,-1.0,1.0,-1.0,,-0.12487439956037771,0.42836617906598473
21,1.0,-1.0,1.0,-1.0,,-0.13079174005930583,0.45095391495883974
22,1.0,-1.0,1.0,-1.0,,-0.13679881125969562,0.4736482492314156
23,1.0,-1.0,1.0,-1.0,,-0.1428647712650981,0.4960348316708908
24,1.0,-1.0,1.0,-1.0,,-0.1489981786749418,0.5185277036873674
25,1.0,-1.0,1.0,-1.0,,-0.1551634758832121,0.5411215508019952
26,1.0,-1.0,1.0,-1.0,,-0.16128578876953104,0.5638114474002305
27,1.0,-1.0,1.0,-1.0,,-0.16743357090817457,0.5865928196971393
28,1.0,-1.0,1.0,-1.0,,-0.1736146284782487,0.6094614130090626
29,1.0,-1.0,1.0,-1.0,,-0.17980195797587906,0.6324132627444087
30,1.0,-1.0,1.0,-1.0,,-0.18597167080627575,0.6554446686176921
31,1.0,-1.0,1.0,-1.0,,-0.19210749328360088,0.6785521716663939
32,1.0,-1.0,1.0,-1.0,,-0.198192729854613,0.7017325337128367
33,1.0,-1.0,1.0,-1.0,,-0.20429355613251066,0.7249827189654483
34,1.0,-1.0,1.0,-1.0,,-0.21041683721829973,0.7482998774974458
35,1.0,-1.0,1.0,-1.0,,-0.21654021326148432,0.7716813303776539
36,1.0,-1.0,1.0,-1.0,,-0.22264377516762157,0.795124556259084
37,1.0,-1.0,1.0,-1.0,,-0.228698378978901,0.8186271792570734
38,1.0,-1.0,1.0,-1.0,,-0.2347314180536123,0.8421869579709979
39,1.0,-1.0,1.0,-1.0,,-0.24073037046519608,0.8658017755224887
40,1.0,-1.0,1.0,-1.0,,-0.24668227052004787,0.8894696304992713
41,1.0,-1.0,1.0,-1.0,,-0.25265648775892113,0.9131886287075853
42,1.0,-1.0,1.0,-1.0,,-0.25867178997766394,0.9368346890373358
43,1.0,-1.0,1.0,-1.0,,-0.26465262484932117,0.9605305048086861
44,1.0,-1.0,1.0,-1.0,,-0.27069084804458476,0.9841356942227832
45,1.0,-1.0,1.0,-1.0,,-0.2766953228571011,1.0077559145181696
46,1.0,-1.0,1.0,-1.0,,-0.2827453626478307,1.0314238668733453
47,1.0,-1.0,1.0,-1.0,,-0.28881792544992213,1.0551380115444462
48,1.0,-1.0,1.0,-1.0,,-0.29490871714292655,1.0788968821087441
49,1.0,-1.0,1.0,-1.0,,-0.30102334612597303,1.102699080882077
50,1.0,-1.0,1.0,-1.0,,-0.3071433009222041,1.1265432746887818
51,1.0,-1.0,1.0,-1.0,,-0.3132518865471058,1.1504281909520904
52,1.0,-1.0,1.0,-1.0,,-0.31933746667273877,1.1743526140762826
53,1.0,-1.0,1.0,-1.0,,-0.32538791292517344,1.1983162421105216
54,1.0,-1.0,1.0,-1.0,,-0.33144994075400047,1.2223170911289387
55,1.0,-1.0,1.0,-1.0,,-0.3375128656227774,1.2463540976748435
56,1.0,-1.0,1.0,-1.0,,-0.34356206614004503,1.2702074810949573
57,1.0,-1.0,1.0,-1.0,,-0.3495873430020917,1.2940980658001044
58,1.0,-1.0,1.0,-1.0,,-0.35557803066585325,1.3180248325769965
59,1.0,-1.0,1.0,-1.0,,-0.36155377892145,1.341776910135481
60,1.0,-1.0,1.0,-1.0,,-0.3675052267258786,1.3655668314199507
61,1.0,-1.0,1.0,-1.0,,-0.3734225672248067,1.3893928310551844
62,1.0,-1.0,1.0,-1.0,,-0.37937155044610515,1.413253971941162
63,1.0,-1.0,1.0,-1.0,,-0.38533689888538947,1.4371493530201729
64,1.0,-1.0,1.0,-1.0,,-0.39134599372009016,1.4610781074518862
65,1.0,-1.0,1.0,-1.0,,-0.39739029216862054,1.4850394009024845
66,1.0,-1.0,1.0,-1.0,,-0.40345214661823425,1.5090324299394031
67,1.0,-1.0,1.0,-1.0,,-0.40952832716137866,1.5330564205239514
68,1.0,-1.0,1.0,-1.0,,-0.41562330709386464,1.5571106265947403
69,1.0,-1.0,1.0,-1.0,,-0.4217226862327176,1.5811943287354309
70,1.0,-1.0,1.0,-1.0,,-0.4278133545138664,1.6053068329208489
71,1.0,-1.0,1.0,-1.0,,-0.43388607309385596,1.6294474693360006
72,1.0,-1.0,1.0,-1.0,,-0.4399311347801683,1.6536155912629615
73,1.0,-1.0,1.0,-1.0,,-0.44598544472346713,1.6778105740310083
74,1.0,-1.0,1.0,-1.0,,-0.4520405514285061,1.7020318140257347
75,1.0,-1.0,1.0,-1.0,,-0.4580847910250402,1.7262787277532146
76,1.0,-1.0,1.0,-1.0,,-0.46410994391761573,1.7505507509555849
77,1.0,-1.0,1.0,-1.0,,-0.470107354682082,1.774847337774696
