t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,0.0,1.0,0.0,0.3333333333333333,-0.6666666666666667,0.3333333333333333
2,0.0,1.0,0.5,0.5,0.3333333333333333,-0.16666666666666674,-0.16666666666666669
3,0.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.23333333333333328,-0.5666666666666667
4,1.0,0.0,0.5,0.5,0.3333333333333333,-0.2666666666666667,0.09999999999999998
5,1.0,0.0,0.6,0.4,0.3333333333333333,-0.6952380952380953,0.6714285714285714
6,1.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-1.0702380952380954,1.1714285714285713
7,0.0,1.0,0.5714285714285714,0.42857142857142855,0.3333333333333333,-0.4035714285714288,0.6158730158730157
8,0.0,1.0,0.5,0.5,0.3333333333333333,0.19642857142857117,0.11587301587301568
9,0.0,1.0,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.7418831168831166,-0.3386724386724389
10,1.0,0.0,0.5,0.5,0.2333333333333333,0.2418831168831166,0.24466089466089447
11,1.0,0.0,0.5454545454545454,0.45454545454545453,0.1515151515151515,-0.29657842157842185,0.7831224331224329
12,1.0,0.0,0.5833333333333334,0.4166666666666667,0.08333333333333331,-0.8680069930069932,1.283122433122433
13,0.0,1.0,0.5384615384615384,0.46153846153846156,0.10256410256410253,-0.40134032634032657,0.7497890997890996
14,0.0,1.0,0.5,0.5,0.11904761904761904,0.03615967365967343,0.18728909978909958
15,0.0,0.0,0.4666666666666667,0.4666666666666667,0.06666666666666665,0.44792437954202635,0.5990538056714525
16,1.0,0.0,0.5,0.4375,0.08333333333333331,-0.10763117601352923,0.9879426945603413
17,0.0,1.0,0.47058823529411764,0.47058823529411764,0.0980392156862745,0.36605303451278653,0.3563637471919203
18,1.0,0.0,0.5,0.4444444444444444,0.1111111111111111,-0.1839469654872135,0.7563637471919203
19,0.0,1.0,0.47368421052631576,0.47368421052631576,0.12280701754385961,0.29224351070326265,0.18493517576334895
20,0.0,1.0,0.45,0.5,0.1333333333333333,0.7467889652487172,-0.36051936969119647
21,0.0,1.0,0.42857142857142855,0.5238095238095238,0.14285714285714285,1.1815715739443693,-0.8822585001259791
22,0.0,1.0,0.4090909090909091,0.5454545454545454,0.1515151515151515,1.598238240611036,-1.382258500125979
23,0.0,1.0,0.391304347826087,0.5652173913043478,0.15942028985507245,1.9982382406110362,-1.862258500125979
24,1.0,0.0,0.4166666666666667,0.5416666666666666,0.12499999999999997,1.3828536252264207,-1.3237969616644407
25,0.0,1.0,0.4,0.56,0.1333333333333333,1.7902610326338282,-1.8052784431459221
26,0.0,1.0,0.38461538461538464,0.5769230769230769,0.141025641025641,2.2188324612052566,-2.2695641574316365
27,1.0,0.0,0.4074074074074074,0.5555555555555556,0.1111111111111111,1.667108323274222,-1.717840019500602
