t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,-1.0,1.0,-1.0,1.0,2.0,1.0,-1.0
2,1.0,-1.0,0.0,0.0,1.0,0.33333333333333326,0.33333333333333326
3,-1.0,1.0,-0.3333333333333333,0.3333333333333333,0.6666666666666666,1.8333333333333333,-0.6666666666666667
4,-1.0,1.0,-0.5,0.5,0.5,3.033333333333333,-1.4666666666666668
5,1.0,-1.0,-0.2,0.2,0.3999999999999999,2.033333333333333,-0.13333333333333353
6,1.0,-1.0,0.0,0.0,0.3333333333333333,1.176190476190476,1.0095238095238093
7,-1.0,1.0,-0.14285714285714285,0.14285714285714285,0.2857142857142857,2.426190476190476,0.009523809523809268
8,-1.0,1.0,-0.25,0.25,0.25,3.537301587301587,-0.8793650793650796
9,1.0,-1.0,-0.1111111111111111,0.1111111111111111,0.22222222222222232,2.537301587301587,0.3206349206349204
10,1.0,-1.0,0.0,0.0,0.19999999999999996,1.628210678210678,1.4115440115440112
11,1.0,-1.0,0.09090909090909091,-0.09090909090909091,0.3636363636363636,0.7948773448773447,2.411544011544011
12,-1.0,1.0,0.0,0.0,0.33333333333333337,2.025646575646576,1.488467088467088
13,-1.0,1.0,-0.07692307692307693,0.07692307692307693,0.30769230769230765,3.1685037185037186,0.6313242313242309
14,-1.0,1.0,-0.14285714285714285,0.14285714285714285,0.28571428571428575,4.2351703851703855,-0.16867576867576917
15,1.0,-1.0,-0.06666666666666667,0.06666666666666667,0.2666666666666666,3.2351703851703855,1.0813242313242308
16,1.0,-1.0,0.0,0.0,0.25,2.29399391458215,2.2577948195595248
17,-1.0,1.0,-0.058823529411764705,0.058823529411764705,0.3529411764705883,3.405105025693261,1.368905930670636
18,1.0,-1.0,0.0,0.0,0.3333333333333334,2.5629997625353664,2.5268006675127412
19,1.0,-1.0,0.05263157894736842,-0.05263157894736842,0.3157894736842105,1.7629997625353664,3.6268006675127413
20,-1.0,1.0,0.0,0.0,0.19999999999999996,3.0010950006306043,2.6744197151317888
21,1.0,-1.0,0.047619047619047616,-0.047619047619047616,0.2857142857142858,2.182913182448786,3.6744197151317888
22,-1.0,1.0,0.0,0.0,0.2727272727272727,3.400304486796612,2.717897976001354
23,-1.0,1.0,-0.043478260869565216,0.043478260869565216,0.26086956521739124,4.566971153463279,1.8012313093346874
24,-1.0,1.0,-0.08333333333333333,0.08333333333333333,0.25,5.686971153463279,0.9212313093346876
25,-1.0,1.0,-0.12,0.12,0.24,6.763894230386356,0.0750774631808413
26,-1.0,1.0,-0.15384615384615385,0.15384615384615385,0.23076923076923078,7.800931267423393,-0.7397373516339736
27,1.0,-1.0,-0.1111111111111111,0.1111111111111111,0.2222222222222222,6.800931267423393,0.4745483626517406
28,-1.0,1.0,-0.14285714285714285,0.14285714285714285,0.28571428571428564,7.8354140260440825,-0.3530378442448112
29,1.0,-1.0,-0.10344827586206896,0.10344827586206896,0.2758620689655172,6.902080692710749,0.8469621557551887
30,1.0,-1.0,-0.06666666666666667,0.06666666666666667,0.2666666666666666,5.998854886259136,2.0082524783358338
31,1.0,-1.0,-0.03225806451612903,0.03225806451612903,0.25806451612903225,5.123854886259136,3.1332524783358338
32,1.0,-1.0,0.0,0.0,0.25,4.275370037774287,4.224161569244925
33,1.0,-1.0,0.030303030303030304,-0.030303030303030304,0.24242424242424243,3.4518406260095817,5.282985098656689
34,1.0,-1.0,0.058823529411764705,-0.058823529411764705,0.23529411764705888,2.651840626009582,6.3115565272281176
35,-1.0,1.0,0.02857142857142857,-0.02857142857142857,0.22857142857142848,3.8740628482318042,5.3115565272281176
36,-1.0,1.0,0.0,0.0,0.22222222222222227,5.063252037420994,4.338583554255145
37,-1.0,1.0,-0.02702702702702703,0.02702702702702703,0.21621621621621617,6.221146774263099,3.391215133202513
38,-1.0,1.0,-0.05263157894736842,0.05263157894736842,0.21052631578947378,7.349351902468227,2.4681382101255895
39,1.0,-1.0,-0.02564102564102564,0.02564102564102564,0.2564102564102564,6.449351902468226,3.5681382101255896
40,-1.0,1.0,-0.05,0.05,0.25,7.571303121980422,2.690089429637785
41,-1.0,1.0,-0.07317073170731707,0.07317073170731707,0.24390243902439024,8.666541217218517,1.8329465724949277
