t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,1.0,1.0,1.0,0.0,1.5,1.5
2,1.0,1.0,1.0,1.0,0.0,2.5,2.5
3,1.0,1.0,1.0,1.0,0.0,3.25,3.25
4,1.0,1.0,1.0,1.0,0.0,3.85,3.85
5,1.0,1.0,1.0,1.0,0.0,4.35,4.35
6,1.0,1.0,1.0,1.0,0.0,4.7785714285714285,4.7785714285714285
7,1.0,1.0,1.0,1.0,0.0,5.1535714285714285,5.1535714285714285
8,1.0,1.0,1.0,1.0,0.0,5.4869047619047615,5.4869047619047615
9,1.0,1.0,1.0,1.0,0.0,5.786904761904761,5.786904761904761
10,1.0,1.0,1.0,1.0,0.0,6.059632034632034,6.059632034632034
11,1.0,1.0,1.0,1.0,0.0,6.309632034632034,6.309632034632034
12,1.0,1.0,1.0,1.0,0.0,6.540401265401265,6.540401265401265
13,1.0,1.0,1.0,1.0,0.0,6.754686979686979,6.754686979686979
14,1.0,1.0,1.0,1.0,0.0,6.954686979686979,6.954686979686979
15,1.0,1.0,1.0,1.0,0.0,7.142186979686979,7.142186979686979
16,1.0,1.0,1.0,1.0,0.0,7.318657567922274,7.318657567922274
17,1.0,1.0,1.0,1.0,0.0,7.485324234588941,7.485324234588941
18,1.0,1.0,1.0,1.0,0.0,7.643218971431046,7.643218971431046
19,1.0,1.0,1.0,1.0,0.0,7.793218971431045,7.793218971431045
20,1.0,1.0,1.0,1.0,0.0,7.936076114288188,7.936076114288188
21,1.0,1.0,1.0,1.0,0.0,8.072439750651824,8.072439750651824
22,1.0,1.0,1.0,1.0,0.0,8.20287453326052,8.20287453326052
23,1.0,1.0,1.0,1.0,0.0,8.32787453326052,8.32787453326052
24,1.0,1.0,1.0,1.0,0.0,8.447874533260519,8.447874533260519
25,1.0,1.0,1.0,1.0,0.0,8.563259148645134,8.563259148645134
26,1.0,1.0,1.0,1.0,0.0,8.674370259756245,8.674370259756245
27,1.0,1.0,1.0,1.0,0.0,8.781513116899102,8.781513116899102
28,1.0,1.0,1.0,1.0,0.0,8.884961392761172,8.884961392761172
29,1.0,1.0,1.0,1.0,0.0,8.984961392761171,8.984961392761171
30,1.0,1.0,1.0,1.0,0.0,9.08173558630956,9.08173558630956
31,1.0,1.0,1.0,1.0,0.0,9.17548558630956,9.17548558630956
32,1.0,1.0,1.0,1.0,0.0,9.26639467721865,9.26639467721865
33,1.0,1.0,1.0,1.0,0.0,9.354629971336296,9.354629971336296
34,1.0,1.0,1.0,1.0,0.0,9.440344257050581,9.440344257050581
35,1.0,1.0,1.0,1.0,0.0,9.523677590383915,9.523677590383915
36,1.0,1.0,1.0,1.0,0.0,9.604758671464996,9.604758671464996
37,1.0,1.0,1.0,1.0,0.0,9.683706039886049,9.683706039886049
38,1.0,1.0,1.0,1.0,0.0,9.760629116809126,9.760629116809126
39,1.0,1.0,1.0,1.0,0.0,9.835629116809125,9.835629116809125
40,1.0,1.0,1.0,1.0,0.0,9.908799848516441,9.908799848516441
41,1.0,1.0,1.0,1.0,0.0,9.980228419945012,9.980228419945012
42,1.0,1.0,1.0,1.0,0.0,10.049995861805478,10.049995861805478
43,1.0,1.0,1.0,1.0,0.0,10.118177679987296,10.118177679987296
44,1.0,1.0,1.0,1.0,0.0,10.184844346653962,10.184844346653962
45,1.0,1.0,1.0,1.0,0.0,10.25006173795831,10.25006173795831
46,1.0,1.0,1.0,1.0,0.0,10.313891525192354,10.313891525192354
47,1.0,1.0,1.0,1.0,0.0,10.376391525192354,10.376391525192354
