t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,-1.0,1.0,-1.0,1.0,2.0,1.5,-1.0
2,1.0,-1.0,0.0,0.0,1.0,0.8333333333333333,0.33333333333333326
3,1.0,-1.0,0.3333333333333333,-0.3333333333333333,1.0,0.33333333333333326,1.3333333333333333
4,-2.0,2.0,-0.25,0.25,1.5,2.333333333333333,-0.16666666666666674
5,1.0,-1.0,0.0,0.0,1.6,1.9333333333333331,0.6333333333333333
6,-1.0,1.0,-0.16666666666666666,0.16666666666666666,1.3333333333333335,3.5999999999999996,-0.3666666666666667
7,-1.0,1.0,-0.2857142857142857,0.2857142857142857,1.1428571428571428,5.0285714285714285,-1.223809523809524
8,-1.0,1.0,-0.375,0.375,1.125,6.2785714285714285,-1.973809523809524
9,2.0,-2.0,-0.1111111111111111,0.1111111111111111,1.0,4.6119047619047615,0.3595238095238096
10,2.0,-2.0,0.1,-0.1,0.9000000000000001,3.1119047619047615,2.4595238095238097
11,2.0,-2.0,0.2727272727272727,-0.2727272727272727,0.8181818181818181,1.7482683982683977,4.368614718614719
12,-1.0,1.0,0.16666666666666666,-0.16666666666666666,0.75,3.4982683982683977,3.201948051948052
13,1.0,-1.0,0.23076923076923078,-0.23076923076923078,0.6923076923076923,2.4982683982683977,5.201948051948052
14,1.0,-1.0,0.2857142857142857,-0.2857142857142857,0.7857142857142856,1.7482683982683977,6.701948051948052
15,-1.0,1.0,0.2,-0.2,0.7333333333333334,3.363653013653013,5.625024975024975
16,-1.0,1.0,0.125,-0.125,0.6875,4.863653013653013,4.625024975024975
17,-2.0,2.0,0.0,0.0,0.6470588235294118,7.263653013653013,3.025024975024975
18,-2.0,2.0,-0.1111111111111111,0.1111111111111111,0.6111111111111112,9.263653013653013,1.6916916416916417
19,-2.0,2.0,-0.21052631578947367,0.21052631578947367,0.736842105263158,10.977938727938728,0.5488344988344989
20,2.0,-2.0,-0.1,0.1,0.7,8.977938727938728,3.548834498834499
21,2.0,-2.0,0.0,0.0,0.6666666666666667,7.20016095016095,6.215501165501165
22,-1.0,1.0,-0.045454545454545456,0.045454545454545456,0.6363636363636364,8.60016095016095,5.282167832167832
23,2.0,-2.0,0.043478260869565216,-0.043478260869565216,0.6521739130434783,7.00016095016095,7.682167832167831
24,-2.0,2.0,-0.041666666666666664,0.041666666666666664,0.625,9.545615495615495,6.045804195804195
25,-2.0,2.0,-0.12,0.12,0.6,11.878948828948829,4.545804195804195
26,-2.0,2.0,-0.19230769230769232,0.19230769230769232,0.5769230769230769,14.032794982794982,3.16118881118881
27,-2.0,2.0,-0.25925925925925924,0.25925925925925924,0.5555555555555556,16.032794982794982,1.8754745254745242
28,-2.0,2.0,-0.32142857142857145,0.32142857142857145,0.5357142857142857,17.89946164946165,0.675474525474524
29,-2.0,2.0,-0.3793103448275862,0.3793103448275862,0.6206896551724138,19.64946164946165,-0.449525474525476
30,1.0,-1.0,-0.3333333333333333,0.3333333333333333,0.6,18.41416753181459,1.4916509960627593
31,-2.0,2.0,-0.3870967741935484,0.3870967741935484,0.6774193548387096,20.247500865147924,0.3249843293960928
32,1.0,-1.0,-0.34375,0.34375,0.6562500000000001,19.142237707253187,2.219721171501356
