player,action,action_label,prob
P1,0,0,0.0592
P1,1,1,0.0612
P1,2,2,0.0618
P1,3,3,0.07
P1,4,4,0.0584
P1,5,5,0.0612
P1,6,6,0.0672
P1,7,7,0.0622
P1,8,8,0.0656
P1,9,9,0.0548
P1,10,10,0.0688
P1,11,11,0.0692
P1,12,12,0.0534
P1,13,13,0.0662
P1,14,14,0.0578
P1,15,15,0.063
P2,0,0,0.0486
P2,1,1,0.0528
P2,2,2,0.0526
P2,3,3,0.0508
P2,4,4,0.0506
P2,5,5,0.0512
P2,6,6,0.0512
P2,7,7,0.0496
P2,8,8,0.0468
P2,9,9,0.055
P2,10,10,0.0488
P2,11,11,0.0526
P2,12,12,0.0512
P2,13,13,0.0482
P2,14,14,0.0462
P2,15,15,0.044
P2,16,16,0.0474
P2,17,17,0.051
P2,18,18,0.049
P2,19,19,0.0524
