t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,-1.0,1.0,-1.0,0.021226809803261082,-0.00011039721880701237,0.003447873531689516
2,1.0,-1.0,1.0,-1.0,0.01984355970774032,-0.0002248017596253593,0.006834457389614523
3,1.0,-1.0,1.0,-1.0,0.018072305757240836,-0.0003381404747582195,0.01016656153752693
4,1.0,-1.0,1.0,-1.0,0.01743229492517928,-0.00045289974280127154,0.013745801359011045
5,1.0,-1.0,1.0,-1.0,0.014642212730942461,-0.000566389432461567,0.017217362152175952
6,1.0,-1.0,1.0,-1.0,0.013964143494902381,-0.0006799040581588756,0.020526181567132484
7,1.0,-1.0,1.0,-1.0,0.01383370069924017,-0.0007917883460275554,0.0236912321328705
8,1.0,-1.0,1.0,-1.0,0.013779696767093452,-0.0009037551821451384,0.02696035236070149
9,1.0,-1.0,1.0,-1.0,0.013480245594719498,-0.0010165556661239084,0.030099338609545945
10,1.0,-1.0,1.0,-1.0,0.01292824145322391,-0.0011274766637445754,0.03331393501348168
11,1.0,-1.0,1.0,-1.0,0.013502123579874903,-0.0012392105939855735,0.036406969703834724
12,1.0,-1.0,1.0,-1.0,0.012849917599182636,-0.0013496332884055384,0.039429760121657664
13,1.0,-1.0,1.0,-1.0,0.013306325452751566,-0.0014599099218558509,0.04262929593984055
14,1.0,-1.0,1.0,-1.0,0.012622914861637136,-0.0015696010929514559,0.045910180619254004
15,1.0,-1.0,1.0,-1.0,0.013184307334774936,-0.0016813687189213278,0.04908350220438007
16,1.0,-1.0,1.0,-1.0,0.013051223263861655,-0.0017941147393508716,0.05220044758531184
17,1.0,-1.0,1.0,-1.0,0.012874490923140747,-0.0019057046437173097,0.055224547945969094
18,1.0,-1.0,1.0,-1.0,0.012984085854370497,-0.002015854155522301,0.0583094101177013
19,1.0,-1.0,1.0,-1.0,0.012822677169685326,-0.002124976728652417,0.06131325608450355
20,1.0,-1.0,1.0,-1.0,0.013062100359320206,-0.002235924123928368,0.06423282050513401
21,1.0,-1.0,1.0,-1.0,0.013202604599037882,-0.002346016625366376,0.06708996522930355
22,1.0,-1.0,1.0,-1.0,0.013071655074544886,-0.00245564239203111,0.06987881715563338
23,1.0,-1.0,1.0,-1.0,0.012826988920058957,-0.0025643505361512275,0.07274055857847772
24,1.0,-1.0,1.0,-1.0,0.012885757145350452,-0.0026750550253160643,0.07573476001473045
25,1.0,-1.0,1.0,-1.0,0.01281264404342708,-0.0027856468838952653,0.07876392671131127
26,1.0,-1.0,1.0,-1.0,0.01261600862068335,-0.002895360826056792,0.08172276994534478
27,1.0,-1.0,1.0,-1.0,0.012786272886517569,-0.0030037112956986523,0.084747180492585
28,1.0,-1.0,1.0,-1.0,0.013162085018360914,-0.0031112697519898314,0.0877168944072857
29,1.0,-1.0,1.0,-1.0,0.01336688018469634,-0.0032208477287487547,0.09064630662692597
30,1.0,-1.0,1.0,-1.0,0.013597460223999769,-0.0033296409680668715,0.09354230211402081
31,1.0,-1.0,1.0,-1.0,0.013405214927117881,-0.00344014936221948,0.09642764441830254
32,1.0,-1.0,1.0,-1.0,0.013571622858559507,-0.003552305650232568,0.09942120628266149
33,1.0,-1.0,1.0,-1.0,0.013340261667697084,-0.0036640542476249482,0.10239462541791189
34,1.0,-1.0,1.0,-1.0,0.013129499582995141,-0.0037749978590131406,0.10530846440449992
35,1.0,-1.0,1.0,-1.0,0.013028512034945816,-0.0038861081807831654,0.10832345984391423
36,1.0,-1.0,1.0,-1.0,0.013310219126987377,-0.003998208397356984,0.11128039638943399
37,1.0,-1.0,1.0,-1.0,0.012795943676003563,-0.004111780949010657,0.11420347721930979
38,1.0,-1.0,1.0,-1.0,0.012792514574034075,-0.0042241854595170825,0.11724057913534602
39,1.0,-1.0,1.0,-1.0,0.012554561472705172,-0.004335975265389758,0.1203027867908888
40,1.0,-1.0,1.0,-1.0,0.012476128673072129,-0.004447075851538362,0.12345527579716298
41,1.0,-1.0,1.0,-1.0,0.012206063714117033,-0.004558882674495113,0.12655243449708908
42,1.0,-1.0,1.0,-1.0,0.012456205775874585,-0.004669626995538856,0.12973511079224287
43,1.0,-1.0,1.0,-1.0,0.012557619254931818,-0.004781255352307334,0.13288445883595934
44,1.0,-1.0,1.0,-1.0,0.012518024432470964,-0.004892790381879397,0.13598602659425896
45,1.0,-1.0,1.0,-1.0,0.012380536043719026,-0.005003611975560096,0.13911972222535585
