t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,-1.0,1.0,-1.0,2.0,-1.0,1.0
2,-1.0,1.0,0.0,0.0,1.0,0.33333333333333326,0.33333333333333326
3,-1.0,1.0,-0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,-0.16666666666666674
4,1.0,-1.0,0.0,0.0,1.0,0.5333333333333332,1.4333333333333333
5,1.0,-1.0,0.2,-0.2,0.8,-0.13333333333333353,2.7666666666666666
6,1.0,-1.0,0.3333333333333333,-0.3333333333333333,0.6666666666666667,-0.7047619047619049,3.9095238095238094
7,-1.0,1.0,0.14285714285714285,-0.14285714285714285,0.5714285714285714,0.7952380952380951,2.9095238095238094
8,-1.0,1.0,0.0,0.0,0.5,2.128571428571428,2.0206349206349206
9,-1.0,1.0,-0.1111111111111111,0.1111111111111111,0.4444444444444445,3.3285714285714283,1.2206349206349205
10,-1.0,1.0,-0.2,0.2,0.39999999999999997,4.419480519480519,0.4933621933621932
11,1.0,-1.0,-0.09090909090909091,0.09090909090909091,0.3636363636363636,3.419480519480519,1.8266955266955265
12,1.0,-1.0,0.0,0.0,0.33333333333333337,2.4964035964035958,3.057464757464757
13,1.0,-1.0,0.07692307692307693,-0.07692307692307693,0.30769230769230765,1.6392607392607386,4.2003219003218994
14,1.0,-1.0,0.14285714285714285,-0.14285714285714285,0.28571428571428575,0.8392607392607385,5.266988566988566
15,-1.0,1.0,0.06666666666666667,-0.06666666666666667,0.2666666666666666,2.0892607392607383,4.266988566988566
16,-1.0,1.0,0.0,0.0,0.25,3.2657313274960327,3.3258120964003304
17,-1.0,1.0,-0.058823529411764705,0.058823529411764705,0.23529411764705888,4.376842438607143,2.4369232075114415
18,-1.0,1.0,-0.1111111111111111,0.1111111111111111,0.22222222222222227,5.4294740175545115,1.5948179443535468
19,-1.0,1.0,-0.15789473684210525,0.15789473684210525,0.3157894736842105,6.4294740175545115,0.7948179443535468
20,1.0,-1.0,-0.1,0.1,0.3,5.477093065173559,2.0329131824487847
21,1.0,-1.0,-0.047619047619047616,0.047619047619047616,0.2857142857142857,4.56800215608265,3.2147313642669664
22,1.0,-1.0,0.0,0.0,0.2727272727272727,3.698436938691345,4.345166146875662
23,1.0,-1.0,0.043478260869565216,-0.043478260869565216,0.2608695652173913,2.865103605358012,5.428499480208995
24,1.0,-1.0,0.08333333333333333,-0.08333333333333333,0.25,2.0651036053580123,6.468499480208995
25,-1.0,1.0,0.04,-0.04,0.24,3.295872836127243,5.468499480208995
26,-1.0,1.0,0.0,0.0,0.23076923076923067,4.481058021312428,4.505536517246032
27,-1.0,1.0,-0.037037037037037035,0.037037037037037035,0.22222222222222232,5.623915164169571,3.576965088674603
28,-1.0,1.0,-0.07142857142857142,0.07142857142857142,0.21428571428571425,6.72736344003164,2.680413364536672
29,-1.0,1.0,-0.10344827586206896,0.10344827586206896,0.2068965517241379,7.794030106698306,1.8137466978700054
30,-1.0,1.0,-0.13333333333333333,0.13333333333333333,0.19999999999999996,8.826288171214436,0.9750370204506507
31,1.0,-1.0,-0.0967741935483871,0.0967741935483871,0.1935483870967742,7.826288171214436,2.1625370204506504
32,1.0,-1.0,-0.0625,0.0625,0.1875,6.856591201517467,3.314052171965802
33,1.0,-1.0,-0.030303030303030304,0.030303030303030304,0.18181818181818177,5.915414730929231,4.431699230789331
34,1.0,-1.0,0.0,0.0,0.17647058823529416,5.0011290166435165,5.517413516503616
35,1.0,-1.0,0.02857142857142857,-0.02857142857142857,0.17142857142857137,4.112240127754628,6.572969072059172
36,1.0,-1.0,0.05555555555555555,-0.05555555555555555,0.16666666666666669,3.247375262889763,7.599996099086199
37,-1.0,1.0,0.02702702702702703,-0.02702702702702703,0.16216216216216206,4.4052699997318685,6.599996099086199
38,-1.0,1.0,0.0,0.0,0.1578947368421053,5.533475127936997,5.625637124727224
39,-1.0,1.0,-0.02564102564102564,0.02564102564102564,0.15384615384615374,6.633475127936997,4.675637124727224
40,-1.0,1.0,-0.05,0.05,0.15000000000000008,7.706645859644314,3.7488078564345413
41,-1.0,1.0,-0.07317073170731707,0.07317073170731707,0.14634146341463422,8.754264907263362,2.8440459516726366
