t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,4.0,0.0,4.0,0.0,1.0,-1.5,2.5
2,4.0,0.0,4.0,0.0,1.0,-2.5,4.5
3,4.0,0.0,4.0,0.0,1.0,-3.25,6.25
4,4.0,0.0,4.0,0.0,1.0,-3.8499999999999996,7.85
5,4.0,0.0,4.0,0.0,1.0,-4.35,9.35
6,4.0,0.0,4.0,0.0,1.0,-4.7785714285714285,10.778571428571428
7,4.0,0.0,4.0,0.0,1.0,-5.1535714285714285,12.153571428571428
8,4.0,0.0,4.0,0.0,1.0,-5.486904761904762,13.486904761904762
9,4.0,0.0,4.0,0.0,1.0,-5.786904761904762,14.786904761904763
10,4.0,0.0,4.0,0.0,1.0,-6.059632034632035,16.059632034632035
11,4.0,0.0,4.0,0.0,1.0,-6.309632034632035,17.309632034632035
12,4.0,0.0,4.0,0.0,1.0,-6.540401265401265,18.540401265401265
13,4.0,0.0,4.0,0.0,1.0,-6.754686979686978,19.75468697968698
14,4.0,0.0,4.0,0.0,1.0,-6.9546869796869775,20.95468697968698
15,4.0,0.0,4.0,0.0,1.0,-7.1421869796869775,22.14218697968698
16,4.0,0.0,4.0,0.0,1.0,-7.318657567922272,23.318657567922273
17,4.0,0.0,4.0,0.0,1.0,-7.485324234588939,24.48532423458894
18,4.0,0.0,4.0,0.0,1.0,-7.643218971431044,25.643218971431047
19,4.0,0.0,4.0,0.0,1.0,-7.7932189714310445,26.793218971431045
20,4.0,0.0,4.0,0.0,1.0,-7.936076114288188,27.936076114288188
21,4.0,0.0,4.0,0.0,1.0,-8.072439750651824,29.072439750651824
22,4.0,0.0,4.0,0.0,1.0,-8.20287453326052,30.20287453326052
23,4.0,0.0,4.0,0.0,1.0,-8.32787453326052,31.32787453326052
24,4.0,0.0,4.0,0.0,1.0,-8.44787453326052,32.44787453326052
25,4.0,0.0,4.0,0.0,1.0,-8.563259148645136,33.56325914864513
26,4.0,0.0,4.0,0.0,1.0,-8.674370259756246,34.674370259756245
