t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,2.0,-2.0,2.0,-2.0,3.0,-1.5,2.0
2,-1.0,1.0,0.5,-0.5,1.5,0.5,1.3333333333333333
3,-1.0,1.0,0.0,0.0,1.3333333333333333,2.0,0.8333333333333333
4,-2.0,2.0,-0.5,0.5,1.75,4.0,-0.6666666666666667
5,-1.0,1.0,-0.6,0.6,1.8000000000000003,5.2,-1.0666666666666667
6,1.0,-1.0,-0.3333333333333333,0.3333333333333333,1.5000000000000002,4.533333333333333,0.6000000000000001
7,1.0,-1.0,-0.14285714285714285,0.14285714285714285,1.2857142857142856,3.961904761904762,2.0285714285714285
8,1.0,-1.0,0.0,0.0,1.125,3.461904761904762,3.2785714285714285
9,1.0,-1.0,0.1111111111111111,-0.1111111111111111,1.0,3.0174603174603174,4.389682539682539
10,1.0,-1.0,0.2,-0.2,0.8999999999999999,2.6174603174603175,5.389682539682539
11,-1.0,1.0,0.09090909090909091,-0.09090909090909091,0.6363636363636365,4.253823953823954,4.298773448773448
12,-1.0,1.0,0.0,0.0,0.5833333333333333,5.753823953823954,3.1321067821067814
13,1.0,-1.0,0.07692307692307693,-0.07692307692307693,0.5384615384615385,4.753823953823954,5.132106782106781
14,1.0,-1.0,0.14285714285714285,-0.14285714285714285,0.6428571428571428,4.003823953823954,6.632106782106781
15,-1.0,1.0,0.06666666666666667,-0.06666666666666667,0.6,5.388439338439339,5.478260628260628
16,-1.0,1.0,0.0,0.0,0.5625,6.674153624153624,4.406832056832057
17,1.0,-1.0,0.058823529411764705,-0.058823529411764705,0.7058823529411764,6.074153624153625,5.806832056832057
18,-2.0,2.0,-0.05555555555555555,0.05555555555555555,0.6666666666666666,8.574153624153624,4.473498723498723
19,-2.0,2.0,-0.15789473684210525,0.15789473684210525,0.631578947368421,10.717010767010766,3.3306415806415806
20,-2.0,2.0,-0.25,0.25,0.6,12.592010767010766,2.3306415806415806
21,2.0,-2.0,-0.14285714285714285,0.14285714285714285,0.5714285714285714,10.369788544788545,5.441752691752692
22,2.0,-2.0,-0.045454545454545456,0.045454545454545456,0.5,8.569788544788544,7.441752691752692
23,2.0,-2.0,0.043478260869565216,-0.043478260869565216,0.47826086956521746,6.569788544788544,10.24175269175269
24,2.0,-2.0,0.125,-0.125,0.45833333333333326,4.751606726606726,12.787207237207236
25,-2.0,2.0,0.04,-0.04,0.36,7.08494005994006,11.12054057054057
26,-2.0,2.0,-0.038461538461538464,0.038461538461538464,0.34615384615384615,9.238786213786213,9.505155955155955
27,-2.0,2.0,-0.1111111111111111,0.1111111111111111,0.3333333333333333,11.238786213786213,8.005155955155955
28,-2.0,2.0,-0.17857142857142858,0.17857142857142858,0.3214285714285714,13.10545288045288,6.605155955155954
29,-2.0,2.0,-0.2413793103448276,0.2413793103448276,0.4137931034482758,14.85545288045288,5.292655955155954
30,1.0,-1.0,-0.2,0.2,0.4,13.620158762805822,7.057361837508895
31,1.0,-1.0,-0.16129032258064516,0.16129032258064516,0.3870967741935484,12.453492096139156,8.724028504175562
32,1.0,-1.0,-0.125,0.125,0.375,11.34822893824442,10.302975872596615
33,1.0,-1.0,-0.09090909090909091,0.09090909090909091,0.36363636363636365,10.29822893824442,11.802975872596615
34,2.0,-2.0,-0.029411764705882353,0.029411764705882353,0.35294117647058826,8.61072893824442,13.677975872596615
35,2.0,-2.0,0.02857142857142857,-0.02857142857142857,0.42857142857142855,7.022493644126774,15.501505284361322
36,-1.0,1.0,0.0,0.0,0.41666666666666663,8.522493644126774,14.390394173250211
37,-1.0,1.0,-0.02702702702702703,0.02702702702702703,0.4054054054054054,9.943546275705721,13.337762594302843
38,-1.0,1.0,-0.05263157894736842,0.05263157894736842,0.39473684210526316,11.29354627570572,12.337762594302843
39,-1.0,1.0,-0.07692307692307693,0.07692307692307693,0.3846153846153847,12.579260561420007,11.38538164192189
40,-1.0,1.0,-0.1,0.1,0.42500000000000004,13.806533288692734,10.476290732830982
41,1.0,-1.0,-0.07317073170731707,0.07317073170731707,0.41463414634146345,13.02392459304056,11.606725515439678
42,1.0,-1.0,-0.047619047619047616,0.047619047619047616,0.40476190476190477,12.27392459304056,12.690058848773011
43,1.0,-1.0,-0.023255813953488372,0.023255813953488372,0.39534883720930236,11.55392459304056,13.730058848773012
44,1.0,-1.0,0.0,0.0,0.3863636363636364,10.861616900732868,14.730058848773012
45,1.0,-1.0,0.022222222222222223,-0.022222222222222223,0.37777777777777777,10.194950234066201,15.693021811735976
46,1.0,-1.0,0.043478260869565216,-0.043478260869565216,0.3695652173913043,9.55209309120906,16.621593240307405
47,1.0,-1.0,0.06382978723404255,-0.06382978723404255,0.3617021276595745,8.931403436036646,17.518144964445337
48,-1.0,1.0,0.041666666666666664,-0.041666666666666664,0.3125,10.331403436036647,16.384811631112004
49,-1.0,1.0,0.02040816326530612,-0.02040816326530612,0.2653061224489796,11.686242145714067,15.223521308531359
50,1.0,-1.0,0.04,-0.04,0.26,10.686242145714067,16.652092737102787
51,1.0,-1.0,0.058823529411764705,-0.058823529411764705,0.25490196078431376,9.731696691168612,18.01572910073915
52,1.0,-1.0,0.07692307692307693,-0.07692307692307693,0.3076923076923077,8.818653212907742,19.320076926826108
53,1.0,-1.0,0.09433962264150944,-0.09433962264150944,0.3584905660377359,7.943653212907742,20.65341026015944
54,1.0,-1.0,0.1111111111111111,-0.1111111111111111,0.40740740740740744,7.1036532129077425,22.05341026015944
55,-1.0,1.0,0.09090909090909091,-0.09090909090909091,0.4,8.416153212907743,20.86591026015944
