t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,-1.0,1.0,-1.0,0.00015750123249014258,-0.00011039721880701237,0.003447873531689516
2,1.0,-1.0,1.0,-1.0,0.00015185064582190488,-0.00021777524654043035,0.006696106964502513
3,1.0,-1.0,1.0,-1.0,0.0001514016265349305,-0.0003229222448127844,0.009766882531647592
4,1.0,-1.0,1.0,-1.0,0.00014740399479706845,-0.00042584510623810967,0.012678880008458071
5,1.0,-1.0,1.0,-1.0,0.00014459711515635298,-0.0005273580292358693,0.015447977203967178
6,1.0,-1.0,1.0,-1.0,0.0001436009803332805,-0.0006276554690000102,0.01808778366877517
7,1.0,-1.0,1.0,-1.0,0.00014025884769819363,-0.0007266289738704357,0.02061005310567321
8,1.0,-1.0,1.0,-1.0,0.00013506982865540973,-0.0008250586225184708,0.023025006125784064
9,1.0,-1.0,1.0,-1.0,0.00012774945464011367,-0.0009237496674072698,0.025341585763839714
10,1.0,-1.0,1.0,-1.0,0.00011739498936891302,-0.0010237033995839084,0.027567661890404493
11,1.0,-1.0,1.0,-1.0,0.0001183357900622628,-0.0011263350285819484,0.029710196314054915
12,1.0,-1.0,1.0,-1.0,0.00011959195913702203,-0.0012281318192817192,0.031775377309080755
13,1.0,-1.0,1.0,-1.0,0.00011912635174260444,-0.0013289688858904025,0.03376873012038395
14,1.0,-1.0,1.0,-1.0,0.00011707320862974768,-0.0014295065376244143,0.03569520841580698
15,1.0,-1.0,1.0,-1.0,0.00011316726183352444,-0.0015304434669716205,0.03755927049640906
16,1.0,-1.0,1.0,-1.0,0.00010671583657562156,-0.0016326682392536762,0.03936494321475914
17,1.0,-1.0,1.0,-1.0,0.00010541193246771385,-0.0017374576284457932,0.041115875905997745
18,1.0,-1.0,1.0,-1.0,0.00010239019422564333,-0.0018426566550110435,0.04281538614752589
19,1.0,-1.0,1.0,-1.0,9.700123663503035e-05,-0.001949126096525533,0.0444664987893264
20,1.0,-1.0,1.0,-1.0,9.409821994155187e-05,-0.002058109025148802,0.046071979408526476
21,1.0,-1.0,1.0,-1.0,9.711741101514626e-05,-0.0021685062439558145,0.047634363117492806
22,1.0,-1.0,1.0,-1.0,9.934844047643221e-05,-0.0022773570478226146,0.04915597947894068
23,1.0,-1.0,1.0,-1.0,0.00010157257732357206,-0.002385004151111647,0.05063897414273966
24,1.0,-1.0,1.0,-1.0,0.00010298251575102668,-0.002491403457830832,0.05208532770876906
25,1.0,-1.0,1.0,-1.0,0.00010419799898464532,-0.0025969546971055246,0.05349687223191757
26,1.0,-1.0,1.0,-1.0,0.00010552193387836084,-0.002701740927555374,0.05487530571427668
27,1.0,-1.0,1.0,-1.0,0.00010606579010097317,-0.0028056812645721463,0.05622220487207452
28,1.0,-1.0,1.0,-1.0,0.0001058043938599873,-0.0029092034962664437,0.05753903641808156
29,1.0,-1.0,1.0,-1.0,0.00010454170657236972,-0.003012772113621165,0.05882716706192448
30,1.0,-1.0,1.0,-1.0,0.00010186380975074627,-0.0031169884934020287,0.06008787239925506
31,1.0,-1.0,1.0,-1.0,0.00010269864804923756,-0.0032227263583235466,0.06132234483470411
32,1.0,-1.0,1.0,-1.0,0.00010365837214010298,-0.0033278958659281876,0.062531700661969
33,1.0,-1.0,1.0,-1.0,0.00010395778701499658,-0.003432409914151613,0.06371698640639056
34,1.0,-1.0,1.0,-1.0,0.00010355850940158007,-0.0035366681572338576,0.06487918452032981
35,1.0,-1.0,1.0,-1.0,0.00010227066646673055,-0.00364110889749214,0.06601921850900616
