t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
2,0.0,1.0,0.0,0.5,0.3333333333333333,0.8333333333333333,-0.16666666666666669
3,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,1.2333333333333334,-0.5666666666666667
4,0.0,1.0,0.0,0.75,0.3333333333333333,1.7333333333333334,-0.9
5,0.0,1.0,0.0,0.8,0.3333333333333333,2.3047619047619046,-1.1857142857142857
6,0.0,1.0,0.0,0.8333333333333334,0.3333333333333333,2.9297619047619046,-1.4357142857142857
7,0.0,1.0,0.0,0.8571428571428571,0.3333333333333333,3.596428571428571,-1.6579365079365078
8,0.0,1.0,0.0,0.875,0.3333333333333333,4.296428571428571,-1.8579365079365078
9,0.0,1.0,0.0,0.8888888888888888,0.3333333333333333,5.023701298701298,-2.0397546897546897
10,0.0,1.0,0.0,0.9,0.3333333333333333,5.773701298701298,-2.206421356421356
11,0.0,1.0,0.0,0.9090909090909091,0.3333333333333333,6.5429320679320675,-2.36026751026751
12,0.0,1.0,0.0,0.9166666666666666,0.3333333333333333,7.328646353646353,-2.5031246531246527
13,0.0,1.0,0.0,0.9230769230769231,0.3333333333333333,8.128646353646353,-2.636457986457986
14,0.0,1.0,0.0,0.9285714285714286,0.3333333333333333,8.941146353646353,-2.761457986457986
15,0.0,1.0,0.0,0.9333333333333333,0.3333333333333333,9.76467576541106,-2.8791050452815155
16,0.0,1.0,0.0,0.9375,0.3333333333333333,10.598009098744393,-2.9902161563926266
17,0.0,1.0,0.0,0.9411764705882353,0.3333333333333333,11.440114361902289,-3.0954793142873633
18,0.0,1.0,0.0,0.9444444444444444,0.3333333333333333,12.290114361902289,-3.1954793142873634
19,0.0,1.0,0.0,0.9473684210526315,0.3333333333333333,13.147257219045146,-3.2907174095254588
20,0.0,1.0,0.0,0.95,0.3333333333333333,14.01089358268151,-3.3816265004345496
21,0.0,1.0,0.0,0.9523809523809523,0.3333333333333333,14.880458800072814,-3.46858302217368
22,0.0,1.0,0.0,0.9545454545454546,0.3333333333333333,15.755458800072814,-3.5519163555070135
23,0.0,1.0,0.0,0.9565217391304348,0.3333333333333333,16.635458800072815,-3.6319163555070135
24,0.0,1.0,0.0,0.9583333333333334,0.3333333333333333,17.520074184688198,-3.70883943243009
25,0.0,1.0,0.0,0.96,0.3333333333333333,18.408963073577087,-3.782913506504164
26,0.0,1.0,0.0,0.9615384615384616,0.3333333333333333,19.30182021643423,-3.8543420779327358
27,0.0,1.0,0.0,0.9629629629629629,0.3333333333333333,20.198371940572162,-3.923307595174115
28,0.0,1.0,0.0,0.9642857142857143,0.3333333333333333,21.09837194057216,-3.989974261840782
29,0.0,1.0,0.0,0.9655172413793104,0.3333333333333333,22.001597747023773,-4.05449039087304
30,0.0,1.0,0.0,0.9666666666666667,0.3333333333333333,22.907847747023773,-4.11699039087304
