t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,-1.0,1.0,-1.0,2.0,-1.0,1.0
2,-1.0,1.0,0.0,0.0,1.0,0.33333333333333326,0.33333333333333326
3,1.0,-1.0,0.3333333333333333,-0.3333333333333333,0.6666666666666666,-0.6666666666666667,1.8333333333333333
4,1.0,-1.0,0.5,-0.5,0.5,-1.4666666666666668,3.033333333333333
5,-1.0,1.0,0.2,-0.2,0.3999999999999999,-0.13333333333333353,2.033333333333333
6,-1.0,1.0,0.0,0.0,0.3333333333333333,1.0095238095238093,1.176190476190476
7,1.0,-1.0,0.14285714285714285,-0.14285714285714285,0.2857142857142857,0.009523809523809268,2.426190476190476
8,1.0,-1.0,0.25,-0.25,0.25,-0.8793650793650796,3.537301587301587
9,1.0,-1.0,0.3333333333333333,-0.3333333333333333,0.4444444444444445,-1.6793650793650796,4.537301587301587
10,-1.0,1.0,0.2,-0.2,0.3999999999999999,-0.4066378066378069,3.628210678210678
11,-1.0,1.0,0.09090909090909091,-0.09090909090909091,0.3636363636363636,0.7600288600288598,2.794877344877345
12,-1.0,1.0,0.0,0.0,0.3333333333333333,1.8369519369519367,2.025646575646576
13,1.0,-1.0,0.07692307692307693,-0.07692307692307693,0.30769230769230765,0.8369519369519367,3.3113608613608614
14,1.0,-1.0,0.14285714285714285,-0.14285714285714285,0.2857142857142857,-0.09638139638139664,4.511360861360862
15,1.0,-1.0,0.2,-0.2,0.2666666666666666,-0.9713813963813966,5.636360861360862
16,1.0,-1.0,0.25,-0.25,0.25,-1.7949108081461025,6.695184390772626
17,-1.0,1.0,0.17647058823529413,-0.17647058823529413,0.23529411764705888,-0.5726885859238802,5.695184390772626
18,-1.0,1.0,0.1111111111111111,-0.1111111111111111,0.22222222222222232,0.5852061509182251,4.747815969719994
19,-1.0,1.0,0.05263157894736842,-0.05263157894736842,0.21052631578947373,1.6852061509182252,3.8478159697199943
20,-1.0,1.0,0.0,0.0,0.19999999999999996,2.732825198537273,2.990673112577137
21,1.0,-1.0,0.047619047619047616,-0.047619047619047616,0.19047619047619052,1.732825198537273,4.172491294395319
22,1.0,-1.0,0.09090909090909091,-0.09090909090909091,0.18181818181818177,0.7763034594068381,5.302926077004014
23,1.0,-1.0,0.13043478260869565,-0.13043478260869565,0.1739130434782608,-0.14036320725982865,6.386259410337347
24,1.0,-1.0,0.16666666666666666,-0.16666666666666666,0.16666666666666669,-1.0203632072598285,7.426259410337347
25,1.0,-1.0,0.2,-0.2,0.24,-1.8665170534136748,8.426259410337348
26,-1.0,1.0,0.15384615384615385,-0.15384615384615385,0.23076923076923067,-0.6813318682284897,7.463296447374385
27,-1.0,1.0,0.1111111111111111,-0.1111111111111111,0.22222222222222232,0.4615252746286531,6.534725018802956
28,-1.0,1.0,0.07142857142857142,-0.07142857142857142,0.21428571428571425,1.564973550490722,5.638173294665025
29,-1.0,1.0,0.034482758620689655,-0.034482758620689655,0.2068965517241379,2.631640217157389,4.771506627998358
30,-1.0,1.0,0.0,0.0,0.19999999999999996,3.663898281673518,3.932796950579003
31,1.0,-1.0,0.03225806451612903,-0.03225806451612903,0.1935483870967742,2.663898281673518,5.120296950579003
32,1.0,-1.0,0.0625,-0.0625,0.1875,1.6942013119765482,6.271812102094154
33,1.0,-1.0,0.09090909090909091,-0.09090909090909091,0.18181818181818177,0.7530248413883129,7.389459160917683
34,1.0,-1.0,0.11764705882352941,-0.11764705882352941,0.17647058823529416,-0.16126087289740143,8.475173446631969
35,1.0,-1.0,0.14285714285714285,-0.14285714285714285,0.17142857142857137,-1.0501497617862903,9.530729002187524
36,1.0,-1.0,0.16666666666666666,-0.16666666666666666,0.16666666666666669,-1.9150146266511552,10.55775602921455
37,-1.0,1.0,0.13513513513513514,-0.13513513513513514,0.16216216216216206,-0.7571198898090499,9.55775602921455
38,-1.0,1.0,0.10526315789473684,-0.10526315789473684,0.1578947368421053,0.3710852383960783,8.583397054855576
39,-1.0,1.0,0.07692307692307693,-0.07692307692307693,0.15384615384615374,1.4710852383960784,7.633397054855576
40,-1.0,1.0,0.05,-0.05,0.15000000000000008,2.5442559701033955,6.706567786562893
