t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,0.0,4.0,0.0,4.0,1.0,2.5,-1.5
2,0.0,4.0,0.0,4.0,1.0,4.5,-2.5
3,0.0,4.0,0.0,4.0,1.0,6.25,-3.25
4,0.0,4.0,0.0,4.0,1.0,7.85,-3.8499999999999996
5,0.0,4.0,0.0,4.0,1.0,9.35,-4.35
6,0.0,4.0,0.0,4.0,1.0,10.778571428571428,-4.7785714285714285
7,0.0,4.0,0.0,4.0,1.0,12.153571428571428,-5.1535714285714285
8,0.0,4.0,0.0,4.0,1.0,13.486904761904762,-5.486904761904762
9,0.0,4.0,0.0,4.0,1.0,14.786904761904763,-5.786904761904762
10,0.0,4.0,0.0,4.0,1.0,16.059632034632035,-6.059632034632035
11,0.0,4.0,0.0,4.0,1.0,17.309632034632035,-6.309632034632035
12,0.0,4.0,0.0,4.0,1.0,18.540401265401265,-6.540401265401265
13,0.0,4.0,0.0,4.0,1.0,19.75468697968698,-6.754686979686978
14,0.0,4.0,0.0,4.0,1.0,20.95468697968698,-6.9546869796869775
15,0.0,4.0,0.0,4.0,1.0,22.14218697968698,-7.1421869796869775
16,0.0,4.0,0.0,4.0,1.0,23.318657567922273,-7.318657567922272
17,0.0,4.0,0.0,4.0,1.0,24.48532423458894,-7.485324234588939
18,0.0,4.0,0.0,4.0,1.0,25.643218971431047,-7.643218971431044
19,0.0,4.0,0.0,4.0,1.0,26.793218971431045,-7.7932189714310445
20,0.0,4.0,0.0,4.0,1.0,27.936076114288188,-7.936076114288188
21,0.0,4.0,0.0,4.0,1.0,29.072439750651824,-8.072439750651824
22,0.0,4.0,0.0,4.0,1.0,30.20287453326052,-8.20287453326052
23,0.0,4.0,0.0,4.0,1.0,31.32787453326052,-8.32787453326052
24,0.0,4.0,0.0,4.0,1.0,32.44787453326052,-8.44787453326052
25,0.0,4.0,0.0,4.0,1.0,33.56325914864513,-8.563259148645136
26,0.0,4.0,0.0,4.0,1.0,34.674370259756245,-8.674370259756246
27,0.0,4.0,0.0,4.0,1.0,35.7815131168991,-8.781513116899104
28,0.0,4.0,0.0,4.0,1.0,36.88496139276117,-8.884961392761173
29,0.0,4.0,0.0,4.0,1.0,37.98496139276117,-8.984961392761173
30,0.0,4.0,0.0,4.0,1.0,39.081735586309556,-9.08173558630956
31,0.0,4.0,0.0,4.0,1.0,40.175485586309556,-9.17548558630956
32,0.0,4.0,0.0,4.0,1.0,41.26639467721865,-9.26639467721865
33,0.0,4.0,0.0,4.0,1.0,42.354629971336294,-9.354629971336296
34,0.0,4.0,0.0,4.0,1.0,43.44034425705058,-9.440344257050581
35,0.0,4.0,0.0,4.0,1.0,44.52367759038392,-9.523677590383915
36,0.0,4.0,0.0,4.0,1.0,45.604758671465,-9.604758671464996
37,0.0,4.0,0.0,4.0,1.0,46.683706039886054,-9.683706039886049
38,0.0,4.0,0.0,4.0,1.0,47.760629116809135,-9.760629116809126
39,0.0,4.0,0.0,4.0,1.0,48.83562911680914,-9.835629116809127
40,0.0,4.0,0.0,4.0,1.0,49.90879984851645,-9.908799848516445
41,0.0,4.0,0.0,4.0,1.0,50.98022841994502,-9.980228419945016
42,0.0,4.0,0.0,4.0,1.0,52.049995861805485,-10.049995861805481
43,0.0,4.0,0.0,4.0,1.0,53.118177679987305,-10.1181776799873
44,0.0,4.0,0.0,4.0,1.0,54.184844346653975,-10.184844346653966
45,0.0,4.0,0.0,4.0,1.0,55.250061737958326,-10.250061737958314
46,0.0,4.0,0.0,4.0,1.0,56.31389152519237,-10.313891525192357
47,0.0,4.0,0.0,4.0,1.0,57.37639152519237,-10.376391525192357
48,0.0,4.0,0.0,4.0,1.0,58.437616014988286,-10.437616014988276
49,0.0,4.0,0.0,4.0,1.0,59.49761601498829,-10.497616014988276
50,0.0,4.0,0.0,4.0,1.0,60.55643954440006,-10.55643954440004
51,0.0,4.0,0.0,4.0,1.0,61.61413185209236,-10.614131852092349
52,0.0,4.0,0.0,4.0,1.0,62.67073562567727,-10.670735625677255
53,0.0,4.0,0.0,4.0,1.0,63.726291181232824,-10.72629118123281
54,0.0,4.0,0.0,4.0,1.0,64.78083663577827,-10.780836635778265
55,0.0,4.0,0.0,4.0,1.0,65.8344080643497,-10.834408064349693
56,0.0,4.0,0.0,4.0,1.0,66.88703964329707,-10.887039643297062
57,0.0,4.0,0.0,4.0,1.0,67.9387637812281,-10.938763781228097
58,0.0,4.0,0.0,4.0,1.0,68.98961123885522,-10.989611238855215
59,0.0,4.0,0.0,4.0,1.0,70.03961123885522,-11.039611238855215
60,0.0,4.0,0.0,4.0,1.0,71.08879156672407,-11.088791566724069
61,0.0,4.0,0.0,4.0,1.0,72.13717866349826,-11.137178663498263
62,0.0,4.0,0.0,4.0,1.0,73.18479771111731,-11.18479771111731
63,0.0,4.0,0.0,4.0,1.0,74.23167271111731,-11.23167271111731
64,0.0,4.0,0.0,4.0,1.0,75.27782655727115,-11.277826557271156
65,0.0,4.0,0.0,4.0,1.0,76.3232811027257,-11.323281102725701
