t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,-1.0,1.0,-1.0,0.0019738121588162016,-0.00011039721880701237,0.003447873531689516
2,1.0,-1.0,1.0,-1.0,0.0019738121588162016,-0.00021810846770842218,0.006763309757517266
3,1.0,-1.0,1.0,-1.0,0.0019738121588162016,-0.00032337792578640556,0.009961023933690138
4,1.0,-1.0,1.0,-1.0,0.0019738121588162016,-0.0004264179226778353,0.013053407854908494
5,1.0,-1.0,1.0,-1.0,0.0019738121588162016,-0.0005274142468149057,0.016050994546667585
6,1.0,-1.0,1.0,-1.0,0.0019738121588162016,-0.0006265303920179877,0.01896281231653507
7,1.0,-1.0,1.0,-1.0,0.0019738121588162016,-0.0007239109874358496,0.021796658339228503
8,1.0,-1.0,1.0,-1.0,0.0019738121588162016,-0.0008196845923119644,0.024559312766676333
9,1.0,-1.0,1.0,-1.0,0.0019738121588162016,-0.0009139659916848064,0.027256708231815474
10,1.0,-1.0,1.0,-1.0,0.0019738121588162016,-0.0010068580962789841,0.029894065451630203
11,1.0,-1.0,1.0,-1.0,0.001972440114418217,-0.0010984535257462236,0.03248422615569535
12,1.0,-1.0,1.0,-1.0,0.0019712967440865814,-0.001189322791010139,0.03503292889568099
13,1.0,-1.0,1.0,-1.0,0.0019703292768828984,-0.0012795112773335005,0.03754313495473627
14,1.0,-1.0,1.0,-1.0,0.0019695000192796464,-0.0013690602440460387,0.040017499276373214
15,1.0,-1.0,1.0,-1.0,0.001968781329356739,-0.0014580073099482727,0.04245841130975336
16,1.0,-1.0,1.0,-1.0,0.0019681524756743896,-0.0015463868693724736,0.04486802926702216
17,1.0,-1.0,1.0,-1.0,0.0019675976047781596,-0.0016342304504560756,0.04724830902793631
18,1.0,-1.0,1.0,-1.0,0.001967104386203622,-0.0017215670250012582,0.0496010286650026
19,1.0,-1.0,1.0,-1.0,0.0019666630853738543,-0.0018084232775629205,0.051927809361976496
20,1.0,-1.0,1.0,-1.0,0.001966265914627119,-0.001894823840037474,0.05423013334400628
21,1.0,-1.0,1.0,-1.0,0.0019659065696657763,-0.0019807914969292018,0.05650935931747747
22,1.0,-1.0,1.0,-1.0,0.001965579892428071,-0.002066347365583865,0.058766735823393534
23,1.0,-1.0,1.0,-1.0,0.0019652816219067892,-0.0021515110549649163,0.06100341283373101
24,1.0,-1.0,1.0,-1.0,0.0019650082072624198,-0.002236300805969038,0.06322045186108338
25,1.0,-1.0,1.0,-1.0,0.0019647566657892135,-0.0023207336157947678,0.06541883480460009
26,1.0,-1.0,1.0,-1.0,0.0019636832414845484,-0.0024048253484948434,0.06760123478432423
27,1.0,-1.0,1.0,-1.0,0.0019626893300910275,-0.0024890663125654022,0.06977263723170735
28,1.0,-1.0,1.0,-1.0,0.0019617664123686707,-0.0025734501577353575,0.07193355365988208
29,1.0,-1.0,1.0,-1.0,0.0019609071441443193,-0.002657970930625586,0.07408446070608499
