t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,3.0,3.0,3.0,3.0,2.0,-0.5,-0.5
2,3.0,3.0,3.0,3.0,2.0,-0.5,-0.5
3,3.0,3.0,3.0,3.0,2.0,-0.25,-0.25
4,3.0,3.0,3.0,3.0,2.0,0.15000000000000036,0.15000000000000036
5,3.0,3.0,3.0,3.0,2.0,0.6500000000000004,0.6500000000000004
6,3.0,3.0,3.0,3.0,2.0,1.2214285714285715,1.2214285714285715
7,3.0,3.0,3.0,3.0,2.0,1.8464285714285715,1.8464285714285715
8,3.0,3.0,3.0,3.0,2.0,2.513095238095238,2.513095238095238
9,3.0,3.0,3.0,3.0,2.0,3.2130952380952382,3.2130952380952382
10,3.0,3.0,3.0,3.0,2.0,3.9403679653679653,3.9403679653679653
11,3.0,3.0,3.0,3.0,2.0,4.690367965367965,4.690367965367965
12,3.0,3.0,3.0,3.0,2.0,5.459598734598735,5.459598734598735
13,3.0,3.0,3.0,3.0,2.0,6.245313020313022,6.245313020313022
14,4.0,0.0,3.0714285714285716,2.7857142857142856,1.9285714285714293,6.0453130203130225,10.045313020313023
15,3.0,3.0,3.066666666666667,2.8,1.933333333333334,6.8578130203130225,10.670313020313023
16,3.0,3.0,3.0625,2.8125,1.9375,7.681342432077728,11.317371843842434
17,3.0,3.0,3.0588235294117645,2.823529411764706,1.9411764705882355,8.514675765411061,11.9840385105091
18,3.0,3.0,3.0555555555555554,2.8333333333333335,1.9444444444444446,9.356781028568957,12.66824903682489
19,3.0,3.0,3.0526315789473686,2.8421052631578947,1.9473684210526319,10.206781028568956,13.368249036824889
20,3.0,3.0,3.05,2.85,1.9500000000000002,11.063923885711812,14.082534751110604
21,3.0,3.0,3.0476190476190474,2.857142857142857,1.9523809523809526,11.927560249348176,14.80980747838333
22,4.0,0.0,3.090909090909091,2.727272727272727,1.9090909090909092,11.79712546673948,18.54893791316594
23,3.0,3.0,3.0869565217391304,2.739130434782609,1.91304347826087,12.67212546673948,19.17393791316594
24,3.0,3.0,3.0833333333333335,2.75,1.9166666666666665,13.55212546673948,19.81393791316594
25,0.0,4.0,2.96,2.8,1.8800000000000003,17.436740851354863,19.467784067012094
26,3.0,3.0,2.9615384615384617,2.8076923076923075,1.884615384615385,18.21451862913264,20.13445073367876
27,3.0,3.0,2.962962962962963,2.814814814814815,1.8888888888888893,19.000232914846926,20.813022162250192
28,3.0,3.0,2.9642857142857144,2.8214285714285716,1.8928571428571437,19.793336363122787,21.502677334663986
29,3.0,3.0,2.9655172413793105,2.8275862068965516,1.8965517241379306,20.593336363122788,22.202677334663985
30,3.0,3.0,2.966666666666667,2.8333333333333335,1.9000000000000008,21.399787976026012,22.912354754018825
31,3.0,3.0,2.967741935483871,2.838709677419355,1.903225806451613,22.212287976026012,23.631104754018825
32,3.0,3.0,2.96875,2.84375,1.90625,23.030469794207832,24.35837748129155
33,3.0,3.0,2.9696969696969697,2.8484848484848486,1.9090909090909092,23.85399920597254,25.09367159893861
34,3.0,3.0,2.9705882352941178,2.8529411764705883,1.9117647058823533,24.682570634543968,25.836528741795753
35,3.0,3.0,2.9714285714285715,2.857142857142857,1.9142857142857146,25.5159039678773,26.586528741795753
36,3.0,3.0,2.9722222222222223,2.861111111111111,1.916666666666667,26.35374180571514,27.34328549855251
37,3.0,3.0,2.972972972972973,2.864864864864865,1.9189189189189193,27.195847068873032,28.106443393289354
38,3.0,3.0,2.973684210526316,2.8684210526315788,1.9210526315789478,28.04200091502688,28.875674162520124
39,3.0,3.0,2.9743589743589745,2.871794871794872,1.9230769230769234,28.892000915026877,29.650674162520126
40,0.0,4.0,2.9,2.9,1.9000000000000004,32.74565945161224,29.431161967398175
41,3.0,3.0,2.902439024390244,2.902439024390244,1.9024390243902443,33.531373737326525,30.21687625311246
42,3.0,3.0,2.9047619047619047,2.9047619047619047,1.904761904761905,34.32207141174513,31.007573927531066
43,3.0,3.0,2.9069767441860463,2.9069767441860463,1.9069767441860463,35.117525957199675,31.803028472985613
44,0.0,4.0,2.840909090909091,2.9318181818181817,1.8863636363636367,38.91752595719967,31.603028472985613
45,3.0,3.0,2.8444444444444446,2.933333333333333,1.8888888888888897,39.65665639198228,32.40737629907257
46,3.0,3.0,2.847826086956522,2.9347826086956523,1.8913043478260865,40.401337243046115,33.21588693737044
47,3.0,3.0,2.851063829787234,2.9361702127659575,1.893617021276596,41.151337243046115,34.02838693737044
48,3.0,3.0,2.8541666666666665,2.9375,1.8958333333333335,41.90643928386244,34.844713467982686
49,3.0,3.0,2.857142857142857,2.938775510204082,1.897959183673469,42.66643928386244,35.664713467982686
50,3.0,3.0,2.86,2.94,1.9,43.43114516621538,36.48824287974739
51,3.0,3.0,2.8627450980392157,2.9411764705882355,1.9019607843137258,44.20037593544615,37.31516595667047
52,3.0,3.0,2.8653846153846154,2.9423076923076925,1.9038461538461533,44.973960841106525,38.14535463591575
53,3.0,3.0,2.8679245283018866,2.943396226415094,1.9056603773584908,45.7517386188843,38.97868796924909
54,3.0,3.0,2.8703703703703702,2.9444444444444446,1.907407407407407,46.533556800702485,39.81505160561272
55,4.0,0.0,2.890909090909091,2.890909090909091,1.8909090909090907,46.31927108641677,43.65433731989844
56,3.0,3.0,2.892857142857143,2.892857142857143,1.8928571428571423,47.1087447706273,44.443811004108966
57,3.0,3.0,2.8947368421052633,2.8947368421052633,1.8947368421052637,47.90184821890316,45.23691445238483
58,4.0,0.0,2.913793103448276,2.8448275862068964,1.8793103448275859,47.698458388394684,49.03352462187635
59,3.0,3.0,2.9152542372881354,2.847457627118644,1.8813559322033901,48.49845838839468,49.78352462187635
60,3.0,3.0,2.9166666666666665,2.85,1.8833333333333337,49.301737076919274,50.53762298253209
61,3.0,3.0,2.918032786885246,2.8524590163934427,1.885245901639344,50.1081886898225,51.295687498661124
62,3.0,3.0,2.9193548387096775,2.8548387096774195,1.8870967741935485,50.91771249934631,52.05759226056588
63,3.0,3.0,2.9206349206349205,2.857142857142857,1.8888888888888893,51.73021249934631,52.82321726056588
64,3.0,3.0,2.921875,2.859375,1.890625,52.545597114730924,53.59244802979665
65,3.0,3.0,2.923076923076923,2.8615384615384616,1.8923076923076922,53.363778932912744,54.36517530252392
66,3.0,3.0,2.9242424242424243,2.8636363636363638,1.8939393939393936,54.18467445530081,55.141294705509
67,3.0,3.0,2.925373134328358,2.8656716417910446,1.8955223880597014,55.00820386706551,55.92070647021488
68,3.0,3.0,2.926470588235294,2.8676470588235294,1.8970588235294117,55.83429082358725,56.70331516586705
69,3.0,3.0,2.927536231884058,2.869565217391304,1.8985507246376812,56.66286225215868,57.48902945158134
70,3.0,3.0,2.9285714285714284,2.8714285714285714,1.9,57.49384816765164,58.27776184594754
71,3.0,3.0,2.9295774647887325,2.8732394366197185,1.901408450704225,58.32718150098498,59.0694285126142
72,3.0,3.0,2.9305555555555554,2.875,1.9027777777777777,59.16279793934114,59.863949060559406
73,3.0,3.0,2.9315068493150687,2.8767123287671232,1.9041095890410964,60.00063577717898,60.661246357856704
74,3.0,3.0,2.9324324324324325,2.8783783783783785,1.9054054054054048,60.840635777178974,61.4612463578567
75,3.0,3.0,2.933333333333333,2.88,1.9066666666666667,61.68274104033687,62.26387793680407
76,3.0,3.0,2.9342105263157894,2.8815789473684212,1.9078947368421053,62.526896884492714,63.06907274199888
77,3.0,3.0,2.935064935064935,2.883116883116883,1.9090909090909087,63.37305073064656,63.87676504969119
78,3.0,3.0,2.9358974358974357,2.8846153846153846,1.9102564102564101,64.22115199646935,64.68689163196967
79,3.0,3.0,2.9367088607594938,2.8860759493670884,1.9113924050632902,65.07115199646934,65.49939163196967
80,3.0,3.0,2.9375,2.8875,1.9125,65.92300384832119,66.31420644678448
81,3.0,3.0,2.9382716049382718,2.888888888888889,1.9135802469135803,66.77666238490656,67.13127961751618
82,3.0,3.0,2.9390243902439024,2.8902439024390243,1.9146341463414633,67.63208407165355,67.95055672594992
83,3.0,3.0,2.9397590361445785,2.891566265060241,1.9156626506024095,68.48922692879641,68.77198529737849
84,3.0,3.0,2.9404761904761907,2.892857142857143,1.916666666666667,69.34805045820818,69.5955147091432
85,3.0,3.0,2.9411764705882355,2.8941176470588235,1.9176470588235297,70.20851557448725,70.42109610449204
86,3.0,3.0,2.941860465116279,2.895348837209302,1.9186046511627906,71.07058454000449,71.24868231138859
87,3.0,3.0,2.942528735632184,2.896551724137931,1.9195402298850577,71.93422090364085,72.07822776593405
88,4.0,0.0,2.9545454545454546,2.8636363636363638,1.9090909090909092,71.79938944296669,75.90968844009134
89,3.0,3.0,2.955056179775281,2.865168539325843,1.910112359550562,72.66605610963335,76.70968844009134
90,3.0,3.0,2.9555555555555557,2.8666666666666667,1.911111111111111,73.53418797776521,77.51188624228914
91,3.0,3.0,2.956043956043956,2.868131868131868,1.9120879120879124,74.40375319515653,78.31623406837609
92,3.0,3.0,2.9565217391304346,2.869565217391304,1.9130434782608692,75.27472093709201,79.12268568127932
93,3.0,3.0,2.956989247311828,2.870967741935484,1.913978494623656,76.14706136262393,79.9311963195772
94,3.0,3.0,2.9574468085106385,2.872340425531915,1.9148936170212765,77.02074557315025,80.74172263536667
95,3.0,3.0,2.957894736842105,2.873684210526316,1.9157894736842107,77.89574557315025,81.55422263536667
96,3.0,3.0,2.9583333333333335,2.875,1.9166666666666665,78.77203423294407,82.36865562505739
97,3.0,3.0,2.9587628865979383,2.8762886597938144,1.9175257731958766,79.64958525335223,83.18498215566963
98,3.0,3.0,2.9591836734693877,2.877551020408163,1.9183673469387759,80.5283731321401,84.00316397385144
99,3.0,3.0,2.95959595959596,2.878787878787879,1.9191919191919191,81.4083731321401,84.82316397385144
100,3.0,3.0,2.96,2.88,1.92,82.28956125095198,85.64494615206925
101,3.0,3.0,2.9603960396039604,2.881188118811881,1.9207920792079207,83.17191419212844,86.46847556383396
102,4.0,0.0,2.9705882352941178,2.8529411764705883,1.9117647058823533,83.05540933775951,90.29371828228057
103,3.0,3.0,2.970873786407767,2.854368932038835,1.912621359223301,83.9400247223749,91.09179520535749
104,3.0,3.0,2.9711538461538463,2.855769230769231,1.9134615384615388,84.82573900808919,91.89179520535748
105,3.0,3.0,2.9714285714285715,2.857142857142857,1.9142857142857146,85.71253146091938,92.69368199781032
106,3.0,3.0,2.9716981132075473,2.858490566037736,1.9150943396226423,86.6003819282091,93.49742031556733
107,3.0,3.0,2.97196261682243,2.8598130841121496,1.91588785046729,87.48927081709799,94.30297587112288
108,3.0,3.0,2.9722222222222223,2.861111111111111,1.916666666666667,88.37917907397872,95.11031532066417
