action_p1,action_p1_label,action_p2,action_p2_label,prob
0,0,0,0,0.0162
0,0,1,1,0.016
0,0,2,2,0.0182
0,0,3,3,0.0166
0,0,4,4,0.0146
0,0,5,5,0.016
0,0,6,6,0.0156
0,0,7,7,0.0166
0,0,8,8,0.0164
0,0,9,9,0.0164
0,0,10,10,0.0168
0,0,11,11,0.0174
0,0,12,12,0.016
0,0,13,13,0.0178
0,0,14,14,0.0158
0,0,15,15,0.0182
0,0,16,16,0.0166
0,0,17,17,0.015
0,0,18,18,0.017
0,0,19,19,0.0182
1,1,0,0,0.0
1,1,1,1,0.0
1,1,2,2,0.0
1,1,3,3,0.0004
1,1,4,4,0.0002
1,1,5,5,0.0006
1,1,6,6,0.0002
1,1,7,7,0.0006
1,1,8,8,0.0002
1,1,9,9,0.0002
1,1,10,10,0.0004
1,1,11,11,0.0002
1,1,12,12,0.0
1,1,13,13,0.0002
1,1,14,14,0.0004
1,1,15,15,0.0
1,1,16,16,0.0002
1,1,17,17,0.001
1,1,18,18,0.0002
1,1,19,19,0.0
2,2,0,0,0.0016
2,2,1,1,0.0014
2,2,2,2,0.0014
2,2,3,3,0.001
2,2,4,4,0.0012
2,2,5,5,0.0014
2,2,6,6,0.0014
2,2,7,7,0.0012
2,2,8,8,0.0018
2,2,9,9,0.0012
2,2,10,10,0.0034
2,2,11,11,0.0008
2,2,12,12,0.0008
2,2,13,13,0.0014
2,2,14,14,0.0014
2,2,15,15,0.001
2,2,16,16,0.0014
2,2,17,17,0.0012
2,2,18,18,0.0014
2,2,19,19,0.0012
3,3,0,0,0.0076
3,3,1,1,0.0088
3,3,2,2,0.0076
3,3,3,3,0.0102
3,3,4,4,0.0076
3,3,5,5,0.0074
3,3,6,6,0.0078
3,3,7,7,0.007
3,3,8,8,0.0068
3,3,9,9,0.0096
3,3,10,10,0.007
3,3,11,11,0.0086
3,3,12,12,0.0078
3,3,13,13,0.0074
3,3,14,14,0.0066
3,3,15,15,0.008
3,3,16,16,0.007
3,3,17,17,0.0084
3,3,18,18,0.0096
3,3,19,19,0.0104
4,4,0,0,0.0054
4,4,1,1,0.0044
4,4,2,2,0.0038
4,4,3,3,0.0034
4,4,4,4,0.0042
4,4,5,5,0.0038
4,4,6,6,0.005
4,4,7,7,0.004
4,4,8,8,0.0036
4,4,9,9,0.0036
4,4,10,10,0.004
4,4,11,11,0.0034
4,4,12,12,0.0038
4,4,13,13,0.003
4,4,14,14,0.0038
4,4,15,15,0.0042
4,4,16,16,0.004
4,4,17,17,0.0038
4,4,18,18,0.006
4,4,19,19,0.0038
5,5,0,0,0.0002
5,5,1,1,0.0008
5,5,2,2,0.0006
5,5,3,3,0.0004
5,5,4,4,0.0008
5,5,5,5,0.0014
5,5,6,6,0.0012
5,5,7,7,0.0004
5,5,8,8,0.002
5,5,9,9,0.0002
5,5,10,10,0.0006
5,5,11,11,0.0004
5,5,12,12,0.0012
5,5,13,13,0.0012
5,5,14,14,0.0004
5,5,15,15,0.0012
5,5,16,16,0.0004
5,5,17,17,0.0006
5,5,18,18,0.0008
5,5,19,19,0.0012
6,6,0,0,0.0066
6,6,1,1,0.0066
6,6,2,2,0.0056
6,6,3,3,0.0064
6,6,4,4,0.008
6,6,5,5,0.0068
6,6,6,6,0.0066
6,6,7,7,0.0074
6,6,8,8,0.0068
6,6,9,9,0.008
6,6,10,10,0.008
6,6,11,11,0.007
6,6,12,12,0.006
6,6,13,13,0.006
6,6,14,14,0.0062
6,6,15,15,0.0066
6,6,16,16,0.008
6,6,17,17,0.0066
6,6,18,18,0.006
6,6,19,19,0.0068
7,7,0,0,0.0032
7,7,1,1,0.0038
7,7,2,2,0.0032
7,7,3,3,0.0028
7,7,4,4,0.0036
7,7,5,5,0.0032
7,7,6,6,0.0034
7,7,7,7,0.004
7,7,8,8,0.0034
7,7,9,9,0.0068
7,7,10,10,0.0038
7,7,11,11,0.004
7,7,12,12,0.0034
7,7,13,13,0.0042
7,7,14,14,0.0032
7,7,15,15,0.0032
7,7,16,16,0.0036
7,7,17,17,0.0034
7,7,18,18,0.0034
7,7,19,19,0.0038
8,8,0,0,0.001
8,8,1,1,0.0002
8,8,2,2,0.0006
8,8,3,3,0.0006
8,8,4,4,0.0016
8,8,5,5,0.0012
8,8,6,6,0.0006
8,8,7,7,0.0006
8,8,8,8,0.0006
8,8,9,9,0.001
8,8,10,10,0.0014
8,8,11,11,0.0006
8,8,12,12,0.0006
8,8,13,13,0.0022
8,8,14,14,0.0014
