experiment,game,n_rounds,entropy_p1,entropy_p2,final_regret_p1,final_regret_p2,exploitability_final,t_exploit_lt_0_10,payoff_mean_p1,payoff_mean_p2,policy_convergence,out_dir
fp_vs_fp,AlmostRockPaperScissors,5000,1.0426375753593964,1.004734973260828,5.602204169139544,325.98198007750085,0.1497333333333333,12,0.488,0.4164,0.0040000000000000036,fp_vs_fp/AlmostRockPaperScissors_2026-02-18_21-55-37
fp_vs_fp,AlmostRockPaperScissors,5000,0.9969565067274379,1.0522938523153242,305.9519129952292,20.563974035193393,0.16573333333333332,67,0.4284,0.4756,0.0040000000000000036,fp_vs_fp/AlmostRockPaperScissors_2026-02-20_03-53-34
fp_vs_fp,AntiCoordination,5000,-0.0,0.005050968505638118,-6.376070555716288,-5.094708812992458,0.0006000000000000449,1,0.9994,0.9994,0.0,fp_vs_fp/AntiCoordination_2026-02-18_21-55-40
fp_vs_fp,AntiCoordination,5000,-0.0,-0.0,-8.094708812992444,-8.094708812992444,0.0,1,1.0,1.0,0.0,fp_vs_fp/AntiCoordination_2026-02-20_03-53-36
fp_vs_fp,MatchingPennies,5000,0.6931443005571805,0.6930888594261516,23.902369898813333,203.65538258050933,0.013199999999999934,280,0.0188,-0.0188,0.008000000000000007,fp_vs_fp/MatchingPennies_2026-02-18_21-55-43
fp_vs_fp,MatchingPennies,5000,0.6929778910067453,0.693145180558612,96.15927982626464,109.77791862717159,0.020399999999999974,54,0.0012,-0.0012,0.008000000000000007,fp_vs_fp/MatchingPennies_2026-02-20_03-53-37
fp_vs_fp,PrisonersDilemma,5000,-0.0,0.001903418636949759,24.85819599204065,25.284126438977196,0.00019999999999997797,1,1.0006,0.9998,0.0,fp_vs_fp/PrisonersDilemma_2026-02-18_21-55-46
fp_vs_fp,PrisonersDilemma,5000,-0.0,-0.0,24.284126438977196,24.284126438977196,0.0,1,1.0,1.0,0.0,fp_vs_fp/PrisonersDilemma_2026-02-20_03-53-39
fp_vs_fp,StochasticSwitchingDominanceGame,5000,0.6928872380357927,0.6918153091610506,223.28255263503888,185.35490702719122,0.0438,491,-0.0448,0.0448,0.0,fp_vs_fp/StochasticSwitchingDominanceGame_2026-02-18_21-55-49
fp_vs_fp,StochasticSwitchingDominanceGame,5000,0.6925690691470865,0.6928396290293375,146.3643359385339,161.9870568624452,0.036800000000000097,473,-0.0394,0.0394,0.0039999999999998925,fp_vs_fp/StochasticSwitchingDominanceGame_2026-02-20_03-53-41
fp_vs_fp,TerrainGame,5000,2.769204100958191,2.9937850663507692,62.665956946734376,5.379864713105034,0.013494474421536173,1,0.9816,-0.9816,0.008,fp_vs_fp/TerrainGame_2026-02-18_21-55-54
fp_vs_fp,TerrainGame,5000,2.769512196546817,2.994385112031434,13.448128401984253,2.6960537111799434,0.01384801407705405,1,0.9972,-0.9972,0.008000000000000007,fp_vs_fp/TerrainGame_2026-02-20_03-53-44
fp_vs_rl,AlmostRockPaperScissors,5000,1.0967589792125776,1.0985919725151103,226.88387240839245,-896.8116740616708,0.015533333333333288,1117,0.326,0.6194,0.007999999999999952,fp_vs_rl/AlmostRockPaperScissors_2026-02-20_03-53-50
fp_vs_rl,AntiCoordination,5000,0.001903418636949759,0.1979259339644823,2.535424007741644,234.64391570734924,0.04996016000000003,10,0.95,0.95,0.0,fp_vs_rl/AntiCoordination_2026-02-20_03-53-51
fp_vs_rl,MatchingPennies,5000,0.6931432605548231,0.6931468605599111,360.49853379399997,-285.11200338319463,0.0035999999999999366,115,-0.0668,0.0668,0.0,fp_vs_rl/MatchingPennies_2026-02-20_03-53-51
fp_vs_rl,PrisonersDilemma,5000,-0.0,0.23568312700208946,1001.6981040410014,340.2841264389765,0.06320000000000003,556,1.1896,0.9368,0.0,fp_vs_rl/PrisonersDilemma_2026-02-20_03-53-51
fp_vs_rl,StochasticSwitchingDominanceGame,5000,0.6927662521886799,0.692732403210023,490.3475434232759,-148.528379977819,0.048200000000000014,402,-0.1222,0.1222,0.007999999999999952,fp_vs_rl/StochasticSwitchingDominanceGame_2026-02-20_03-53-52
fp_vs_rl,TerrainGame,5000,-0.0,2.995271999590373,6.358222603588207,12.667809290483765,0.003651535309986298,1,0.9928,-0.9928,0.003999999999999997,fp_vs_rl/TerrainGame_2026-02-19_19-20-24
fp_vs_rl,TerrainGame,5000,-0.0,2.9957298735475906,-0.551385431929075,1.2247994743724402,9.409844027108427e-05,1,1.0,-1.0,0.0040000000000000036,fp_vs_rl/TerrainGame_2026-02-20_03-53-53
rl_vs_fp,AlmostRockPaperScissors,5000,1.0985919725151103,1.0967589792125776,-896.8116740616708,226.88387240839245,0.002533333333333332,418,0.6194,0.326,0.007999999999999952,rl_vs_fp/AlmostRockPaperScissors_2026-02-18_21-56-02
rl_vs_fp,AlmostRockPaperScissors,5000,1.0985919725151103,1.0967589792125776,-896.8116740616708,226.88387240839245,0.002533333333333332,418,0.6194,0.326,0.007999999999999952,rl_vs_fp/AlmostRockPaperScissors_2026-02-20_03-54-00
rl_vs_fp,AntiCoordination,5000,0.1979259339644823,0.001903418636949759,234.64391570734924,2.535424007741644,0.04996016000000003,10,0.95,0.95,0.0,rl_vs_fp/AntiCoordination_2026-02-18_21-56-02
rl_vs_fp,AntiCoordination,5000,0.1979259339644823,0.001903418636949759,234.64391570734924,2.535424007741644,0.04996016000000003,10,0.95,0.95,0.0,rl_vs_fp/AntiCoordination_2026-02-20_03-54-01
rl_vs_fp,MatchingPennies,5000,0.6931471805599453,0.6930888594261516,-278.16480441315537,341.8301070224979,0.010799999999999976,81,0.0636,-0.0636,0.008000000000000007,rl_vs_fp/MatchingPennies_2026-02-18_21-56-02
rl_vs_fp,MatchingPennies,5000,0.6931471805599453,0.6930888594261516,-278.16480441315537,341.8301070224979,0.010799999999999976,81,0.0636,-0.0636,0.008000000000000007,rl_vs_fp/MatchingPennies_2026-02-20_03-54-01
rl_vs_fp,PrisonersDilemma,5000,0.23568312700208946,-0.0,340.2841264389765,1001.6981040410014,0.06320000000000003,556,0.9368,1.1896,0.0,rl_vs_fp/PrisonersDilemma_2026-02-18_21-56-03
rl_vs_fp,PrisonersDilemma,5000,0.23568312700208946,-0.0,340.2841264389765,1001.6981040410014,0.06320000000000003,556,0.9368,1.1896,0.0,rl_vs_fp/PrisonersDilemma_2026-02-20_03-54-01
rl_vs_fp,StochasticSwitchingDominanceGame,5000,0.6926478174332318,0.6926091640657721,-215.18138321620503,559.2324607472145,0.049200000000000015,110,0.0572,-0.0572,0.0040000000000000036,rl_vs_fp/StochasticSwitchingDominanceGame_2026-02-18_21-56-03
rl_vs_fp,StochasticSwitchingDominanceGame,5000,0.6926478174332318,0.6926091640657721,-215.18138321620503,559.2324607472145,0.049200000000000015,110,0.0572,-0.0572,0.0040000000000000036,rl_vs_fp/StochasticSwitchingDominanceGame_2026-02-20_03-54-02
rl_vs_fp,TerrainGame,5000,1.7181650256232806,0.48262783066577264,50.192549779946745,27.201486373782412,0.010623701146066478,1,0.986,-0.986,0.0040000000000000036,rl_vs_fp/TerrainGame_2026-02-18_21-56-04
rl_vs_fp,TerrainGame,5000,1.273716353627429,0.6815845700498577,13.21930442263655,-3.845323730170496,0.0015099205787196812,1,0.9972,-0.9972,0.0,rl_vs_fp/TerrainGame_2026-02-20_03-54-03
rl_vs_rl,AlmostRockPaperScissors,5000,1.0968014390284067,1.0963048280806476,-332.76416837335796,247.22420257689993,0.02573333333333333,699,0.4892,0.3648,0.0040000000000000036,rl_vs_rl/AlmostRockPaperScissors_2026-02-18_21-56-15
rl_vs_rl,AlmostRockPaperScissors,5000,1.0968014390284067,1.0963048280806476,-332.76416837335796,247.22420257689993,0.02573333333333333,699,0.4892,0.3648,0.0040000000000000036,rl_vs_rl/AlmostRockPaperScissors_2026-02-20_03-54-08
rl_vs_rl,AntiCoordination,5000,0.21919268351724103,0.1907873441635326,273.72773338373315,128.63263469209235,0.0937548800000001,506,0.8998,0.8998,0.0,rl_vs_rl/AntiCoordination_2026-02-18_21-56-15
rl_vs_rl,AntiCoordination,5000,0.21919268351724103,0.1907873441635326,273.72773338373315,128.63263469209235,0.0937548800000001,506,0.8998,0.8998,0.0,rl_vs_rl/AntiCoordination_2026-02-20_03-54-09
rl_vs_rl,MatchingPennies,5000,0.693031656111244,0.6931407005459485,114.87204907286836,11.075574902474894,0.018800000000000094,8,-0.0164,0.0164,0.0,rl_vs_rl/MatchingPennies_2026-02-18_21-56-16
